Paper: 0025
KeyVar: Activity_Hours
Mechanism: MAR
Proportion: 1pct
Method: Reg
Iteration: 3
---
FocalIV: Treatment_FIN
Coef: 2240.014215
SE: 1051.377657
pval: 0.033545
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1272.244593  5822.543118  ... -12708.042090  10163.552905
Treatment_FIN              2240.014215  1051.377657  ...    175.050207   4304.978224
Treatment_MKT              3537.806447  1193.375854  ...   1193.950107   5881.662788
Gender                    -1613.752652  1113.706170  ...  -3801.133316    573.628013
Age                         -34.429028    65.169091  ...   -162.424735     93.566679
Children_total              199.425212   359.229570  ...   -506.121579    904.972003
Race_SAblackcolored        2625.712423  4995.908935  ...  -7186.529710  12437.954555
Race_Foreigner             1185.003719  4955.273855  ...  -8547.428863  10917.436300
Educ_high                  2535.452783  1058.671250  ...    456.163753   4614.741814
Operating_yearstotal        179.634478    78.523599  ...     25.409776    333.859180
Activity_Hours              -34.953950    22.448086  ...    -79.043237      9.135336
pre_Employees1_composite   1516.608647   259.555648  ...   1006.826965   2026.390329
FormalReg                 -1290.168065  1070.900491  ...  -3393.476002    813.139871
pre_Profits3_composite_w1     0.545355     0.114905  ...      0.319675      0.771035
Ind2_SIC15                  235.128459  5925.679778  ... -11403.235157  11873.492075
Ind2_SIC17                -6136.841993  3473.686790  ... -12959.355437    685.671451
Ind2_SIC23                -1247.582534  2284.476938  ...  -5734.421897   3239.256829
Ind2_SIC25                 4108.011966  7424.265649  ... -10473.657386  18689.681317
Ind2_SIC34                -3916.589256  2734.053364  ...  -9286.421645   1453.243132
Ind2_SIC41                  206.939723  3860.257873  ...  -7374.820759   7788.700205
Ind2_SIC54                  729.606559  2199.137491  ...  -3589.621398   5048.834517
Ind2_SIC56                -1463.585411  2218.101423  ...  -5820.059582   2892.888760
Ind2_SIC57                 5092.254784  3823.026219  ...  -2416.380667  12600.890235
Ind2_SIC58                -2280.791492  2342.816867  ...  -6882.213709   2320.630725
Ind2_SIC59                  768.800034  2647.210090  ...  -4430.467351   5968.067418
Ind2_SIC72                -1781.894313  1913.203491  ...  -5539.532041   1975.743414
Ind2_SIC73                -4977.378336  2349.328218  ...  -9591.589207   -363.167465
Ind2_SIC75                 3317.117032  3939.744520  ...  -4420.759633  11054.993697
Ind2_SIC76                -2260.781431  2160.345528  ...  -6503.819822   1982.256960
Ind2_SIC83                -5485.887996  2836.338862  ... -11056.614775     84.838782

[30 rows x 6 columns]
