Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MAR
Proportion: 20pct
Method: RF
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 2302.556210
SE: 1053.043437
pval: 0.029172
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1174.703484  5940.680668  ... -12842.529680  10493.122713
Treatment_FIN              2302.556210  1053.043437  ...    234.320517   4370.791903
Treatment_MKT              3603.948036  1196.693643  ...   1253.575375   5954.320697
Gender                    -1560.047475  1112.057645  ...  -3744.190345    624.095394
Age                         -33.502580    65.363976  ...   -161.881052     94.875892
Children_total              186.082867   360.630125  ...   -522.214692    894.380427
Race_SAblackcolored        2417.882857  5150.581892  ...  -7698.145537  12533.911250
Race_Foreigner              868.489186  5102.403125  ...  -9152.913438  10889.891810
Educ_high                  2523.081791  1059.334169  ...    442.490751   4603.672830
Operating_yearstotal        165.531094    78.667777  ...     11.023219    320.038969
Activity_Hours              -34.350827    22.481542  ...    -78.505822      9.804167
pre_Employees1_composite   1519.857255   259.430810  ...   1010.320760   2029.393749
FormalReg                 -1222.898073  1082.592487  ...  -3349.169739    903.373593
pre_Profits3_composite_w1     0.547605     0.114702  ...      0.322325      0.772886
Ind2_SIC15                   86.450695  5921.784835  ... -11544.263036  11717.164426
Ind2_SIC17                -6158.186883  3475.506533  ... -12984.274402    667.900636
Ind2_SIC23                -1014.050422  2280.229911  ...  -5492.548387   3464.447544
Ind2_SIC25                 3934.952344  7407.050252  ... -10612.905014  18482.809701
Ind2_SIC34                -3916.571538  2714.510226  ...  -9248.020120   1414.877044
Ind2_SIC41                  252.239470  3859.746770  ...  -7328.517180   7832.996119
Ind2_SIC54                  776.668197  2206.077830  ...  -3556.190971   5109.527364
Ind2_SIC56                -1500.799922  2223.954081  ...  -5868.769038   2867.169194
Ind2_SIC57                 5146.224008  3815.564031  ...  -2347.755292  12640.203309
Ind2_SIC58                -2326.128805  2347.715091  ...  -6937.171406   2284.913797
Ind2_SIC59                  697.892850  2640.177028  ...  -4487.561209   5883.346909
Ind2_SIC72                -1682.516030  1911.389294  ...  -5436.590574   2071.558514
Ind2_SIC73                -4831.574270  2351.149086  ...  -9449.361427   -213.787112
Ind2_SIC75                 3087.206229  4011.385020  ...  -4791.376349  10965.788808
Ind2_SIC76                -2101.684099  2160.074411  ...  -6344.190001   2140.821803
Ind2_SIC83                -5391.468628  2837.092966  ... -10963.676507    180.739251

[30 rows x 6 columns]
