Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MAR
Proportion: 40pct
Method: Iter
Iteration: 25
---
FocalIV: Treatment_FIN
Coef: 2250.882271
SE: 1065.512557
pval: 0.035071
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1536.012421  5993.076551  ... -13306.747035  10234.722194
Treatment_FIN              2250.882271  1065.512557  ...    158.156535   4343.608008
Treatment_MKT              3440.366511  1185.192424  ...   1112.582880   5768.150142
Gender                    -1595.976968  1117.868877  ...  -3791.533419    599.579483
Age                         -19.693297    60.527788  ...   -138.573229     99.186634
Children_total              192.958256   360.435395  ...   -514.956843    900.873354
Race_SAblackcolored        2449.261440  5159.861267  ...  -7684.992161  12583.515041
Race_Foreigner              976.917465  5123.723573  ...  -9086.359703  11040.194632
Educ_high                  2451.990519  1053.287264  ...    383.275937   4520.705102
Operating_yearstotal        124.166585    64.584429  ...     -2.680815    251.013985
Activity_Hours              -33.169227    23.126776  ...    -78.591496     12.253043
pre_Employees1_composite   1518.312437   260.077305  ...   1007.506192   2029.118683
FormalReg                 -1322.918768  1098.426876  ...  -3480.290051    834.452514
pre_Profits3_composite_w1     0.549747     0.115502  ...      0.322894      0.776600
Ind2_SIC15                  258.594717  5973.837729  ... -11474.353785  11991.543219
Ind2_SIC17                -6074.984286  3470.032772  ... -12890.321035    740.352464
Ind2_SIC23                 -921.538672  2284.178973  ...  -5407.792814   3564.715471
Ind2_SIC25                 4426.626498  7353.569776  ... -10016.192238  18869.445235
Ind2_SIC34                -3877.079865  2735.641852  ...  -9250.032132   1495.872402
Ind2_SIC41                  100.138336  3888.878578  ...  -7537.834799   7738.111470
Ind2_SIC54                  833.852989  2218.248212  ...  -3522.909484   5190.615462
Ind2_SIC56                -1332.973924  2217.853393  ...  -5688.960950   3023.013102
Ind2_SIC57                 5481.448914  3772.635293  ...  -1928.215963  12891.113792
Ind2_SIC58                -2221.508025  2343.261273  ...  -6823.803081   2380.787031
Ind2_SIC59                  999.834811  2630.582307  ...  -4166.774685   6166.444306
Ind2_SIC72                -1466.700111  1896.940072  ...  -5192.395582   2258.995360
Ind2_SIC73                -4827.536480  2350.195606  ...  -9443.450950   -211.622010
Ind2_SIC75                 3342.086538  3989.509836  ...  -4493.531965  11177.705042
Ind2_SIC76                -2040.390349  2144.438414  ...  -6252.186286   2171.405587
Ind2_SIC83                -5283.260632  2837.437003  ... -10856.144219    289.622955

[30 rows x 6 columns]
