Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 50pct
Method: RF
Iteration: 4
---
FocalIV: Treatment_FIN
Coef: 1810.801994
SE: 992.372390
pval: 0.068557
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                   270.167389  4047.841885  ...  -7680.018493   8220.353272
Treatment_FIN              1810.801994   992.372390  ...   -138.272398   3759.876386
Treatment_MKT              2427.787932  1174.618802  ...    120.771482   4734.804382
Gender                    -2225.091388  1020.180117  ...  -4228.781700   -221.401077
Age                           7.745951    60.541691  ...   -111.161287    126.653189
Children_total              -25.838051   378.378498  ...   -768.994400    717.318298
Race_SAblackcolored        1042.608327  3142.442365  ...  -5129.322701   7214.539356
Race_Foreigner              270.717644  3083.251839  ...  -5784.959909   6326.395198
Educ_high                  2154.487932  1011.886953  ...    167.085856   4141.890009
Operating_yearstotal        141.072399    74.018378  ...     -4.303798    286.448597
Activity_Hours              -29.430418    23.295772  ...    -75.184605     16.323769
pre_Employees1_composite   1030.500112   268.823777  ...    502.515310   1558.484914
FormalReg                 -1543.589162  1040.216006  ...  -3586.631069    499.452745
pre_Profits3_composite_w1     0.735628     0.127510  ...      0.485191      0.986065
Ind2_SIC15                -2552.603008  5880.510033  ... -14102.250741   8997.044725
Ind2_SIC17                -5416.714418  2661.293092  ... -10643.641597   -189.787238
Ind2_SIC23                -1737.622880  2162.674424  ...  -5985.235352   2509.989593
Ind2_SIC25                 3284.325070  7513.818641  ... -11473.231322  18041.881462
Ind2_SIC34                -3353.890806  2507.327581  ...  -8278.421186   1570.639573
Ind2_SIC41                 -523.035859  3594.936691  ...  -7583.690831   6537.619114
Ind2_SIC54                 -948.580748  2249.360213  ...  -5366.448915   3469.287419
Ind2_SIC56                -1418.747496  2132.407978  ...  -5606.914991   2769.419998
Ind2_SIC57                 2932.722617  3658.903929  ...  -4253.567557  10119.012791
Ind2_SIC58                -2275.991588  2143.615987  ...  -6486.172232   1934.189057
Ind2_SIC59                 1026.442409  2927.140508  ...  -4722.623834   6775.508652
Ind2_SIC72                -1600.270980  1772.417446  ...  -5081.397109   1880.855150
Ind2_SIC73                -5739.514922  2212.289758  ... -10084.574660  -1394.455183
Ind2_SIC75                 1918.482668  3359.347925  ...  -4679.462906   8516.428242
Ind2_SIC76                -2132.252081  2087.965551  ...  -6233.132184   1968.628023
Ind2_SIC83                -4820.826282  2677.668720  ... -10079.916103    438.263539

[30 rows x 6 columns]
