Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 50pct
Method: Reg
Iteration: 22
---
FocalIV: Treatment_FIN
Coef: 1365.212497
SE: 1115.829198
pval: 0.221638
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2599.482483  6029.633260  ... -14442.016500   9243.051534
Treatment_FIN              1365.212497  1115.829198  ...   -826.337911   3556.762905
Treatment_MKT              3479.251082  1197.147077  ...   1127.987851   5830.514313
Gender                    -1731.834421  1126.795943  ...  -3944.924124    481.255282
Age                         -38.309084    65.718890  ...   -167.384628     90.766460
Children_total              307.840041   357.762051  ...   -394.824461   1010.504544
Race_SAblackcolored        3750.257059  5172.739373  ...  -6409.289856  13909.803975
Race_Foreigner             2323.898926  5168.699182  ...  -7827.712830  12475.510681
Educ_high                  1691.432293  1008.407094  ...   -289.135149   3671.999734
Operating_yearstotal        223.273297    84.617597  ...     57.079646    389.466949
Activity_Hours              -19.439536    21.231231  ...    -61.138851     22.259778
pre_Employees1_composite   1730.977175   264.670950  ...   1211.148756   2250.805594
FormalReg                 -1245.466700  1144.381661  ...  -3493.095729   1002.162329
pre_Profits3_composite_w1     0.607622     0.136751  ...      0.339034      0.876209
Ind2_SIC15                -3853.758151  5511.792511  ... -14679.224228   6971.707926
Ind2_SIC17                -5835.397945  3326.720778  ... -12369.261995    698.466104
Ind2_SIC23                -1541.089351  2185.672839  ...  -5833.871984   2751.693283
Ind2_SIC25                 2191.508724  6886.043204  ... -11333.061906  15716.079353
Ind2_SIC34                -4546.737995  2329.982871  ...  -9122.953533     29.477542
Ind2_SIC41                  237.563085  4264.022274  ...  -8137.213067   8612.339237
Ind2_SIC54                 -317.906439  2197.811382  ...  -4634.529846   3998.716967
Ind2_SIC56                 -823.369092  2183.087231  ...  -5111.073449   3464.335265
Ind2_SIC57                 5633.952612  4894.651622  ...  -3979.414544  15247.319767
Ind2_SIC58                -2622.749005  2281.520332  ...  -7103.781430   1858.283420
Ind2_SIC59                 2995.239191  3240.064258  ...  -3368.426648   9358.905029
Ind2_SIC72                -2165.094052  1959.725079  ...  -6014.102758   1683.914654
Ind2_SIC73                -6735.488887  2505.601751  ... -11656.629641  -1814.348132
Ind2_SIC75                -1082.772367  4189.869526  ...  -9311.908411   7146.363678
Ind2_SIC76                -3254.046491  2161.487301  ...  -7499.327388    991.234405
Ind2_SIC83                -7161.955713  2903.142507  ... -12863.888554  -1460.022873

[30 rows x 6 columns]
