Paper: 0025
KeyVar: Activity_Hours
Mechanism: MAR
Proportion: 5pct
Method: Iter
Iteration: 16
---
FocalIV: Treatment_FIN
Coef: 2244.451559
SE: 1049.421186
pval: 0.032872
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -721.397862  5709.989673  ... -11936.134153  10493.338428
Treatment_FIN              2244.451559  1049.421186  ...    183.330168   4305.572949
Treatment_MKT              3547.842358  1193.182588  ...   1204.365603   5891.319112
Gender                    -1640.208733  1116.152807  ...  -3832.394727    551.977261
Age                         -35.498320    64.741053  ...   -162.653337     91.656697
Children_total              208.703702   357.581986  ...   -493.607143    911.014547
Race_SAblackcolored        2541.336944  4958.162014  ...  -7196.768142  12279.442029
Race_Foreigner             1144.339880  4928.339762  ...  -8535.192649  10823.872409
Educ_high                  2536.542067  1058.012231  ...    458.547387   4614.536748
Operating_yearstotal        182.629125    79.443684  ...     26.597326    338.660925
Activity_Hours              -43.271765    22.953875  ...    -88.354449      1.810919
pre_Employees1_composite   1514.830154   258.742951  ...   1006.644654   2023.015655
FormalReg                 -1323.797469  1077.460027  ...  -3439.988699    792.393760
pre_Profits3_composite_w1     0.545648     0.114666  ...      0.320438      0.770857
Ind2_SIC15                  233.352955  5915.796086  ... -11385.598542  11852.304452
Ind2_SIC17                -6044.377992  3462.498427  ... -12844.916871    756.160887
Ind2_SIC23                -1264.313049  2279.866012  ...  -5742.096297   3213.470199
Ind2_SIC25                 4089.321161  7421.228464  ... -10486.382989  18665.025312
Ind2_SIC34                -3985.011187  2739.183479  ...  -9364.919406   1394.897031
Ind2_SIC41                  124.781338  3855.135099  ...  -7446.917732   7696.480409
Ind2_SIC54                  760.792997  2169.506604  ...  -3500.238254   5021.824249
Ind2_SIC56                -1468.450088  2211.787384  ...  -5812.523136   2875.622960
Ind2_SIC57                 5093.441837  3815.750861  ...  -2400.904407  12587.788081
Ind2_SIC58                -2288.851752  2326.006177  ...  -6857.256842   2279.553337
Ind2_SIC59                  826.744232  2646.848488  ...  -4371.812945   6025.301408
Ind2_SIC72                -1736.468145  1889.410759  ...  -5447.375629   1974.439339
Ind2_SIC73                -4890.316570  2324.681943  ...  -9456.120791   -324.512350
Ind2_SIC75                 3373.959537  3909.408126  ...  -4304.334769  11052.253843
Ind2_SIC76                -2279.875123  2153.581100  ...  -6509.627802   1949.877555
Ind2_SIC83                -5528.525063  2838.190456  ... -11102.888473     45.838347

[30 rows x 6 columns]
