Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MAR
Proportion: 5pct
Method: LD
Iteration: 5
---
FocalIV: Treatment_FIN
Coef: 2112.141532
SE: 1089.055103
pval: 0.052960
Nobs: 581
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -980.606582  5889.936110  ... -12550.082562  10588.869398
Treatment_FIN              2112.141532  1089.055103  ...    -27.066199   4251.349262
Treatment_MKT              3590.259737  1209.046822  ...   1215.354831   5965.164642
Gender                    -1466.606578  1145.335732  ...  -3716.365147    783.151992
Age                         -40.966041    68.187707  ...   -174.905700     92.973618
Children_total              300.051300   374.223148  ...   -435.027255   1035.129855
Race_SAblackcolored        2557.582040  5015.517518  ...  -7294.292135  12409.456215
Race_Foreigner             1145.826010  4976.115123  ...  -8628.650880  10920.302900
Educ_high                  2670.868020  1104.416573  ...    501.486082   4840.249958
Operating_yearstotal        185.007716    81.095552  ...     25.713451    344.301980
Activity_Hours              -36.181800    23.153228  ...    -81.661191      9.297592
pre_Employees1_composite   1523.937411   261.991023  ...   1009.314026   2038.560795
FormalReg                 -1400.586368  1121.271063  ...  -3603.075222    801.902486
pre_Profits3_composite_w1     0.552543     0.117154  ...      0.322420      0.782666
Ind2_SIC15                  231.730788  6143.986340  ... -11836.770645  12300.232221
Ind2_SIC17                -5341.784730  3497.330484  ... -12211.516469   1527.947009
Ind2_SIC23                -1748.818877  2388.657902  ...  -6440.808688   2943.170935
Ind2_SIC25                 3811.703586  7466.314623  ... -10854.219112  18477.626285
Ind2_SIC34                -4158.377390  2814.847848  ...  -9687.523030   1370.768250
Ind2_SIC41                  828.889429  4164.625813  ...  -7351.596303   9009.375161
Ind2_SIC54                  586.711405  2279.712750  ...  -3891.279768   5064.702577
Ind2_SIC56                -1490.223351  2287.282838  ...  -5983.084286   3002.637584
Ind2_SIC57                 4883.763843  3827.165351  ...  -2633.855496  12401.383182
Ind2_SIC58                -2822.398185  2441.802652  ...  -7618.779098   1973.982728
Ind2_SIC59                  540.912897  2701.811139  ...  -4766.197144   5848.022939
Ind2_SIC72                -2344.833054  1978.492396  ...  -6231.143505   1541.477396
Ind2_SIC73                -5166.681301  2456.202186  ...  -9991.346911   -342.015690
Ind2_SIC75                 4148.339204  4139.102449  ...  -3982.011529  12278.689937
Ind2_SIC76                -2395.034017  2258.944212  ...  -6832.229991   2042.161957
Ind2_SIC83                -6114.708548  2985.791663  ... -11979.635482   -249.781614

[30 rows x 6 columns]
