Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MAR
Proportion: 5pct
Method: Iter
Iteration: 0
---
FocalIV: Treatment_FIN
Coef: 2208.620202
SE: 1054.214920
pval: 0.036600
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1313.265732  5842.331241  ... -12787.928201  10161.396736
Treatment_FIN              2208.620202  1054.214920  ...    138.083651   4279.156753
Treatment_MKT              3567.070670  1197.654187  ...   1214.811445   5919.329894
Gender                    -1553.070739  1108.137157  ...  -3729.513553    623.372075
Age                         -37.378315    65.141500  ...   -165.319832     90.563202
Children_total              258.289080   356.345390  ...   -441.593024    958.171183
Race_SAblackcolored        2565.020029  4997.880142  ...  -7251.093664  12381.133721
Race_Foreigner              565.265608  4931.253321  ...  -9119.989313  10250.520528
Educ_high                  2675.089061  1059.640880  ...    593.895624   4756.282498
Operating_yearstotal        179.332659    79.322501  ...     23.538869    335.126449
Activity_Hours              -37.388770    22.671271  ...    -81.916403      7.138862
pre_Employees1_composite   1531.397459   258.902581  ...   1022.898435   2039.896482
FormalReg                 -1146.021385  1072.885216  ...  -3253.227432    961.184662
pre_Profits3_composite_w1     0.537765     0.113802  ...      0.314251      0.761280
Ind2_SIC15                  201.364941  5916.809330  ... -11419.576622  11822.306504
Ind2_SIC17                -5231.972214  3302.743328  ... -11718.743222   1254.798793
Ind2_SIC23                -1050.494440  2280.463072  ...  -5529.450348   3428.461468
Ind2_SIC25                 4273.472958  7429.592070  ... -10318.657780  18865.603696
Ind2_SIC34                -3766.929274  2715.294952  ...  -9099.919101   1566.060553
Ind2_SIC41                 -240.574415  3897.674381  ...  -7895.822994   7414.674164
Ind2_SIC54                  685.953479  2203.094265  ...  -3641.045802   5012.952760
Ind2_SIC56                -1492.376247  2223.693044  ...  -5859.832673   2875.080178
Ind2_SIC57                 5380.234247  3812.176020  ...  -2107.090810  12867.559305
Ind2_SIC58                -2313.658111  2345.814282  ...  -6920.967417   2293.651195
Ind2_SIC59                  884.825806  2638.217697  ...  -4296.780019   6066.431630
Ind2_SIC72                -1715.774540  1908.661098  ...  -5464.490756   2032.941676
Ind2_SIC73                -4853.136368  2340.126491  ...  -9449.274538   -256.998199
Ind2_SIC75                 4279.450216  4514.308291  ...  -4586.901551  13145.801983
Ind2_SIC76                -1755.691191  2145.153985  ...  -5968.892549   2457.510168
Ind2_SIC83                -5548.744153  2877.499849  ... -11200.313390    102.825085

[30 rows x 6 columns]
