Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 10pct
Method: Mean
Iteration: 3
---
FocalIV: Treatment_FIN
Coef: 2036.413617
SE: 1055.053496
pval: 0.054074
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1874.311360  5953.005382  ... -13566.343977   9817.721257
Treatment_FIN              2036.413617  1055.053496  ...    -35.769944   4108.597178
Treatment_MKT              3162.841393  1206.035488  ...    794.120829   5531.561957
Gender                    -1356.693739  1119.793943  ...  -3556.031126    842.643649
Age                         -38.345331    65.783210  ...   -167.547203     90.856541
Children_total              148.051290   370.075505  ...   -578.797520    874.900100
Race_SAblackcolored        3085.869554  5133.186515  ...  -6995.993355  13167.732464
Race_Foreigner             1465.619006  5085.791863  ...  -8523.158179  11454.396191
Educ_high                  2597.837783  1077.201578  ...    482.154163   4713.521404
Operating_yearstotal        202.398567    81.055823  ...     43.200437    361.596697
Activity_Hours              -34.906091    22.754849  ...    -79.597876      9.785693
pre_Employees1_composite   1624.685908   260.017449  ...   1113.997222   2135.374593
FormalReg                  -940.458825  1080.465143  ...  -3062.552269   1181.634618
pre_Profits3_composite_w1     0.529387     0.128679  ...      0.276653      0.782121
Ind2_SIC15                  472.450709  5972.425895  ... -11257.724872  12202.626290
Ind2_SIC17                -5941.680515  3474.450197  ... -12765.693333    882.332303
Ind2_SIC23                -1410.719216  2336.557570  ...  -5999.847826   3178.409394
Ind2_SIC25                 4266.387389  7349.424632  ... -10168.290057  18701.064834
Ind2_SIC34                -3692.631015  2744.044813  ...  -9082.087163   1696.825133
Ind2_SIC41                  297.434634  3883.720981  ...  -7330.408693   7925.277962
Ind2_SIC54                  683.188818  2254.772182  ...  -3745.308756   5111.686393
Ind2_SIC56                -1297.980382  2266.368319  ...  -5749.253413   3153.292650
Ind2_SIC57                 5088.306508  3899.499627  ...  -2570.526956  12747.139971
Ind2_SIC58                -2172.464011  2382.458382  ...  -6851.744361   2506.816339
Ind2_SIC59                  367.360290  2727.652260  ...  -4989.899976   5724.620555
Ind2_SIC72                -1803.119136  1968.474648  ...  -5669.312480   2063.074209
Ind2_SIC73                -4822.651652  2380.918650  ...  -9498.907884   -146.395420
Ind2_SIC75                 2703.051478  3993.940378  ...  -5141.268856  10547.371812
Ind2_SIC76                -2271.670444  2232.933764  ...  -6657.276155   2113.935268
Ind2_SIC83                -4626.661606  2941.166272  ... -10403.275229   1149.952016

[30 rows x 6 columns]
