Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 1pct
Method: Mean
Iteration: 26
---
FocalIV: Treatment_FIN
Coef: 2238.545411
SE: 1051.851237
pval: 0.033741
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1291.950855  5828.893349  ... -12740.220558  10156.318848
Treatment_FIN              2238.545411  1051.851237  ...    172.651265   4304.439557
Treatment_MKT              3531.042793  1192.300617  ...   1189.298277   5872.787308
Gender                    -1612.434513  1113.799348  ...  -3799.998183    575.129157
Age                         -34.887480    65.082675  ...   -162.713462     92.938503
Children_total              202.850833   360.679785  ...   -505.544262    911.245929
Race_SAblackcolored        2635.606870  4995.461223  ...  -7175.755929  12446.969670
Race_Foreigner             1191.681302  4954.177241  ...  -8538.597469  10921.960073
Educ_high                  2538.274707  1059.206274  ...    457.934861   4618.614553
Operating_yearstotal        179.881488    78.518879  ...     25.666056    334.096919
Activity_Hours              -34.440845    22.719365  ...    -79.062937     10.181246
pre_Employees1_composite   1517.354707   259.487947  ...   1007.705993   2027.003421
FormalReg                 -1300.076871  1073.447072  ...  -3408.386434    808.232691
pre_Profits3_composite_w1     0.545245     0.114885  ...      0.319605      0.770886
Ind2_SIC15                  234.714443  5925.510220  ... -11403.316151  11872.745037
Ind2_SIC17                -6129.511086  3473.036351  ... -12950.747031    691.724858
Ind2_SIC23                -1250.266111  2284.432605  ...  -5737.018400   3236.486179
Ind2_SIC25                 4102.054434  7424.798687  ... -10480.661833  18684.770702
Ind2_SIC34                -3919.974185  2734.222282  ...  -9290.138337   1450.189967
Ind2_SIC41                  214.276350  3860.154026  ...  -7367.280173   7795.832873
Ind2_SIC54                  719.073197  2200.043090  ...  -3601.933406   5040.079800
Ind2_SIC56                -1466.911741  2218.269693  ...  -5823.716405   2889.892922
Ind2_SIC57                 5089.483098  3822.399874  ...  -2417.922176  12596.888371
Ind2_SIC58                -2271.286064  2341.909427  ...  -6870.926019   2328.353892
Ind2_SIC59                  776.962308  2643.707063  ...  -4415.424936   5969.349552
Ind2_SIC72                -1773.067746  1912.754118  ...  -5529.822880   1983.687389
Ind2_SIC73                -4952.613611  2346.606163  ...  -9561.478215   -343.749006
Ind2_SIC75                 3308.776062  3940.913766  ...  -4431.397067  11048.949191
Ind2_SIC76                -2267.067438  2160.679462  ...  -6510.761693   1976.626817
Ind2_SIC83                -5488.713221  2837.053961  ... -11060.844492     83.418050

[30 rows x 6 columns]
