Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 1pct
Method: Iter
Iteration: 7
---
FocalIV: Treatment_FIN
Coef: 2228.427256
SE: 1054.089009
pval: 0.034934
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1518.761401  5946.698703  ... -13198.407351  10160.884549
Treatment_FIN              2228.427256  1054.089009  ...    158.138002   4298.716510
Treatment_MKT              3520.683683  1191.756080  ...   1180.008668   5861.358698
Gender                    -1620.007446  1112.450536  ...  -3804.921975    564.907084
Age                         -29.224489    67.587577  ...   -161.970237    103.521259
Children_total              198.391999   362.174843  ...   -512.939473    909.723471
Race_SAblackcolored        2694.651728  5012.254658  ...  -7149.694309  12538.997766
Race_Foreigner             1250.967308  4964.898721  ...  -8500.369043  11002.303659
Educ_high                  2550.558759  1063.621647  ...    461.546876   4639.570642
Operating_yearstotal        176.292193    79.101433  ...     20.932593    331.651793
Activity_Hours              -35.038297    22.518743  ...    -79.266357      9.189764
pre_Employees1_composite   1518.329303   260.013999  ...   1007.647393   2029.011213
FormalReg                 -1312.417148  1091.243915  ...  -3455.680697    830.846401
pre_Profits3_composite_w1     0.545563     0.115040  ...      0.319618      0.771507
Ind2_SIC15                  224.861873  5928.809896  ... -11419.649468  11869.373213
Ind2_SIC17                -6123.733132  3475.365232  ... -12949.543129    702.076865
Ind2_SIC23                -1247.248414  2289.579086  ...  -5744.108677   3249.611850
Ind2_SIC25                 4037.162993  7417.703235  ... -10531.617413  18605.943398
Ind2_SIC34                -3907.101007  2741.288981  ...  -9291.144549   1476.942535
Ind2_SIC41                  208.488901  3863.819525  ...  -7380.266865   7797.244667
Ind2_SIC54                  732.879535  2208.884123  ...  -3605.491349   5071.250418
Ind2_SIC56                -1459.626301  2225.340322  ...  -5830.318072   2911.065469
Ind2_SIC57                 5112.075221  3827.168433  ...  -2404.695767  12628.846210
Ind2_SIC58                -2269.510539  2347.205410  ...  -6879.552099   2340.531021
Ind2_SIC59                  750.771554  2650.106599  ...  -4454.184735   5955.727842
Ind2_SIC72                -1724.201871  1929.677155  ...  -5514.194789   2065.791047
Ind2_SIC73                -4935.159171  2361.357940  ...  -9572.997085   -297.321258
Ind2_SIC75                 3328.441381  3944.529161  ...  -4418.832583  11075.715346
Ind2_SIC76                -2253.399577  2167.816805  ...  -6511.111969   2004.312816
Ind2_SIC83                -5510.449658  2841.829251  ... -11091.959863     71.060548

[30 rows x 6 columns]
