Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 1pct
Method: Mean
Iteration: 22
---
FocalIV: Treatment_FIN
Coef: 2231.817068
SE: 1052.381206
pval: 0.034367
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  -947.670856  5858.591969  ... -12454.270295  10558.928583
Treatment_FIN              2231.817068  1052.381206  ...    164.882032   4298.752103
Treatment_MKT              3528.000251  1191.701480  ...   1187.432474   5868.568027
Gender                    -1587.838928  1117.913889  ...  -3783.483785    607.805929
Age                         -40.336768    66.161473  ...   -170.281568     89.608033
Children_total              207.611330   360.006133  ...   -499.460675    914.683335
Race_SAblackcolored        2536.162673  4999.456072  ...  -7283.046232  12355.371579
Race_Foreigner             1109.391126  4954.946620  ...  -8622.398748  10841.181001
Educ_high                  2515.911797  1059.402755  ...    435.186050   4596.637543
Operating_yearstotal        181.435447    77.570629  ...     29.082430    333.788463
Activity_Hours              -35.571651    22.449287  ...    -79.663295      8.519992
pre_Employees1_composite   1516.524000   259.340125  ...   1007.165617   2025.882384
FormalReg                 -1282.077109  1073.553468  ...  -3390.595640    826.441422
pre_Profits3_composite_w1     0.545257     0.114752  ...      0.319878      0.770636
Ind2_SIC15                  238.599566  5924.738558  ... -11397.915441  11875.114573
Ind2_SIC17                -6134.900966  3474.578232  ... -12959.165250    689.363319
Ind2_SIC23                -1234.808908  2290.182695  ...  -5732.854693   3263.236877
Ind2_SIC25                 4114.376666  7424.683851  ... -10468.114057  18696.867389
Ind2_SIC34                -3911.373249  2736.721865  ...  -9286.446721   1463.700223
Ind2_SIC41                  219.942309  3857.766161  ...  -7356.924314   7796.808933
Ind2_SIC54                  707.338429  2180.745361  ...  -3575.766366   4990.443224
Ind2_SIC56                -1461.219227  2219.873989  ...  -5821.174816   2898.736361
Ind2_SIC57                 5090.399528  3821.120814  ...  -2414.493603  12595.292658
Ind2_SIC58                -2262.144247  2338.709054  ...  -6855.498491   2331.209996
Ind2_SIC59                  792.749854  2653.406432  ...  -4418.687489   6004.187197
Ind2_SIC72                -1788.021544  1910.414761  ...  -5540.182052   1964.138964
Ind2_SIC73                -4966.652882  2347.249126  ...  -9576.780301   -356.525462
Ind2_SIC75                 3325.805849  3944.384096  ...  -4421.183200  11072.794898
Ind2_SIC76                -2257.866438  2165.730483  ...  -6511.481178   1995.748303
Ind2_SIC83                -5463.643418  2841.641204  ... -11044.784290    117.497454

[30 rows x 6 columns]
