Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 1pct
Method: Reg
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 2230.517500
SE: 1052.663032
pval: 0.034520
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1475.452063  5851.592420  ... -12968.304000  10017.399873
Treatment_FIN              2230.517500  1052.663032  ...    163.028944   4298.006055
Treatment_MKT              3516.825468  1191.779138  ...   1176.105166   5857.545769
Gender                    -1624.235636  1108.064327  ...  -3800.535407    552.064135
Age                         -29.833967    65.257868  ...   -158.004037     98.336102
Children_total              197.581039   359.641721  ...   -508.775240    903.937319
Race_SAblackcolored        2690.842439  5000.904843  ...  -7131.211934  12512.896811
Race_Foreigner             1248.706273  4957.833415  ...  -8488.753427  10986.165973
Educ_high                  2545.595550  1060.354567  ...    463.000391   4628.190708
Operating_yearstotal        176.757705    78.681124  ...     22.223615    331.291795
Activity_Hours              -35.006700    22.534141  ...    -79.265002      9.251602
pre_Employees1_composite   1518.262857   259.531410  ...   1008.528778   2027.996936
FormalReg                 -1311.522837  1077.517978  ...  -3427.827887    804.782212
pre_Profits3_composite_w1     0.545643     0.114958  ...      0.319858      0.771427
Ind2_SIC15                  220.416629  5922.829231  ... -11412.348354  11853.181613
Ind2_SIC17                -6138.137889  3468.799762  ... -12951.052939    674.777162
Ind2_SIC23                -1258.318695  2283.691522  ...  -5743.615457   3226.978067
Ind2_SIC25                 4096.032271  7421.302260  ... -10479.816819  18671.881361
Ind2_SIC34                -3922.122689  2730.519770  ...  -9285.014903   1440.769525
Ind2_SIC41                  194.988406  3858.946263  ...  -7384.196003   7774.172814
Ind2_SIC54                  719.064392  2197.909682  ...  -3597.752080   5035.880864
Ind2_SIC56                -1471.254188  2217.542827  ...  -5826.631245   2884.122869
Ind2_SIC57                 5094.641339  3819.666760  ...  -2407.395948  12596.678626
Ind2_SIC58                -2273.546366  2348.921006  ...  -6886.957450   2339.864719
Ind2_SIC59                  738.425260  2640.520795  ...  -4447.703977   5924.554497
Ind2_SIC72                -1747.292817  1910.665629  ...  -5499.946044   2005.360410
Ind2_SIC73                -4955.959672  2344.990923  ...  -9561.651856   -350.267487
Ind2_SIC75                 3310.714763  3935.992312  ...  -4419.792358  11041.221884
Ind2_SIC76                -2269.372496  2153.996430  ...  -6499.940907   1961.195914
Ind2_SIC83                -5518.960284  2833.297769  ... -11083.714186     45.793619

[30 rows x 6 columns]
