Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 1pct
Method: Mean
Iteration: 1
---
FocalIV: Treatment_FIN
Coef: 2226.371549
SE: 1052.429366
pval: 0.034816
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1318.207238  5848.924294  ... -12805.818828  10169.404352
Treatment_FIN              2226.371549  1052.429366  ...    159.341926   4293.401172
Treatment_MKT              3504.257245  1190.415004  ...   1166.216178   5842.298311
Gender                    -1594.020656  1111.788260  ...  -3777.634439    589.593127
Age                         -33.031918    65.117644  ...   -160.926582     94.862746
Children_total              199.308150   360.345163  ...   -508.429729    907.046029
Race_SAblackcolored        2635.356259  5014.207507  ...  -7212.825283  12483.537801
Race_Foreigner             1185.585138  4972.418149  ...  -8580.519787  10951.690063
Educ_high                  2515.914743  1056.891936  ...    440.120384   4591.709101
Operating_yearstotal        172.655766    78.801592  ...     17.885071    327.426462
Activity_Hours              -34.474453    22.541543  ...    -78.747292      9.798387
pre_Employees1_composite   1520.513464   259.405536  ...   1011.026610   2030.000319
FormalReg                 -1279.518516  1075.084720  ...  -3391.044510    832.007479
pre_Profits3_composite_w1     0.545106     0.114998  ...      0.319242      0.770969
Ind2_SIC15                  205.366420  5926.721736  ... -11435.043660  11845.776499
Ind2_SIC17                -6172.278623  3474.794131  ... -12996.966946    652.409700
Ind2_SIC23                -1141.903447  2285.325540  ...  -5630.409511   3346.602617
Ind2_SIC25                 4106.532761  7419.267713  ... -10465.320366  18678.385889
Ind2_SIC34                -3909.867121  2732.452570  ...  -9276.555461   1456.821219
Ind2_SIC41                  193.799788  3861.471302  ...  -7390.343937   7777.943513
Ind2_SIC54                  732.770839  2202.761590  ...  -3593.575050   5059.116728
Ind2_SIC56                -1461.799359  2219.271380  ...  -5820.571391   2896.972672
Ind2_SIC57                 5170.585741  3817.743841  ...  -2327.674827  12668.846309
Ind2_SIC58                -2272.499190  2344.310593  ...  -6876.855168   2331.856788
Ind2_SIC59                  767.980815  2645.769949  ...  -4428.458051   5964.419681
Ind2_SIC72                -1753.351218  1914.966568  ...  -5514.451728   2007.749292
Ind2_SIC73                -4963.004362  2349.934134  ...  -9578.405286   -347.603437
Ind2_SIC75                 3318.613717  3945.909203  ...  -4431.370727  11068.598160
Ind2_SIC76                -2248.221384  2161.112804  ...  -6492.766747   1996.323980
Ind2_SIC83                -5499.116152  2837.041029  ... -11071.222023     72.989720

[30 rows x 6 columns]
