Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 1pct
Method: Mean
Iteration: 1
---
FocalIV: Treatment_FIN
Coef: 2224.563636
SE: 1051.763525
pval: 0.034848
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1366.303597  5840.413525  ... -12837.199565  10104.592371
Treatment_FIN              2224.563636  1051.763525  ...    158.841762   4290.285511
Treatment_MKT              3568.548436  1192.202643  ...   1226.996347   5910.100526
Gender                    -1607.559653  1111.652441  ...  -3790.906679    575.787374
Age                         -32.761010    65.140928  ...   -160.701404     95.179385
Children_total              204.857163   360.037352  ...   -502.276158    911.990484
Race_SAblackcolored        2632.559170  4999.174681  ...  -7186.097068  12451.215409
Race_Foreigner             1239.282435  4959.822075  ...  -8502.083104  10980.647973
Educ_high                  2535.179607  1058.246423  ...    456.724961   4613.634253
Operating_yearstotal        179.597033    78.502527  ...     25.413717    333.780349
Activity_Hours              -34.670825    22.528693  ...    -78.918428      9.576778
pre_Employees1_composite   1518.072062   259.365956  ...   1008.662944   2027.481179
FormalReg                 -1333.063466  1074.806579  ...  -3444.043177    777.916245
pre_Profits3_composite_w1     0.546590     0.115151  ...      0.320428      0.772753
Ind2_SIC15                  227.394531  5925.525945  ... -11410.666948  11865.456011
Ind2_SIC17                -6122.299432  3474.449709  ... -12946.311290    701.712427
Ind2_SIC23                -1326.590734  2285.384303  ...  -5815.212212   3162.030744
Ind2_SIC25                 4095.732503  7423.598598  ... -10484.626723  18676.091729
Ind2_SIC34                -3925.716108  2737.067439  ...  -9301.468306   1450.036090
Ind2_SIC41                  210.156646  3863.131764  ...  -7377.248318   7797.561610
Ind2_SIC54                  700.124687  2203.541857  ...  -3627.753688   5028.003062
Ind2_SIC56                -1527.411037  2221.349707  ...  -5890.265017   2835.442943
Ind2_SIC57                 5090.864656  3816.870120  ...  -2405.679874  12587.409187
Ind2_SIC58                -2318.088802  2344.912264  ...  -6923.626495   2287.448890
Ind2_SIC59                  761.266378  2645.017954  ...  -4433.695528   5956.228284
Ind2_SIC72                -1743.026823  1912.574426  ...  -5499.429033   2013.375388
Ind2_SIC73                -5004.586176  2345.500791  ...  -9611.279770   -397.892582
Ind2_SIC75                 3312.592670  3939.401604  ...  -4424.610488  11049.795828
Ind2_SIC76                -2279.981028  2161.476570  ...  -6525.240847   1965.278792
Ind2_SIC83                -5505.047680  2836.844659  ... -11076.767871     66.672510

[30 rows x 6 columns]
