Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 20pct
Method: Reg
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 2250.559680
SE: 1051.849345
pval: 0.032801
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1459.884980  5902.103496  ... -13051.943470  10132.173510
Treatment_FIN              2250.559680  1051.849345  ...    184.669250   4316.450110
Treatment_MKT              3511.968371  1189.841995  ...   1175.052727   5848.884016
Gender                    -1540.182604  1096.603095  ...  -3693.971881    613.606673
Age                         -29.330670    66.283211  ...   -159.514571    100.853230
Children_total              178.454015   354.983279  ...   -518.752826    875.660857
Race_SAblackcolored        2629.296976  5007.232952  ...  -7205.186154  12463.780105
Race_Foreigner             1190.418483  4959.193207  ...  -8549.711923  10930.548888
Educ_high                  2513.887195  1054.921773  ...    441.962347   4585.812043
Operating_yearstotal        177.051865    78.578242  ...     22.719842    331.383888
Activity_Hours              -34.234373    23.720057  ...    -80.821879     12.353133
pre_Employees1_composite   1511.476175   260.647789  ...    999.549467   2023.402883
FormalReg                 -1245.545345  1063.058084  ...  -3333.450360    842.359670
pre_Profits3_composite_w1     0.546428     0.115032  ...      0.320498      0.772357
Ind2_SIC15                  284.936136  5919.488908  ... -11341.268268  11911.140540
Ind2_SIC17                -5869.468911  3457.182264  ... -12659.566551    920.628729
Ind2_SIC23                -1409.451289  2311.155882  ...  -5948.689577   3129.786999
Ind2_SIC25                 3986.320009  7422.500676  ... -10591.882837  18564.522854
Ind2_SIC34                -3951.414836  2736.786216  ...  -9326.614696   1423.785025
Ind2_SIC41                  237.059694  3842.356405  ...  -7309.541313   7783.660702
Ind2_SIC54                  705.755639  2201.075694  ...  -3617.279057   5028.790335
Ind2_SIC56                -1483.774844  2224.201821  ...  -5852.230535   2884.680847
Ind2_SIC57                 5088.076182  3829.638591  ...  -2433.546335  12609.698698
Ind2_SIC58                -2327.193821  2373.076945  ...  -6988.048510   2333.660868
Ind2_SIC59                  573.646803  2689.280558  ...  -4708.249313   5855.542918
Ind2_SIC72                -1771.854625  1915.334834  ...  -5533.678429   1989.969179
Ind2_SIC73                -4902.938122  2347.971876  ...  -9514.485064   -291.391180
Ind2_SIC75                 3345.255297  3948.681726  ...  -4410.174536  11100.685131
Ind2_SIC76                -2178.484159  2145.245957  ...  -6391.866155   2034.897838
Ind2_SIC83                -5484.115108  2838.057941  ... -11058.218253     89.988037

[30 rows x 6 columns]
