Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 20pct
Method: LD
Iteration: 27
---
FocalIV: Treatment_FIN
Coef: 2416.476581
SE: 1257.845454
pval: 0.055335
Nobs: 489
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -3743.617502  6807.854832  ... -17122.044526   9634.809522
Treatment_FIN              2416.476581  1257.845454  ...    -55.373074   4888.326236
Treatment_MKT              4006.090256  1484.413203  ...   1089.001953   6923.178560
Gender                    -2452.366870  1233.764102  ...  -4876.893159    -27.840582
Age                          15.116106    77.578043  ...   -137.336056    167.568268
Children_total              173.098353   444.576810  ...   -700.559878   1046.756584
Race_SAblackcolored        3630.658221  5804.230281  ...  -7775.500277  15036.816719
Race_Foreigner             1996.528637  5732.848785  ...  -9269.354816  13262.412090
Educ_high                  3703.883259  1290.765841  ...   1167.340246   6240.426272
Operating_yearstotal        131.901983    85.662701  ...    -36.437710    300.241677
Activity_Hours              -45.282665    26.731505  ...    -97.813968      7.248639
pre_Employees1_composite   1533.476045   274.190075  ...    994.652582   2072.299507
FormalReg                 -1687.311421  1195.887057  ...  -4037.403794    662.780952
pre_Profits3_composite_w1     0.501787     0.115521  ...      0.274772      0.728802
Ind2_SIC15                 1332.652789  6187.363696  ... -10826.418713  13491.724291
Ind2_SIC17                -6764.328880  4115.758171  ... -14852.393577   1323.735817
Ind2_SIC23                -1338.806539  2608.856700  ...  -6465.590207   3787.977130
Ind2_SIC25                 5473.331269  8348.688050  ... -10933.057612  21879.720151
Ind2_SIC34                -4121.047045  3248.834368  ... -10505.480112   2263.386022
Ind2_SIC41                 -270.094323  4746.013033  ...  -9596.701689   9056.513042
Ind2_SIC54                  -71.085096  2388.691031  ...  -4765.211135   4623.040943
Ind2_SIC56                -2039.291507  2566.535884  ...  -7082.908605   3004.325590
Ind2_SIC57                 5261.309187  4125.287642  ...  -2845.482311  13368.100685
Ind2_SIC58                -2166.352249  2824.478061  ...  -7716.863320   3384.158822
Ind2_SIC59                 1985.592118  3245.564811  ...  -4392.415792   8363.600029
Ind2_SIC72                -1048.092824  2129.327884  ...  -5232.532476   3136.346829
Ind2_SIC73                -5413.476963  2648.790907  ... -10618.737169   -208.216757
Ind2_SIC75                 4027.292057  4595.772289  ...  -5004.070348  13058.654461
Ind2_SIC76                -1916.611569  2464.561291  ...  -6759.833727   2926.610589
Ind2_SIC83                -4910.107367  3289.318950  ... -11374.098538   1553.883805

[30 rows x 6 columns]
