Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 20pct
Method: RF
Iteration: 10
---
FocalIV: Treatment_FIN
Coef: 2069.356005
SE: 1058.370061
pval: 0.051035
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                   518.758885  6040.864060  ... -11345.833047  12383.350816
Treatment_FIN              2069.356005  1058.370061  ...     -9.341472   4148.053482
Treatment_MKT              3225.965143  1167.823863  ...    932.294329   5519.635957
Gender                    -1479.521711  1084.300348  ...  -3609.147710    650.104288
Age                         -30.270781    63.671333  ...   -155.324809     94.783247
Children_total               92.731253   339.288532  ...   -573.650234    759.112740
Race_SAblackcolored        1203.799494  5210.902143  ...  -9030.701218  11438.300206
Race_Foreigner              146.122556  5184.722609  ... -10036.960100  10329.205212
Educ_high                  2334.918650   992.722959  ...    385.155720   4284.681579
Operating_yearstotal        134.586378    73.382606  ...     -9.541128    278.713885
Activity_Hours              -37.861851    21.404102  ...    -79.900694      4.176992
pre_Employees1_composite   1466.507339   261.798813  ...    952.319957   1980.694722
FormalReg                 -1582.242245  1099.038216  ...  -3740.814234    576.329744
pre_Profits3_composite_w1     0.644335     0.118762  ...      0.411080      0.877590
Ind2_SIC15                -1057.387736  5264.665961  ... -11397.483568   9282.708097
Ind2_SIC17                -6712.515349  3604.781710  ... -13792.506483    367.475785
Ind2_SIC23                 -682.855915  2287.641153  ...  -5175.909970   3810.198140
Ind2_SIC25                 3564.671604  7159.230033  ... -10496.453104  17625.796312
Ind2_SIC34                -4093.235405  2827.720601  ...  -9647.035440   1460.564630
Ind2_SIC41                 -143.085211  3604.392513  ...  -7222.311942   6936.141520
Ind2_SIC54                  309.203334  2159.981038  ...  -3933.119179   4551.525847
Ind2_SIC56                -1470.226903  2165.741207  ...  -5723.862706   2783.408901
Ind2_SIC57                 5298.350927  3939.252308  ...  -2438.559007  13035.260861
Ind2_SIC58                -2198.523367  2284.570448  ...  -6685.546388   2288.499654
Ind2_SIC59                 -441.190761  2615.287079  ...  -5577.759582   4695.378060
Ind2_SIC72                -1564.483643  1852.101682  ...  -5202.114030   2073.146744
Ind2_SIC73                -5019.720324  2367.418600  ...  -9669.461708   -369.978940
Ind2_SIC75                 3380.654858  3701.606328  ...  -3889.505195  10650.814912
Ind2_SIC76                -1769.182721  2114.271520  ...  -5921.729206   2383.363765
Ind2_SIC83                -4942.527570  2733.500615  ... -10311.274330    426.219189

[30 rows x 6 columns]
