Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 20pct
Method: Reg
Iteration: 6
---
FocalIV: Treatment_FIN
Coef: 2087.754298
SE: 1121.021811
pval: 0.063056
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1416.946242  6023.971309  ... -13248.359875  10414.467390
Treatment_FIN              2087.754298  1121.021811  ...   -113.994690   4289.503285
Treatment_MKT              3660.576247  1208.141087  ...   1287.720170   6033.432323
Gender                    -1818.098217  1110.719143  ...  -3999.612195    363.415761
Age                         -36.575754    65.702999  ...   -165.620087     92.468579
Children_total              199.041850   363.807579  ...   -515.496406    913.580106
Race_SAblackcolored        2557.681494  5160.919271  ...  -7578.650086  12694.013073
Race_Foreigner              928.846780  5114.180035  ...  -9115.686348  10973.379909
Educ_high                  2945.174127  1049.809855  ...    883.289369   5007.058885
Operating_yearstotal        182.053739    80.215464  ...     24.506120    339.601358
Activity_Hours              -41.612369    23.211467  ...    -87.200977      3.976238
pre_Employees1_composite   1607.700166   267.470505  ...   1082.373266   2133.027066
FormalReg                  -918.545372  1110.001035  ...  -3098.648945   1261.558202
pre_Profits3_composite_w1     0.490562     0.107239  ...      0.279939      0.701185
Ind2_SIC15                 1045.002695  5821.445075  ... -10388.638185  12478.643574
Ind2_SIC17                -5570.281954  3435.866057  ... -12318.513381   1177.949473
Ind2_SIC23                 -523.573889  2341.954245  ...  -5123.301869   4076.154091
Ind2_SIC25                 5067.071076  7520.133553  ...  -9702.888154  19837.030306
Ind2_SIC34                -4130.821598  2704.220168  ...  -9442.059935   1180.416740
Ind2_SIC41                  695.568361  3949.138975  ...  -7060.759534   8451.896256
Ind2_SIC54                 1135.490451  2287.588442  ...  -3357.460077   5628.440978
Ind2_SIC56                   98.288851  2240.473031  ...  -4302.124399   4498.702101
Ind2_SIC57                 5013.359486  4098.576519  ...  -3036.472031  13063.191003
Ind2_SIC58                -1718.053578  2418.060150  ...  -6467.257775   3031.150620
Ind2_SIC59                 1038.038139  2736.221217  ...  -4336.052033   6412.128311
Ind2_SIC72                -1414.774700  2014.147784  ...  -5370.672616   2541.123216
Ind2_SIC73                -5190.440084  2517.172796  ... -10134.307012   -246.573157
Ind2_SIC75                 6286.963030  5411.111013  ...  -4340.759003  16914.685062
Ind2_SIC76                -1560.747430  2243.475936  ...  -5967.058551   2845.563691
Ind2_SIC83                -6212.423598  3023.996680  ... -12151.720735   -273.126462

[30 rows x 6 columns]
