Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 30pct
Method: DL
Iteration: 9
---
FocalIV: Treatment_FIN
Coef: 2262.220053
SE: 1049.931422
pval: 0.031601
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1731.391065  6126.180020  ... -13763.548272  10300.766141
Treatment_FIN              2262.220053  1049.931422  ...    200.096529   4324.343577
Treatment_MKT              3512.026636  1187.059423  ...   1180.576116   5843.477156
Gender                    -1536.651293  1097.532461  ...  -3692.265895    618.963310
Age                         -37.136767    64.838087  ...   -164.482365     90.208831
Children_total              178.477029   356.591183  ...   -521.887824    878.841882
Race_SAblackcolored        2743.874288  5099.602142  ...  -7272.027052  12759.775627
Race_Foreigner             1288.760444  5039.648641  ...  -8609.388895  11186.909783
Educ_high                  2516.021556  1055.136562  ...    443.674850   4588.368263
Operating_yearstotal        178.382197    78.472097  ...     24.258647    332.505747
Activity_Hours              -24.604979    25.807679  ...    -75.292692     26.082733
pre_Employees1_composite   1517.616702   261.117103  ...   1004.768235   2030.465169
FormalReg                 -1277.496278  1067.863565  ...  -3374.839524    819.846968
pre_Profits3_composite_w1     0.546258     0.114888  ...      0.320612      0.771905
Ind2_SIC15                  226.797032  5916.806190  ... -11394.138365  11847.732428
Ind2_SIC17                -6031.928998  3490.464253  ... -12887.394309    823.536314
Ind2_SIC23                -1277.879475  2276.004001  ...  -5748.077520   3192.318570
Ind2_SIC25                 4052.218472  7413.203083  ... -10507.723385  18612.160330
Ind2_SIC34                -4010.135353  2733.078786  ...  -9378.053615   1357.782910
Ind2_SIC41                   14.496492  3902.248955  ...  -7649.736805   7678.729789
Ind2_SIC54                  582.148012  2189.175689  ...  -3717.514415   4881.810438
Ind2_SIC56                -1619.633261  2244.950844  ...  -6028.841184   2789.574662
Ind2_SIC57                 4842.458592  3871.740424  ...  -2761.854258  12446.771443
Ind2_SIC58                -2396.887378  2321.084675  ...  -6955.626365   2161.851610
Ind2_SIC59                  737.594033  2645.866292  ...  -4459.034057   5934.222123
Ind2_SIC72                -1946.706327  1913.425684  ...  -5704.780454   1811.367801
Ind2_SIC73                -5119.224026  2367.018620  ...  -9768.179828   -470.268225
Ind2_SIC75                 2851.355924  4010.395349  ...  -5025.282886  10727.994734
Ind2_SIC76                -2374.958007  2170.258742  ...  -6637.466500   1887.550485
Ind2_SIC83                -5482.168330  2845.036275  ... -11069.977310    105.640649

[30 rows x 6 columns]
