Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 30pct
Method: Iter
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 2239.066329
SE: 1052.163544
pval: 0.033752
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -4202.593865  5952.641155  ... -15893.911119   7488.723389
Treatment_FIN              2239.066329  1052.163544  ...    172.558795   4305.573863
Treatment_MKT              3524.107751  1191.679584  ...   1183.582978   5864.632524
Gender                    -1528.490177  1097.871436  ...  -3684.770547    627.790192
Age                         -29.608955    66.495090  ...   -160.208998    100.991087
Children_total              158.480150   349.445008  ...   -527.849220    844.809520
Race_SAblackcolored        3216.441987  5095.171479  ...  -6790.757284  13223.641258
Race_Foreigner             1468.827948  5041.886813  ...  -8433.717286  11371.373182
Educ_high                  2519.900889  1061.354072  ...    435.342647   4604.459130
Operating_yearstotal        163.980050    80.390698  ...      6.088263    321.871837
Activity_Hours               12.900386    22.648495  ...    -31.582514     57.383286
pre_Employees1_composite   1522.800401   262.258842  ...   1007.709495   2037.891306
FormalReg                 -1312.724947  1079.653611  ...  -3433.224497    807.774604
pre_Profits3_composite_w1     0.545923     0.114975  ...      0.320105      0.771741
Ind2_SIC15                  109.458490  5939.302244  ... -11555.660405  11774.577384
Ind2_SIC17                -5934.470924  3444.167799  ... -12699.007433    830.065585
Ind2_SIC23                -1346.156098  2287.359267  ...  -5838.656515   3146.344319
Ind2_SIC25                 3751.096167  7480.123336  ... -10940.280778  18442.473113
Ind2_SIC34                -4117.279785  2753.388451  ...  -9525.087356   1290.527787
Ind2_SIC41                  -39.799544  3951.356551  ...  -7800.482882   7720.883794
Ind2_SIC54                  119.964641  2306.490585  ...  -4410.110743   4650.040026
Ind2_SIC56                -1686.822277  2268.698691  ...  -6142.672288   2769.027734
Ind2_SIC57                 5003.994044  3813.746400  ...  -2486.415327  12494.403416
Ind2_SIC58                -2706.176277  2424.728713  ...  -7468.477901   2056.125346
Ind2_SIC59                  675.623231  2652.736193  ...  -4534.497726   5885.744188
Ind2_SIC72                -2146.508513  1976.920426  ...  -6029.289835   1736.272809
Ind2_SIC73                -5227.983276  2408.191135  ...  -9957.804180   -498.162372
Ind2_SIC75                 2737.890581  4033.160755  ...  -5183.460749  10659.241910
Ind2_SIC76                -2552.312585  2227.024025  ...  -6926.311242   1821.686071
Ind2_SIC83                -5468.606876  2833.369417  ... -11033.501498     96.287746

[30 rows x 6 columns]
