Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 40pct
Method: Reg
Iteration: 29
---
FocalIV: Treatment_FIN
Coef: 1948.260475
SE: 1032.367939
pval: 0.059635
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1734.194813  5802.834696  ... -13131.283877   9662.894252
Treatment_FIN              1948.260475  1032.367939  ...    -79.367394   3975.888345
Treatment_MKT              3743.110136  1188.839730  ...   1408.162994   6078.057277
Gender                    -1538.339337  1104.919106  ...  -3708.461719    631.783046
Age                         -57.905717    63.810211  ...   -183.232509     67.421075
Children_total              219.939835   358.454715  ...   -484.085100    923.964769
Race_SAblackcolored        3575.511222  4980.194325  ...  -6205.866545  13356.888990
Race_Foreigner             2571.752449  4948.364110  ...  -7147.109010  12290.613907
Educ_high                  2961.126579  1065.715701  ...    868.001857   5054.251300
Operating_yearstotal        339.453405    90.393304  ...    161.915944    516.990866
Activity_Hours              -41.583492    22.993271  ...    -86.743551      3.576567
pre_Employees1_composite   1485.537092   262.479086  ...    970.013615   2001.060569
FormalReg                 -1683.716416  1084.317476  ...  -3813.376055    445.943223
pre_Profits3_composite_w1     0.532138     0.112331  ...      0.311513      0.752763
Ind2_SIC15                  948.223901  5877.942800  ... -10596.381644  12492.829446
Ind2_SIC17                -5993.001618  3401.673400  ... -12674.076771    688.073535
Ind2_SIC23                 -991.870421  2237.971266  ...  -5387.370064   3403.629223
Ind2_SIC25                 5274.152869  7364.539199  ...  -9190.210422  19738.516161
Ind2_SIC34                -3567.604438  2587.963821  ...  -8650.508864   1515.299987
Ind2_SIC41                  569.684765  3837.004728  ...  -6966.405252   8105.774781
Ind2_SIC54                  385.376406  2211.784312  ...  -3958.690610   4729.443421
Ind2_SIC56                -1240.252572  2192.430923  ...  -5546.308458   3065.803314
Ind2_SIC57                 5272.392160  3680.890844  ...  -1957.081533  12501.865854
Ind2_SIC58                -2647.768339  2319.300979  ...  -7203.004049   1907.467372
Ind2_SIC59                  232.201482  2692.288021  ...  -5055.601457   5520.004421
Ind2_SIC72                -2392.783051  1963.402945  ...  -6249.015290   1463.449188
Ind2_SIC73                -4581.072813  2321.270599  ...  -9140.176965    -21.968661
Ind2_SIC75                 2976.377898  3936.112556  ...  -4754.365388  10707.121183
Ind2_SIC76                -2320.538974  2147.819639  ...  -6538.975825   1897.897878
Ind2_SIC83                -5800.323168  2849.474983  ... -11396.850015   -203.796322

[30 rows x 6 columns]
