Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 40pct
Method: DL
Iteration: 27
---
FocalIV: Treatment_FIN
Coef: 2107.692972
SE: 1117.945618
pval: 0.059884
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -3377.152840  6194.500181  ... -15543.494631   8789.188951
Treatment_FIN              2107.692972  1117.945618  ...    -88.014202   4303.400147
Treatment_MKT              2966.327120  1206.440778  ...    596.810545   5335.843695
Gender                     -897.462223  1155.364027  ...  -3166.661228   1371.736782
Age                         -42.757175    66.074609  ...   -172.531369     87.017020
Children_total              429.013327   359.009343  ...   -276.100926   1134.127580
Race_SAblackcolored        4098.279826  5679.228863  ...  -7056.040528  15252.600181
Race_Foreigner             2001.644537  5612.441437  ...  -9021.501611  13024.790686
Educ_high                  3184.112058  1018.250078  ...   1184.212451   5184.011666
Operating_yearstotal        292.978287    86.387777  ...    123.307904    462.648671
Activity_Hours              -35.518981    23.263626  ...    -81.210032     10.172069
pre_Employees1_composite   1380.332354   295.257242  ...    800.430762   1960.233947
FormalReg                 -1317.324441  1133.573013  ...  -3543.724686    909.075804
pre_Profits3_composite_w1     0.542235     0.113177  ...      0.319950      0.764520
Ind2_SIC15                 2560.516655  5635.683205  ...  -8508.277613  13629.310923
Ind2_SIC17                -6152.081211  3339.023961  ... -12710.109393    405.946971
Ind2_SIC23                -2465.009703  2445.756729  ...  -7268.611516   2338.592111
Ind2_SIC25                 5889.302737  7248.152340  ...  -8346.470311  20125.075784
Ind2_SIC34                -1957.128268  2380.751708  ...  -6633.056616   2718.800080
Ind2_SIC41                  648.154975  3814.417601  ...  -6843.572672   8139.882622
Ind2_SIC54                  712.257572  2281.749458  ...  -3769.224867   5193.740012
Ind2_SIC56                -1373.490930  2378.571714  ...  -6045.137649   3298.155789
Ind2_SIC57                 4715.264049  3889.679294  ...  -2924.281736  12354.809833
Ind2_SIC58                -1975.247079  2428.456574  ...  -6744.870428   2794.376271
Ind2_SIC59                 2091.928203  3623.737770  ...  -5025.293685   9209.150092
Ind2_SIC72                -1442.569109  2032.121998  ...  -5433.769379   2548.631160
Ind2_SIC73                -5256.120152  2493.115474  ... -10152.737167   -359.503137
Ind2_SIC75                 5234.844236  5049.211426  ...  -4682.086942  15151.775414
Ind2_SIC76                 -797.452668  2202.575609  ...  -5123.433280   3528.527944
Ind2_SIC83                -5973.072091  3051.201802  ... -11965.801595     19.657414

[30 rows x 6 columns]
