Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 50pct
Method: DL
Iteration: 16
---
FocalIV: Treatment_FIN
Coef: 2224.690196
SE: 1051.956872
pval: 0.034871
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -4255.901777  6081.425376  ... -16200.158383   7688.354828
Treatment_FIN              2224.690196  1051.956872  ...    158.588577   4290.791815
Treatment_MKT              3493.573625  1189.089784  ...   1158.135364   5829.011887
Gender                    -1740.277355  1113.157113  ...  -3926.579641    446.024930
Age                          30.755350    66.049760  ...    -98.970040    160.480740
Children_total              161.173014   360.609045  ...   -547.083144    869.429172
Race_SAblackcolored        3320.001835  5030.660954  ...  -6560.495188  13200.498858
Race_Foreigner             1800.308346  4985.631979  ...  -7991.749275  11592.365967
Educ_high                  2703.639842  1075.036393  ...    592.208765   4815.070920
Operating_yearstotal        142.794460    73.596316  ...     -1.752785    287.341704
Activity_Hours              -32.844560    22.214304  ...    -76.474685     10.785564
pre_Employees1_composite   1521.806814   259.754480  ...   1011.634613   2031.979015
FormalReg                 -1463.801612  1046.685818  ...  -3519.550589    591.947366
pre_Profits3_composite_w1     0.544943     0.114897  ...      0.319279      0.770607
Ind2_SIC15                  215.744650  5915.268830  ... -11402.171287  11833.660586
Ind2_SIC17                -6162.299401  3496.980922  ... -13030.563811    705.965010
Ind2_SIC23                -1426.571987  2368.426917  ...  -6078.293763   3225.149789
Ind2_SIC25                 3989.833400  7399.172879  ... -10542.552359  18522.219159
Ind2_SIC34                -4036.410689  2848.007147  ...  -9630.054624   1557.233247
Ind2_SIC41                  105.931210  3879.979497  ...  -7514.563636   7726.426055
Ind2_SIC54                  657.731023  2185.956688  ...  -3635.609105   4951.071152
Ind2_SIC56                -1580.692874  2283.012389  ...  -6064.655780   2903.270033
Ind2_SIC57                 5209.933887  3808.395718  ...  -2269.966447  12689.834222
Ind2_SIC58                -2383.204918  2307.888959  ...  -6916.026788   2149.616952
Ind2_SIC59                  464.077780  2666.216883  ...  -4772.519999   5700.675558
Ind2_SIC72                -1456.519186  1894.534880  ...  -5177.490727   2264.452354
Ind2_SIC73                -4817.378416  2322.772454  ...  -9379.432295   -255.324536
Ind2_SIC75                 3281.248284  3966.907273  ...  -4509.977535  11072.474102
Ind2_SIC76                -2249.438325  2146.469339  ...  -6465.223111   1966.346462
Ind2_SIC83                -5793.184686  2798.975951  ... -11290.528635   -295.840737

[30 rows x 6 columns]
