Paper: 0025
KeyVar: Age
Mechanism: MCAR
Proportion: 50pct
Method: RF
Iteration: 23
---
FocalIV: Treatment_FIN
Coef: 2313.011708
SE: 1052.778744
pval: 0.028411
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                  1276.372382  5995.075185  ... -10498.287660  13051.032424
Treatment_FIN              2313.011708  1052.778744  ...    245.295887   4380.727529
Treatment_MKT              3563.670922  1196.064360  ...   1214.534206   5912.807637
Gender                    -1589.092696  1090.986469  ...  -3731.850607    553.665215
Age                        -101.563131    51.295599  ...   -202.310531     -0.815730
Children_total              263.296409   368.348375  ...   -460.160222    986.753040
Race_SAblackcolored        2515.248310  5019.619798  ...  -7343.563272  12374.059891
Race_Foreigner              973.942997  5025.720443  ...  -8896.850590  10844.736584
Educ_high                  2387.459813  1013.430551  ...    397.026025   4377.893601
Operating_yearstotal        234.322976    78.872545  ...     79.412925    389.233027
Activity_Hours              -36.450402    23.201343  ...    -82.019126      9.118323
pre_Employees1_composite   1499.088635   258.993959  ...    990.410140   2007.767130
FormalReg                 -1262.599068  1004.351696  ...  -3235.201481    710.003346
pre_Profits3_composite_w1     0.545879     0.115186  ...      0.319647      0.772112
Ind2_SIC15                  272.647051  5885.390943  ... -11286.587060  11831.881161
Ind2_SIC17                -6175.418983  3496.988968  ... -13043.699196    692.861231
Ind2_SIC23                -1284.837407  2248.296778  ...  -5700.616930   3130.942116
Ind2_SIC25                 4388.918991  7416.387960  ... -10177.278143  18955.116125
Ind2_SIC34                -4096.425868  2715.462048  ...  -9429.743882   1236.892145
Ind2_SIC41                  271.005276  3845.056269  ...  -7280.898414   7822.908966
Ind2_SIC54                  726.998497  2174.688991  ...  -3544.211251   4998.208244
Ind2_SIC56                -1524.091588  2198.967861  ...  -5842.986382   2794.803206
Ind2_SIC57                 4863.313209  3878.738988  ...  -2754.745209  12481.371626
Ind2_SIC58                -2247.476511  2291.690408  ...  -6748.483529   2253.530506
Ind2_SIC59                  600.818025  2478.698736  ...  -4267.483716   5469.119766
Ind2_SIC72                -1980.482430  1982.280880  ...  -5873.791980   1912.827120
Ind2_SIC73                -5083.019813  2366.928047  ...  -9731.797724   -434.241903
Ind2_SIC75                 3356.921600  3935.414127  ...  -4372.449933  11086.293132
Ind2_SIC76                -2479.717760  2128.233665  ...  -6659.686672   1700.251152
Ind2_SIC83                -5459.782373  2731.598902  ... -10824.794063    -94.770684

[30 rows x 6 columns]
