Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 50pct
Method: DL
Iteration: 8
---
FocalIV: Treatment_FIN
Coef: 2352.629059
SE: 1060.870580
pval: 0.026965
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1945.389873  6037.228943  ... -13802.842234   9912.062488
Treatment_FIN              2352.629059  1060.870580  ...    269.020423   4436.237696
Treatment_MKT              3525.076957  1208.230525  ...   1152.045220   5898.108695
Gender                    -1593.413471  1114.192531  ...  -3781.749375    594.922432
Age                          -6.020378    64.792243  ...   -133.275936    121.235180
Children_total              205.119581   363.266771  ...   -508.356498    918.595661
Race_SAblackcolored        2421.850830  5200.639410  ...  -7792.493306  12636.194967
Race_Foreigner              800.876788  5156.431945  ...  -9326.641435  10928.395010
Educ_high                  2475.389769  1058.398145  ...    396.637133   4554.142405
Operating_yearstotal         76.238171    82.453824  ...    -85.705710    238.182052
Activity_Hours              -31.274286    22.505868  ...    -75.477059     12.928487
pre_Employees1_composite   1525.362710   258.849471  ...   1016.967998   2033.757422
FormalReg                 -1193.095002  1083.736312  ...  -3321.613204    935.423200
pre_Profits3_composite_w1     0.547373     0.115736  ...      0.320061      0.774686
Ind2_SIC15                   37.715073  5955.838694  ... -11659.882326  11735.312472
Ind2_SIC17                -6182.601545  3493.287566  ... -13043.611999    678.408910
Ind2_SIC23                 -924.318486  2307.538235  ...  -5456.451513   3607.814542
Ind2_SIC25                 4154.398152  7319.856498  ... -10222.205838  18531.002142
Ind2_SIC34                -3941.724990  2721.811229  ...  -9287.513146   1404.063167
Ind2_SIC41                  -57.574339  3914.811963  ...  -7746.482081   7631.333402
Ind2_SIC54                  926.240861  2238.625164  ...  -3470.543076   5323.024798
Ind2_SIC56                -1351.964335  2221.400133  ...  -5714.917355   3010.988685
Ind2_SIC57                 5457.110339  3787.049503  ...  -1980.864847  12895.085524
Ind2_SIC58                -2411.274068  2358.376553  ...  -7043.256371   2220.708235
Ind2_SIC59                  915.873091  2640.653378  ...  -4270.516547   6102.262730
Ind2_SIC72                -1523.326896  1934.252480  ...  -5322.306005   2275.652214
Ind2_SIC73                -4859.977476  2358.561504  ...  -9492.323033   -227.631919
Ind2_SIC75                 3184.046708  4037.779215  ...  -4746.375534  11114.468950
Ind2_SIC76                -2052.889939  2157.293159  ...  -6289.933309   2184.153431
Ind2_SIC83                -5601.343510  2852.799075  ... -11204.399059      1.712039

[30 rows x 6 columns]
