Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 50pct
Method: Iter
Iteration: 26
---
FocalIV: Treatment_FIN
Coef: 2320.867700
SE: 1049.266976
pval: 0.027362
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1581.281945  5980.277907  ... -13326.879313  10164.315424
Treatment_FIN              2320.867700  1049.266976  ...    260.049185   4381.686215
Treatment_MKT              3566.567211  1212.916144  ...   1184.332658   5948.801763
Gender                    -1571.339447  1113.109913  ...  -3757.549029    614.870136
Age                         -24.347485    66.599226  ...   -155.152057    106.457087
Children_total              230.205919   360.040152  ...   -476.932900    937.344738
Race_SAblackcolored        2563.520440  5176.775070  ...  -7603.952808  12730.993689
Race_Foreigner              886.462786  5119.670234  ...  -9168.853399  10941.778971
Educ_high                  2485.866998  1054.559660  ...    414.653359   4557.080637
Operating_yearstotal        124.938378    87.315056  ...    -46.553233    296.429990
Activity_Hours              -35.350237    22.261036  ...    -79.072147      8.371672
pre_Employees1_composite   1539.281595   259.958055  ...   1028.709563   2049.853627
FormalReg                 -1287.371227  1068.403599  ...  -3385.775130    811.032676
pre_Profits3_composite_w1     0.549232     0.115164  ...      0.323044      0.775420
Ind2_SIC15                  223.574229  5969.180844  ... -11500.227892  11947.376350
Ind2_SIC17                -6017.399481  3456.056078  ... -12805.285229    770.486268
Ind2_SIC23                 -842.507472  2292.298233  ...  -5344.708292   3659.693348
Ind2_SIC25                 4293.270943  7346.261793  ... -10135.194511  18721.736397
Ind2_SIC34                -3809.695764  2719.884210  ...  -9151.699148   1532.307620
Ind2_SIC41                  -35.092053  3864.544903  ...  -7625.272501   7555.088394
Ind2_SIC54                  843.458758  2234.571348  ...  -3545.363258   5232.280774
Ind2_SIC56                -1361.291534  2217.111123  ...  -5715.820701   2993.237632
Ind2_SIC57                 5625.620788  3700.267072  ...  -1641.908891  12893.150468
Ind2_SIC58                -2226.705582  2335.571264  ...  -6813.897034   2360.485870
Ind2_SIC59                  859.503335  2625.940509  ...  -4297.989411   6016.996082
Ind2_SIC72                -1235.058520  1884.137157  ...  -4935.608356   2465.491316
Ind2_SIC73                -4905.993294  2370.582888  ...  -9561.949516   -250.037072
Ind2_SIC75                 3687.379472  4075.073910  ...  -4316.291617  11691.050561
Ind2_SIC76                -1931.185055  2147.276633  ...  -6148.555413   2286.185302
Ind2_SIC83                -5569.754709  2845.539819  ... -11158.552677     19.043259

[30 rows x 6 columns]
