Paper: 0025
KeyVar: Activity_Hours
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 15
---
FocalIV: Treatment_FIN
Coef: 2221.445279
SE: 1116.483146
pval: 0.047120
Nobs: 581
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -6657.228997  5451.691985  ... -17365.871382   4051.413389
Treatment_FIN              2221.445279  1116.483146  ...     28.361229   4414.529330
Treatment_MKT              3098.948426  1221.623680  ...    699.339066   5498.557786
Gender                    -1610.197992  1162.622903  ...  -3893.913385    673.517400
Age                          -9.425092    66.036029  ...   -139.138257    120.288073
Children_total              175.046833   378.579294  ...   -568.588406    918.682071
Race_SAblackcolored        7436.471510  4764.299691  ...  -1921.940841  16794.883860
Race_Foreigner             5989.073970  4720.225114  ...  -3282.763628  15260.911568
Educ_high                  2547.686603  1095.282530  ...    396.246470   4699.126736
Operating_yearstotal        163.192982    80.167971  ...      5.720745    320.665220
Activity_Hours              -35.138120    23.431391  ...    -81.163902     10.887662
pre_Employees1_composite   1541.148886   261.912662  ...   1026.679425   2055.618348
FormalReg                 -1124.907626  1098.598715  ...  -3282.861670   1033.046418
pre_Profits3_composite_w1     0.515502     0.118940  ...      0.281870      0.749135
Ind2_SIC15                  762.936499  6606.776224  ... -12214.613241  13740.486240
Ind2_SIC17                -6153.617164  3540.410883  ... -13107.970812    800.736484
Ind2_SIC23                -1508.726112  2319.806009  ...  -6065.471618   3048.019394
Ind2_SIC25                 4142.862248  7503.425525  ... -10595.956604  18881.681101
Ind2_SIC34                -3929.212693  2770.717819  ...  -9371.674659   1513.249272
Ind2_SIC41                  101.223002  3890.816300  ...  -7541.424539   7743.870543
Ind2_SIC54                  504.609532  2262.194149  ...  -3938.970225   4948.189289
Ind2_SIC56                -1341.124394  2263.567008  ...  -5787.400828   3105.152040
Ind2_SIC57                 4986.780839  3949.618145  ...  -2771.369913  12744.931592
Ind2_SIC58                -2404.127460  2363.959066  ...  -7047.601875   2239.346954
Ind2_SIC59                  536.399411  2745.697959  ...  -4856.916575   5929.715397
Ind2_SIC72                -1655.348783  1939.227309  ...  -5464.531658   2153.834092
Ind2_SIC73                -5861.779638  2374.604903  ... -10526.165444  -1197.393832
Ind2_SIC75                 3564.089235  4351.980818  ...  -4984.413941  12112.592412
Ind2_SIC76                -2379.318071  2203.834245  ...  -6708.262713   1949.626571
Ind2_SIC83                -5794.317573  2830.718545  ... -11354.637685   -233.997461

[30 rows x 6 columns]
