Paper: 0025
KeyVar: Operating_yearstotal
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 6
---
FocalIV: Treatment_FIN
Coef: 2456.055171
SE: 1103.681667
pval: 0.026463
Nobs: 581
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2532.832714  5951.210455  ... -14222.668586   9157.003157
Treatment_FIN              2456.055171  1103.681667  ...    288.116793   4623.993549
Treatment_MKT              3508.214069  1241.722498  ...   1069.125029   5947.303109
Gender                    -1778.418065  1166.432304  ...  -4069.616183    512.780052
Age                         -19.606276    69.397177  ...   -155.921672    116.709121
Children_total              169.452363   404.175113  ...   -624.460198    963.364923
Race_SAblackcolored        3152.072021  5001.086038  ...  -6671.454706  12975.598748
Race_Foreigner             1747.044025  4970.490294  ...  -8016.384133  11510.472183
Educ_high                  2581.974824  1097.604782  ...    425.973141   4737.976507
Operating_yearstotal        174.300118    84.765721  ...      7.796618    340.803618
Activity_Hours              -30.587947    22.895697  ...    -75.561477     14.385584
pre_Employees1_composite   1491.044103   267.391203  ...    965.813261   2016.274945
FormalReg                 -1169.580609  1129.096354  ...  -3387.440516   1048.279298
pre_Profits3_composite_w1     0.566041     0.122063  ...      0.326275      0.805806
Ind2_SIC15                  843.521312  6368.486858  ... -11665.961704  13353.004328
Ind2_SIC17                -5946.732804  3580.152391  ... -12979.149849   1085.684240
Ind2_SIC23                -1306.866136  2359.035712  ...  -5940.669712   3326.937440
Ind2_SIC25                 3815.544331  7448.527340  ... -10815.439188  18446.527849
Ind2_SIC34                -4035.257364  2948.986298  ...  -9827.888304   1757.373577
Ind2_SIC41                  -38.125005  3893.044196  ...  -7685.148755   7608.898746
Ind2_SIC54                  753.693169  2243.275220  ...  -3652.724540   5160.110879
Ind2_SIC56                -1442.837997  2291.674712  ...  -5944.325796   3058.649802
Ind2_SIC57                 4817.647013  3828.542662  ...  -2702.677747  12337.971774
Ind2_SIC58                -2416.560130  2411.846574  ...  -7154.098958   2320.978697
Ind2_SIC59                  461.992927  2717.137505  ...  -4875.222369   5799.208222
Ind2_SIC72                -1722.012902  1966.307412  ...  -5584.388647   2140.362843
Ind2_SIC73                -4677.359713  2371.150381  ...  -9334.959875    -19.759551
Ind2_SIC75                 3261.860897  4203.252141  ...  -4994.497709  11518.219503
Ind2_SIC76                -2462.176676  2178.828708  ...  -6742.003473   1817.650122
Ind2_SIC83                -5411.152465  2893.505736  ... -11094.804119    272.499189

[30 rows x 6 columns]
