Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 6
---
FocalIV: Treatment_FIN
Coef: 1975.886092
SE: 997.993097
pval: 0.048216
Nobs: 581
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                   625.874518  5691.578256  ... -10553.971356  11805.720392
Treatment_FIN              1975.886092   997.993097  ...     15.549520   3936.222664
Treatment_MKT              3779.601657  1239.422305  ...   1345.030836   6214.172478
Gender                    -1500.622397  1157.681784  ...  -3774.632055    773.387260
Age                         -65.546803    67.507165  ...   -198.149689     67.056083
Children_total              277.276460   344.650419  ...   -399.713013    954.265934
Race_SAblackcolored        1435.686512  4849.738451  ...  -8090.551376  10961.924399
Race_Foreigner              361.304729  4823.046730  ...  -9112.503179   9835.112637
Educ_high                  2399.003164  1089.620529  ...    258.684780   4539.321548
Operating_yearstotal        163.049625    75.867128  ...     14.025442    312.073807
Activity_Hours              -40.720618    22.669420  ...    -85.249677      3.808441
pre_Employees1_composite   1527.343560   264.528759  ...   1007.735356   2046.951764
FormalReg                 -1401.268702  1134.543475  ...  -3629.828271    827.290867
pre_Profits3_composite_w1     0.512478     0.117684  ...      0.281315      0.743641
Ind2_SIC15                 1665.143995  6085.043309  ... -10287.576898  13617.864888
Ind2_SIC17                -5113.919459  3470.139506  ... -11930.240538   1702.401621
Ind2_SIC23                 -303.609168  2170.833933  ...  -4567.732000   3960.513664
Ind2_SIC25                 5298.929926  7488.314189  ...  -9410.206052  20008.065904
Ind2_SIC34                -2569.231958  2634.931921  ...  -7744.972578   2606.508663
Ind2_SIC41                 2725.456697  4349.832383  ...  -5818.826354  11269.739748
Ind2_SIC54                 2025.303183  2087.412164  ...  -2074.956046   6125.562411
Ind2_SIC56                 -342.549026  2158.940613  ...  -4583.310063   3898.212012
Ind2_SIC57                 3282.190354  2521.513525  ...  -1670.764927   8235.145636
Ind2_SIC58                -1235.266995  2322.932764  ...  -5798.154320   3327.620330
Ind2_SIC59                 1599.842497  2561.826633  ...  -3432.298963   6631.983958
Ind2_SIC72                -1018.736101  1828.512725  ...  -4610.444679   2572.972478
Ind2_SIC73                -4142.010767  2213.331894  ...  -8489.611437    205.589903
Ind2_SIC75                 4305.304527  4006.897227  ...  -3565.358306  12175.967359
Ind2_SIC76                -1408.767454  2040.101321  ...  -5416.095003   2598.560095
Ind2_SIC83                -4354.104164  2749.410832  ...  -9754.713268   1046.504941

[30 rows x 6 columns]
