Paper: 0025
KeyVar: Activity_Hours
Mechanism: NMAR
Proportion: 10pct
Method: Reg
Iteration: 2
---
FocalIV: Treatment_FIN
Coef: 2240.751001
SE: 1053.686502
pval: 0.033876
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -2033.676428  5745.337788  ... -13317.838376   9250.485521
Treatment_FIN              2240.751001  1053.686502  ...    171.252293   4310.249710
Treatment_MKT              3533.303478  1193.760286  ...   1188.692092   5877.914864
Gender                    -1528.657428  1094.366165  ...  -3678.053249    620.738394
Age                         -33.793770    64.864473  ...   -161.191191     93.603651
Children_total              180.921365   357.276816  ...   -520.790109    882.632840
Race_SAblackcolored        2916.203333  5012.171271  ...  -6927.978928  12760.385594
Race_Foreigner             1408.113380  4981.059376  ...  -8374.963394  11191.190155
Educ_high                  2563.371587  1069.715912  ...    462.390229   4664.352944
Operating_yearstotal        177.880085    77.334091  ...     25.991642    329.768528
Activity_Hours              -26.302849    30.340568  ...    -85.893406     33.287708
pre_Employees1_composite   1521.384219   259.970177  ...   1010.788379   2031.980060
FormalReg                 -1391.721224  1125.247326  ...  -3601.769358    818.326910
pre_Profits3_composite_w1     0.545303     0.115039  ...      0.319360      0.771245
Ind2_SIC15                  294.179301  5937.583070  ... -11367.563040  11955.921642
Ind2_SIC17                -6074.469008  3474.487097  ... -12898.554299    749.616283
Ind2_SIC23                -1238.115423  2281.550334  ...  -5719.206772   3242.975927
Ind2_SIC25                 4155.008144  7441.365044  ... -10460.245366  18770.261655
Ind2_SIC34                -3927.508464  2739.630960  ...  -9308.295561   1453.278633
Ind2_SIC41                  188.880073  3893.095387  ...  -7457.375108   7835.135255
Ind2_SIC54                  451.523783  2227.584087  ...  -3923.574865   4826.622432
Ind2_SIC56                -1509.659028  2226.889716  ...  -5883.393894   2864.075838
Ind2_SIC57                 5177.158203  3827.528582  ...  -2340.320137  12694.636543
Ind2_SIC58                -2466.426966  2359.623310  ...  -7100.857968   2168.004036
Ind2_SIC59                  798.341996  2644.464566  ...  -4395.533026   5992.217018
Ind2_SIC72                -1917.382190  1937.646480  ...  -5723.027304   1888.262923
Ind2_SIC73                -5027.483802  2358.766064  ...  -9660.231126   -394.736477
Ind2_SIC75                 3335.134852  3994.683251  ...  -4510.644525  11180.914230
Ind2_SIC76                -2261.609730  2164.303589  ...  -6512.421973   1989.202513
Ind2_SIC83                -5448.896475  2834.109995  ... -11015.245635    117.452685

[30 rows x 6 columns]
