Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: NMAR
Proportion: 10pct
Method: RF
Iteration: 12
---
FocalIV: Treatment_FIN
Coef: 1683.617022
SE: 1210.226189
pval: 0.164710
Nobs: 611
Sign: +1
Significant: False
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -3605.404936  6388.396959  ... -16152.570750   8941.760878
Treatment_FIN              1683.617022  1210.226189  ...   -693.334311   4060.568354
Treatment_MKT              2588.249304  1251.314336  ...    130.598572   5045.900036
Gender                    -1456.956632  1185.445110  ...  -3785.236551    871.323288
Age                         -33.985832    67.146399  ...   -165.865082     97.893418
Children_total              282.472452   389.323087  ...   -482.179676   1047.124581
Race_SAblackcolored        4453.878806  5695.430801  ...  -6732.263054  15640.020666
Race_Foreigner             2427.785513  5690.186202  ...  -8748.055663  13603.626689
Educ_high                  2572.999314  1048.174412  ...    514.326656   4631.671971
Operating_yearstotal        182.965431    85.219714  ...     15.589188    350.341675
Activity_Hours              -28.360336    23.610413  ...    -74.732495     18.011824
pre_Employees1_composite   2109.204749   353.100455  ...   1415.695879   2802.713619
FormalReg                  -657.828028  1179.703365  ...  -2974.830842   1659.174785
pre_Profits3_composite_w1     0.626535     0.170386  ...      0.291888      0.961182
Ind2_SIC15                 2316.011869  5972.728996  ...  -9414.759019  14046.782756
Ind2_SIC17                -6362.286073  3384.154137  ... -13008.952422    284.380275
Ind2_SIC23                -1500.837837  2351.485644  ...  -6119.286013   3117.610339
Ind2_SIC25                 5289.329230  8765.265340  ... -11926.137861  22504.796322
Ind2_SIC34                -3761.368166  2415.016572  ...  -8504.594607    981.858276
Ind2_SIC41                 -442.400577  3977.429642  ...  -8254.292910   7369.491757
Ind2_SIC54                  161.726903  2283.125009  ...  -4322.457196   4645.911002
Ind2_SIC56                -1978.041207  2358.905792  ...  -6611.062966   2654.980552
Ind2_SIC57                 5319.718575  5842.063245  ...  -6154.417534  16793.854684
Ind2_SIC58                -2564.717401  2456.330697  ...  -7389.087074   2259.652273
Ind2_SIC59                 1334.505369  3471.422251  ...  -5483.560394   8152.571132
Ind2_SIC72                -2560.702693  2094.850202  ...  -6675.104633   1553.699248
Ind2_SIC73                -5752.349305  2577.463375  ... -10814.630274   -690.068336
Ind2_SIC75                 4182.876489  5865.195587  ...  -7336.692822  15702.445800
Ind2_SIC76                -3156.115023  2395.757133  ...  -7861.514858   1549.284813
Ind2_SIC83                -6772.336530  3081.250379  ... -12824.083106   -720.589955

[30 rows x 6 columns]
