Paper: 0025
KeyVar: Activity_Hours
Mechanism: NMAR
Proportion: 1pct
Method: LD
Iteration: 8
---
FocalIV: Treatment_FIN
Coef: 2243.903117
SE: 1060.311277
pval: 0.034751
Nobs: 605
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1674.087718  6305.279374  ... -14058.275737  10710.100302
Treatment_FIN              2243.903117  1060.311277  ...    161.347622   4326.458612
Treatment_MKT              3541.964637  1205.491500  ...   1174.260923   5909.668351
Gender                    -1608.522845  1124.326780  ...  -3816.811077    599.765386
Age                         -34.303715    65.264898  ...   -162.490386     93.882955
Children_total              197.120958   362.182914  ...   -514.241860    908.483775
Race_SAblackcolored        2983.138081  5558.675494  ...  -7934.646585  13900.922747
Race_Foreigner             1494.037315  5524.272468  ...  -9356.176428  12344.251059
Educ_high                  2530.078313  1071.414697  ...    425.714611   4634.442016
Operating_yearstotal        176.879935    78.655982  ...     22.391860    331.368010
Activity_Hours              -34.693766    24.111964  ...    -82.052031     12.664498
pre_Employees1_composite   1519.585789   259.275498  ...   1010.343245   2028.828334
FormalReg                 -1273.866431  1106.110388  ...  -3446.375880    898.643018
pre_Profits3_composite_w1     0.546034     0.115342  ...      0.319491      0.772577
Ind2_SIC15                  227.522646  5928.663329  ... -11416.954468  11871.999761
Ind2_SIC17                -6121.477335  3481.745002  ... -12959.966510    717.011839
Ind2_SIC23                -1192.451337  2306.807449  ...  -5723.247751   3338.345077
Ind2_SIC25                 4135.433769  7441.048288  ... -10479.515959  18750.383496
Ind2_SIC34                -3881.551826  2746.197462  ...  -9275.353385   1512.249732
Ind2_SIC41                  228.226803  3867.835924  ...  -7368.582866   7825.036471
Ind2_SIC54                  704.229163  2228.942138  ...  -3673.632131   5082.090458
Ind2_SIC56                -1440.979061  2243.896066  ...  -5848.211339   2966.253217
Ind2_SIC57                 5136.582787  3830.010746  ...  -2385.934518  12659.100091
Ind2_SIC58                -2222.796945  2365.839562  ...  -6869.538227   2423.944337
Ind2_SIC59                  805.158767  2651.927868  ...  -4403.488048   6013.805582
Ind2_SIC72                -1674.335040  1939.879195  ...  -5484.448322   2135.778242
Ind2_SIC73                -4921.487881  2366.842351  ...  -9570.198738   -272.777023
Ind2_SIC75                 3351.214072  3954.508956  ...  -4415.829945  11118.258089
Ind2_SIC76                -2205.927821  2175.951645  ...  -6479.710583   2067.854940
Ind2_SIC83                -5460.435576  2843.715479  ... -11045.772097    124.900945

[30 rows x 6 columns]
