Paper: 0025
KeyVar: Age
Mechanism: NMAR
Proportion: 1pct
Method: LD
Iteration: 18
---
FocalIV: Treatment_FIN
Coef: 2269.420064
SE: 1061.142915
pval: 0.032884
Nobs: 605
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -3069.903512  6713.481759  ... -16255.841112  10116.034087
Treatment_FIN              2269.420064  1061.142915  ...    185.231148   4353.608979
Treatment_MKT              3352.418577  1177.519592  ...   1039.654439   5665.182716
Gender                    -1904.127814  1067.925199  ...  -4001.637800    193.382173
Age                         -33.912475    65.904403  ...   -163.355196     95.530246
Children_total              174.955540   359.086416  ...   -530.325452    880.236531
Race_SAblackcolored        4273.178391  6068.271307  ...  -7645.502505  16191.859288
Race_Foreigner             2934.447714  6018.514904  ...  -8886.506721  14755.402149
Educ_high                  2366.689201  1062.863013  ...    279.121844   4454.256557
Operating_yearstotal        161.284616    80.729590  ...      2.723772    319.845461
Activity_Hours              -35.422974    22.598302  ...    -79.808259      8.962311
pre_Employees1_composite   1555.209296   252.748934  ...   1058.785565   2051.633027
FormalReg                 -1596.118295  1042.495113  ...  -3643.681095    451.444504
pre_Profits3_composite_w1     0.550248     0.114983  ...      0.324410      0.776086
Ind2_SIC15                  709.686888  5908.987751  ... -10896.145459  12315.519235
Ind2_SIC17                -5501.004890  3411.098430  ... -12200.737258   1198.727477
Ind2_SIC23                 -429.101425  2168.617732  ...  -4688.479661   3830.276810
Ind2_SIC25                 4580.272215  7363.199603  ...  -9881.775049  19042.319478
Ind2_SIC34                -3423.011438  2708.037926  ...  -8741.863920   1895.841043
Ind2_SIC41                  802.024862  3835.827163  ...  -6731.916455   8335.966180
Ind2_SIC54                 1325.044199  2126.335781  ...  -2851.288132   5501.376530
Ind2_SIC56                 -873.479166  2116.059871  ...  -5029.628602   3282.670269
Ind2_SIC57                 5621.106864  3780.069615  ...  -1803.321154  13045.534882
Ind2_SIC58                -1659.087511  2251.464296  ...  -6081.184537   2763.009515
Ind2_SIC59                 1004.769000  2595.320528  ...  -4092.695439   6102.233439
Ind2_SIC72                -1278.923177  1809.308302  ...  -4832.582398   2274.736045
Ind2_SIC73                -4300.338229  2281.941892  ...  -8782.296246    181.619789
Ind2_SIC75                 3734.501388  3932.820196  ...  -3989.943774  11458.946550
Ind2_SIC76                -1791.184812  2110.014832  ...  -5935.461197   2353.091572
Ind2_SIC83                -4621.873984  2763.491962  ... -10049.643638    805.895669

[30 rows x 6 columns]
