Paper: 0025
KeyVar: pre_Profits3_composite_w1
Mechanism: NMAR
Proportion: 1pct
Method: Iter
Iteration: 27
---
FocalIV: Treatment_FIN
Coef: 2349.215039
SE: 1106.263035
pval: 0.034129
Nobs: 611
Sign: +1
Significant: True
---
                              Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                          ...                            
Intercept                 -1501.747746  6113.169638  ... -13508.351840  10504.856349
Treatment_FIN              2349.215039  1106.263035  ...    176.453104   4521.976974
Treatment_MKT              3726.350179  1197.733906  ...   1373.934383   6078.765974
Gender                    -1701.360839  1119.074656  ...  -3899.285507    496.563829
Age                         -32.525572    65.218876  ...   -160.619061     95.567917
Children_total               94.933033   351.248509  ...   -594.938512    784.804579
Race_SAblackcolored        3361.109786  5344.832364  ...  -7136.437305  13858.656877
Race_Foreigner             1872.503001  5311.318179  ...  -8559.220373  12304.226374
Educ_high                  2171.840352  1051.100086  ...    107.421508   4236.259196
Operating_yearstotal        183.456474    81.529893  ...     23.327245    343.585703
Activity_Hours              -35.273777    22.835219  ...    -80.123413      9.575859
pre_Employees1_composite   1709.856981   296.203036  ...   1128.097795   2291.616167
FormalReg                 -1384.342950  1107.793556  ...  -3560.110912    791.425012
pre_Profits3_composite_w1     0.561973     0.125731  ...      0.315030      0.808915
Ind2_SIC15                 2427.109047  5979.125233  ...  -9316.224405  14170.442500
Ind2_SIC17                -7091.899892  3541.236973  ... -14047.085640   -136.714145
Ind2_SIC23                -1555.449537  2297.069960  ...  -6067.022293   2956.123219
Ind2_SIC25                 3294.168876  7170.721665  ... -10789.526033  17377.863786
Ind2_SIC34                -4506.765887  2778.691459  ...  -9964.269969    950.738195
Ind2_SIC41                 -400.894893  3927.793443  ...  -8115.298980   7313.509194
Ind2_SIC54                  346.032793  2211.504746  ...  -3997.485138   4689.550724
Ind2_SIC56                -1856.822084  2242.491373  ...  -6261.199468   2547.555301
Ind2_SIC57                 4454.355150  3807.648572  ...  -3024.077749  11932.788050
Ind2_SIC58                -2831.260427  2361.876215  ...  -7470.116259   1807.595406
Ind2_SIC59                  210.796690  2633.167862  ...  -4960.890979   5382.484358
Ind2_SIC72                -2327.992292  1944.771203  ...  -6147.630757   1491.646172
Ind2_SIC73                -5761.592871  2431.373644  ... -10536.945508   -986.240234
Ind2_SIC75                 2428.775961  3856.912716  ...  -5146.414449  10003.966371
Ind2_SIC76                -2686.217304  2197.671981  ...  -7002.566917   1630.132310
Ind2_SIC83                -6546.876030  2953.022670  ... -12346.776275   -746.975785

[30 rows x 6 columns]
