Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 10pct
Method: LD
Iteration: 22
---
FocalIV: ad_law2
Coef: -0.010857
SE: 0.003470
pval: 0.001788
Nobs: 11886
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.010857    0.003470  ...   -0.017663   -0.004051
ln_at_adj             0.006920    0.004164  ...   -0.001247    0.015087
ppent_at             -0.146034    0.019971  ...   -0.185205   -0.106862
div_payer             0.028128    0.004177  ...    0.019935    0.036322
state_inc_growth      0.002015    0.000415  ...    0.001200    0.002830
state_id::1.0:fyear   0.066571  306.172317  ... -600.483121  600.616263
state_id::3.0:fyear   0.071169  298.141491  ... -584.726249  584.868587
state_id::4.0:fyear   0.065756  316.991822  ... -621.706137  621.837649
state_id::5.0:fyear   0.068118  320.040047  ... -627.682795  627.819031
state_id::6.0:fyear   0.066048  296.666076  ... -581.837379  581.969476
state_id::7.0:fyear   0.067053  305.480383  ... -599.125425  599.259532
state_id::10.0:fyear  0.068495  332.857622  ... -652.823786  652.960776
state_id::11.0:fyear  0.067425  310.966536  ... -609.886014  610.020864
state_id::12.0:fyear  0.091168  281.183296  ... -551.443156  551.625493
state_id::14.0:fyear  0.066538  323.788324  ... -635.036532  635.169607
state_id::15.0:fyear  0.067275  316.332281  ... -620.410944  620.545494
state_id::17.0:fyear  0.072894  271.317078  ... -532.109078  532.254867
state_id::18.0:fyear  0.066709  270.920044  ... -531.336491  531.469908
state_id::19.0:fyear  0.059198  284.107004  ... -557.209908  557.328305
state_id::21.0:fyear  0.071262  290.895808  ... -570.513923  570.656446
state_id::22.0:fyear  0.066527  317.101257  ... -621.920020  622.053075
state_id::23.0:fyear  0.067413  295.224762  ... -579.008911  579.143737
state_id::24.0:fyear  0.068063  325.044008  ... -637.498001  637.634127
state_id::25.0:fyear  0.056166  303.898877  ... -596.034228  596.146560
state_id::26.0:fyear  0.069988  296.442899  ... -581.395682  581.535658
state_id::28.0:fyear  0.159464  267.764212  ... -525.053647  525.372576
state_id::29.0:fyear  0.046703  315.916753  ... -619.616467  619.709874
state_id::30.0:fyear  0.070118  277.471036  ... -544.182696  544.322933
state_id::31.0:fyear  0.066567  274.484693  ... -538.328607  538.461740
state_id::32.0:fyear  0.001342  271.068790  ... -531.693619  531.696304
state_id::33.0:fyear  0.066593  331.075054  ... -649.329222  649.462409
state_id::34.0:fyear  0.065099  276.363205  ... -542.014730  542.144928
state_id::36.0:fyear  0.066500  281.893216  ... -552.860314  552.993314
state_id::38.0:fyear  0.062456  313.295338  ... -614.458872  614.583783
state_id::39.0:fyear  0.066553  307.590193  ... -603.264268  603.397374
state_id::40.0:fyear  0.075013  279.044922  ... -547.264941  547.414967
state_id::41.0:fyear  0.066712  316.103680  ... -619.963111  620.096534
state_id::43.0:fyear  0.067154  282.804489  ... -554.647101  554.781409
state_id::44.0:fyear  0.064546  295.268982  ... -579.098514  579.227606
state_id::45.0:fyear  0.072210  303.280622  ... -594.805490  594.949910
state_id::47.0:fyear  0.065488  319.464003  ... -626.555528  626.686504
state_id::48.0:fyear  0.064939  300.487070  ... -589.333277  589.463154
state_id::50.0:fyear  0.065334  303.428215  ... -595.101867  595.232536

[43 rows x 6 columns]
