Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 30pct
Method: LD
Iteration: 17
---
FocalIV: ad_law2
Coef: -0.012158
SE: 0.003774
pval: 0.001304
Nobs: 9133
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.012158    0.003774  ... -0.019561 -0.004755
ln_at_adj             0.005274    0.004451  ... -0.003457  0.014006
ppent_at             -0.149176    0.024024  ... -0.196301 -0.102051
div_payer             0.028048    0.005478  ...  0.017301  0.038794
state_inc_growth      0.001816    0.000443  ...  0.000946  0.002685
state_id::1.0:fyear   0.002688    0.001262  ...  0.000211  0.005164
state_id::3.0:fyear   0.008615    0.008407  ... -0.007876  0.025106
state_id::4.0:fyear   0.003593    0.006166  ... -0.008503  0.015689
state_id::5.0:fyear   0.003913    0.001662  ...  0.000653  0.007173
state_id::6.0:fyear   0.003246    0.002519  ... -0.001695  0.008187
state_id::7.0:fyear   0.001932    0.001706  ... -0.001415  0.005278
state_id::10.0:fyear  0.004267    0.002279  ... -0.000205  0.008738
state_id::11.0:fyear  0.002969    0.002316  ... -0.001575  0.007512
state_id::12.0:fyear -0.002120    0.002759  ... -0.007532  0.003293
state_id::14.0:fyear  0.002651    0.001263  ...  0.000173  0.005129
state_id::15.0:fyear  0.002750    0.001756  ... -0.000694  0.006194
state_id::17.0:fyear  0.013977    0.005209  ...  0.003759  0.024195
state_id::18.0:fyear  0.002867    0.004887  ... -0.006718  0.012453
state_id::19.0:fyear -0.005419    0.004770  ... -0.014776  0.003939
state_id::21.0:fyear  0.005997    0.001698  ...  0.002665  0.009328
state_id::22.0:fyear  0.005623    0.001998  ...  0.001703  0.009542
state_id::23.0:fyear  0.003155    0.001841  ... -0.000456  0.006766
state_id::24.0:fyear  0.002940    0.002277  ... -0.001528  0.007407
state_id::25.0:fyear -0.006701    0.006374  ... -0.019204  0.005803
state_id::26.0:fyear  0.005783    0.001483  ...  0.002873  0.008692
state_id::28.0:fyear  0.062318    0.023378  ...  0.016459  0.108177
state_id::29.0:fyear -0.018151    0.005634  ... -0.029204 -0.007099
state_id::30.0:fyear  0.007510    0.002387  ...  0.002827  0.012192
state_id::31.0:fyear  0.002696    0.001263  ...  0.000219  0.005173
state_id::32.0:fyear -0.063164    0.009708  ... -0.082207 -0.044121
state_id::33.0:fyear  0.002745    0.001263  ...  0.000268  0.005222
state_id::34.0:fyear  0.002431    0.002255  ... -0.001992  0.006853
state_id::36.0:fyear  0.002648    0.001262  ...  0.000171  0.005124
state_id::38.0:fyear  0.001696    0.005107  ... -0.008322  0.011714
state_id::39.0:fyear  0.002702    0.001263  ...  0.000224  0.005180
state_id::40.0:fyear  0.009831    0.002556  ...  0.004816  0.014846
state_id::41.0:fyear  0.003047    0.001599  ... -0.000090  0.006184
state_id::43.0:fyear  0.003163    0.004043  ... -0.004768  0.011094
state_id::44.0:fyear  0.000369    0.001857  ... -0.003274  0.004012
state_id::45.0:fyear  0.007768    0.002271  ...  0.003312  0.012223
state_id::47.0:fyear  0.000649    0.002187  ... -0.003641  0.004939
state_id::48.0:fyear  0.001093    0.001604  ... -0.002054  0.004240

[42 rows x 6 columns]
