Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 30pct
Method: RF
Iteration: 28
---
FocalIV: ad_law2
Coef: -0.011149
SE: 0.003509
pval: 0.001514
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011149    0.003509  ...    -0.018031    -0.004267
ln_at_adj             0.005065    0.004030  ...    -0.002839     0.012970
ppent_at             -0.138231    0.021177  ...    -0.179768    -0.096694
div_payer             0.025959    0.004524  ...     0.017086     0.034832
state_inc_growth      0.001085    0.000223  ...     0.000647     0.001523
state_id::1.0:fyear   0.252603  835.887497  ... -1639.290879  1639.796085
state_id::3.0:fyear   0.256518  830.320544  ... -1628.367717  1628.880752
state_id::4.0:fyear   0.251906  822.534359  ... -1613.100191  1613.604003
state_id::5.0:fyear   0.254153  814.396138  ... -1597.135310  1597.643615
state_id::6.0:fyear   0.252525  822.223388  ... -1612.489621  1612.994672
state_id::7.0:fyear   0.252291  801.762407  ... -1572.356860  1572.861443
state_id::10.0:fyear  0.255004  813.164886  ... -1594.719430  1595.229438
state_id::11.0:fyear  0.253371  838.829199  ... -1645.060082  1645.566825
state_id::12.0:fyear  0.273185  883.812956  ... -1733.273226  1733.819596
state_id::14.0:fyear  0.252593  813.106266  ... -1594.606863  1595.112049
state_id::15.0:fyear  0.253323  821.412116  ... -1610.897561  1611.404208
state_id::17.0:fyear  0.258594  765.371980  ... -1500.972905  1501.490093
state_id::18.0:fyear  0.252715  829.599932  ... -1626.958082  1627.463513
state_id::19.0:fyear  0.245218  856.637997  ... -1679.999131  1680.489568
state_id::21.0:fyear  0.257418  843.273940  ... -1653.774130  1654.288966
state_id::22.0:fyear  0.252582  786.355662  ... -1542.137157  1542.642322
state_id::23.0:fyear  0.253291  801.293656  ... -1571.436434  1571.943016
state_id::24.0:fyear  0.254362  877.351705  ... -1720.618690  1721.127415
state_id::25.0:fyear  0.241455  889.627994  ... -1744.710807  1745.193718
state_id::26.0:fyear  0.255707  785.732419  ... -1540.911580  1541.422994
state_id::28.0:fyear  0.308658  865.142887  ... -1696.617525  1697.234841
state_id::29.0:fyear  0.231840  813.446924  ... -1595.295795  1595.759474
state_id::30.0:fyear  0.256602  827.583008  ... -1622.998119  1623.511323
state_id::31.0:fyear  0.252608  850.000068  ... -1666.971840  1667.477056
state_id::32.0:fyear  0.183554  845.318779  ... -1657.858825  1658.225932
state_id::33.0:fyear  0.252648  831.731337  ... -1631.138772  1631.644069
state_id::34.0:fyear  0.251996  841.810636  ... -1650.909368  1651.413361
state_id::36.0:fyear  0.252558  855.038803  ... -1676.855069  1677.360185
state_id::38.0:fyear  0.247320  874.918078  ... -1715.852318  1716.346959
state_id::39.0:fyear  0.252607  802.995956  ... -1574.776078  1575.281291
state_id::40.0:fyear  0.260881  830.650474  ... -1629.010491  1629.532254
state_id::41.0:fyear  0.251871  802.340948  ... -1573.492055  1573.995797
state_id::43.0:fyear  0.252955  855.571041  ... -1677.898623  1678.404533
state_id::44.0:fyear  0.250413  858.615516  ... -1683.872722  1684.373549
state_id::45.0:fyear  0.259138  836.549766  ... -1640.583345  1641.101621
state_id::47.0:fyear  0.251885  845.225907  ... -1657.608331  1658.112102
state_id::48.0:fyear  0.250785  819.508687  ... -1607.166637  1607.668207
state_id::50.0:fyear  0.250949  848.524461  ... -1664.079183  1664.581080

[43 rows x 6 columns]
