Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 40pct
Method: Iter
Iteration: 29
---
FocalIV: ad_law2
Coef: -0.010676
SE: 0.003399
pval: 0.001716
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010676    0.003399  ... -0.017343 -0.004009
ln_at_adj            -0.001779    0.000471  ... -0.002702 -0.000856
ppent_at             -0.118116    0.019223  ... -0.155820 -0.080412
div_payer             0.030839    0.004653  ...  0.021713  0.039966
state_inc_growth      0.001885    0.000390  ...  0.001120  0.002651
state_id::1.0:fyear   0.001920    0.001096  ... -0.000229  0.004070
state_id::3.0:fyear   0.005884    0.008045  ... -0.009895  0.021663
state_id::4.0:fyear   0.001590    0.004857  ... -0.007936  0.011116
state_id::5.0:fyear   0.004030    0.001511  ...  0.001067  0.006993
state_id::6.0:fyear   0.002047    0.002638  ... -0.003127  0.007222
state_id::7.0:fyear   0.002224    0.001588  ... -0.000892  0.005339
state_id::10.0:fyear  0.004217    0.001938  ...  0.000417  0.008018
state_id::11.0:fyear  0.002620    0.001927  ... -0.001161  0.006400
state_id::12.0:fyear  0.024079    0.011288  ...  0.001939  0.046219
state_id::14.0:fyear  0.001906    0.001097  ... -0.000245  0.004058
state_id::15.0:fyear  0.002513    0.001682  ... -0.000786  0.005812
state_id::17.0:fyear  0.007979    0.003161  ...  0.001778  0.014179
state_id::18.0:fyear  0.001790    0.003790  ... -0.005644  0.009224
state_id::19.0:fyear -0.005007    0.004206  ... -0.013257  0.003243
state_id::21.0:fyear  0.007159    0.001627  ...  0.003969  0.010349
state_id::22.0:fyear  0.001895    0.001097  ... -0.000257  0.004047
state_id::23.0:fyear  0.002683    0.001758  ... -0.000764  0.006130
state_id::24.0:fyear  0.004043    0.001860  ...  0.000396  0.007691
state_id::25.0:fyear -0.009752    0.008653  ... -0.026725  0.007221
state_id::26.0:fyear  0.005501    0.001364  ...  0.002826  0.008176
state_id::28.0:fyear  0.057219    0.011529  ...  0.034606  0.079832
state_id::29.0:fyear -0.017294    0.003539  ... -0.024235 -0.010353
state_id::30.0:fyear  0.006167    0.002714  ...  0.000844  0.011491
state_id::31.0:fyear  0.001926    0.001096  ... -0.000224  0.004076
state_id::32.0:fyear -0.069136    0.007933  ... -0.084694 -0.053577
state_id::33.0:fyear  0.001963    0.001096  ... -0.000187  0.004114
state_id::34.0:fyear  0.001308    0.002222  ... -0.003051  0.005667
state_id::36.0:fyear  0.001903    0.001097  ... -0.000248  0.004054
state_id::38.0:fyear  0.010140    0.003556  ...  0.003166  0.017114
state_id::39.0:fyear  0.001932    0.001097  ... -0.000220  0.004084
state_id::40.0:fyear  0.010110    0.001487  ...  0.007194  0.013027
state_id::41.0:fyear  0.001350    0.001703  ... -0.001991  0.004691
state_id::43.0:fyear  0.001993    0.003340  ... -0.004558  0.008543
state_id::44.0:fyear  0.000156    0.001650  ... -0.003081  0.003393
state_id::45.0:fyear  0.007928    0.002073  ...  0.003863  0.011994
state_id::47.0:fyear  0.001274    0.002083  ... -0.002812  0.005361
state_id::48.0:fyear -0.000060    0.001346  ... -0.002701  0.002580

[42 rows x 6 columns]
