Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 40pct
Method: RF
Iteration: 10
---
FocalIV: ad_law2
Coef: -0.010676
SE: 0.003440
pval: 0.001944
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010676    0.003440  ...    -0.017423    -0.003929
ln_at_adj            -0.000901    0.000427  ...    -0.001738    -0.000063
ppent_at             -0.135646    0.020481  ...    -0.175818    -0.095473
div_payer             0.027404    0.003961  ...     0.019634     0.035173
state_inc_growth      0.002005    0.000386  ...     0.001248     0.002763
state_id::1.0:fyear   0.196891  868.329264  ... -1702.979183  1703.372964
state_id::3.0:fyear   0.200986  875.638355  ... -1717.311432  1717.713405
state_id::4.0:fyear   0.196546  873.372001  ... -1712.870556  1713.263647
state_id::5.0:fyear   0.198643  871.796542  ... -1709.778289  1710.175574
state_id::6.0:fyear   0.196858  859.642404  ... -1685.940457  1686.334173
state_id::7.0:fyear   0.196908  878.047986  ... -1722.041858  1722.435674
state_id::10.0:fyear  0.199374  869.804740  ... -1705.870756  1706.269505
state_id::11.0:fyear  0.197832  873.269636  ... -1712.668486  1713.064150
state_id::12.0:fyear  0.218523  877.785359  ... -1721.505117  1721.942163
state_id::14.0:fyear  0.196879  860.755371  ... -1688.123454  1688.517211
state_id::15.0:fyear  0.197720  862.602171  ... -1691.745001  1692.140440
state_id::17.0:fyear  0.202933  877.185538  ... -1720.344192  1720.750058
state_id::18.0:fyear  0.197193  875.368867  ... -1716.786641  1717.181026
state_id::19.0:fyear  0.189578  862.768033  ... -1692.078472  1692.457627
state_id::21.0:fyear  0.202032  868.099485  ... -1702.523342  1702.927407
state_id::22.0:fyear  0.196867  879.810139  ... -1725.498258  1725.891992
state_id::23.0:fyear  0.197495  883.536621  ... -1732.806902  1733.201892
state_id::24.0:fyear  0.198667  877.271121  ... -1720.516325  1720.913658
state_id::25.0:fyear  0.185259  870.836840  ... -1707.909275  1708.279793
state_id::26.0:fyear  0.199927  869.792388  ... -1705.845977  1706.245830
state_id::28.0:fyear  0.253274  882.404788  ... -1730.531099  1731.037647
state_id::29.0:fyear  0.177956  903.191077  ... -1771.377483  1771.733395
state_id::30.0:fyear  0.201172  865.920405  ... -1698.250067  1698.652411
state_id::31.0:fyear  0.196896  859.535179  ... -1685.730104  1686.123896
state_id::32.0:fyear  0.126221  860.528829  ... -1687.749764  1688.002206
state_id::33.0:fyear  0.196935  870.065611  ... -1706.384878  1706.778748
state_id::34.0:fyear  0.196115  861.183687  ... -1688.964334  1689.356564
state_id::36.0:fyear  0.196843  866.367107  ... -1699.130575  1699.524262
state_id::38.0:fyear  0.191756  871.248978  ... -1708.711161  1709.094673
state_id::39.0:fyear  0.196894  871.535203  ... -1709.267437  1709.661226
state_id::40.0:fyear  0.205134  864.107711  ... -1694.690615  1695.100883
state_id::41.0:fyear  0.196326  871.275603  ... -1708.758814  1709.151466
state_id::43.0:fyear  0.197416  882.038352  ... -1729.868215  1730.263046
state_id::44.0:fyear  0.194693  871.791611  ... -1709.772566  1710.161952
state_id::45.0:fyear  0.203260  874.919780  ... -1715.899716  1716.306237
state_id::47.0:fyear  0.196429  870.285256  ... -1706.816205  1707.209062
state_id::48.0:fyear  0.194973  877.944297  ... -1721.840413  1722.230359
state_id::50.0:fyear  0.195271  871.754699  ... -1709.699589  1710.090130

[43 rows x 6 columns]
