Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 40pct
Method: Reg
Iteration: 21
---
FocalIV: ad_law2
Coef: -0.011908
SE: 0.003554
pval: 0.000825
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011908     0.003554  ...    -0.018880    -0.004937
ln_at_adj             0.004013     0.004257  ...    -0.004338     0.012363
ppent_at             -0.001225     0.004025  ...    -0.009120     0.006670
div_payer             0.027024     0.004493  ...     0.018211     0.035837
state_inc_growth      0.002066     0.000395  ...     0.001291     0.002840
state_id::1.0:fyear   0.047242  1270.257889  ... -2491.485529  2491.580014
state_id::3.0:fyear   0.051058  1272.012581  ... -2494.923435  2495.025552
state_id::4.0:fyear   0.047254  1284.661368  ... -2519.737056  2519.831565
state_id::5.0:fyear   0.048852  1285.087704  ... -2520.571690  2520.669394
state_id::6.0:fyear   0.046975  1285.138030  ... -2520.672279  2520.766229
state_id::7.0:fyear   0.047311  1262.716346  ... -2476.693188  2476.787811
state_id::10.0:fyear  0.049185  1288.806062  ... -2527.864689  2527.963059
state_id::11.0:fyear  0.046849  1266.743398  ... -2484.592464  2484.686163
state_id::12.0:fyear  0.067975  1263.407078  ... -2478.027352  2478.163302
state_id::14.0:fyear  0.047212  1261.752260  ... -2474.802292  2474.896717
state_id::15.0:fyear  0.047996  1267.929020  ... -2486.916844  2487.012835
state_id::17.0:fyear  0.053803  1284.531299  ... -2519.475386  2519.582992
state_id::18.0:fyear  0.046794  1257.875750  ... -2467.199174  2467.292762
state_id::19.0:fyear  0.040174  1257.108557  ... -2465.700991  2465.781339
state_id::21.0:fyear  0.051570  1257.890460  ... -2467.223250  2467.326390
state_id::22.0:fyear  0.047198  1270.354664  ... -2491.675393  2491.769790
state_id::23.0:fyear  0.048174  1287.980400  ... -2526.246214  2526.342562
state_id::24.0:fyear  0.049826  1281.104916  ... -2512.758723  2512.858376
state_id::25.0:fyear  0.037838  1249.960183  ... -2451.682232  2451.757909
state_id::26.0:fyear  0.050637  1272.394324  ... -2495.672621  2495.773894
state_id::28.0:fyear  0.096395  1262.841513  ... -2476.889611  2477.082401
state_id::29.0:fyear  0.030607  1284.846633  ... -2520.117089  2520.178303
state_id::30.0:fyear  0.051087  1263.729994  ... -2478.677621  2478.779795
state_id::31.0:fyear  0.047248  1270.250068  ... -2491.470184  2491.564680
state_id::32.0:fyear -0.065118  1255.311958  ... -2462.282365  2462.152129
state_id::33.0:fyear  0.047277  1255.596274  ... -2462.727639  2462.822193
state_id::34.0:fyear  0.047121  1260.101320  ... -2471.564166  2471.658408
state_id::36.0:fyear  0.047182  1269.343711  ... -2489.692486  2489.786850
state_id::38.0:fyear  0.045261  1246.300258  ... -2444.496089  2444.586612
state_id::39.0:fyear  0.047229  1275.693377  ... -2502.146920  2502.241378
state_id::40.0:fyear  0.056232  1239.070310  ... -2430.304021  2430.416486
state_id::41.0:fyear  0.047044  1256.815209  ... -2465.118738  2465.212827
state_id::43.0:fyear  0.047284  1256.789237  ... -2465.067555  2465.162123
state_id::44.0:fyear  0.044868  1279.959595  ... -2510.517204  2510.606940
state_id::45.0:fyear  0.053727  1259.897871  ... -2471.158507  2471.265961
state_id::47.0:fyear  0.046521  1267.394788  ... -2485.870455  2485.963498
state_id::48.0:fyear  0.045198  1246.746013  ... -2445.370474  2445.460870
state_id::50.0:fyear  0.046095  1264.476550  ... -2480.146936  2480.239126

[43 rows x 6 columns]
