Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 40pct
Method: DL
Iteration: 5
---
FocalIV: ad_law2
Coef: -0.011040
SE: 0.003281
pval: 0.000783
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011040    0.003281  ...    -0.017475    -0.004605
ln_at_adj             0.005175    0.004351  ...    -0.003360     0.013710
ppent_at             -0.138477    0.020714  ...    -0.179106    -0.097847
div_payer             0.025699    0.004185  ...     0.017491     0.033907
state_inc_growth      0.001025    0.000227  ...     0.000580     0.001471
state_id::1.0:fyear   0.056859  974.158199  ... -1910.696360  1910.810077
state_id::3.0:fyear   0.060942  959.351469  ... -1881.649758  1881.771643
state_id::4.0:fyear   0.056327  962.267096  ... -1887.373202  1887.485857
state_id::5.0:fyear   0.058370  922.690148  ... -1809.743335  1809.860075
state_id::6.0:fyear   0.056639  943.213635  ... -1850.000662  1850.113941
state_id::7.0:fyear   0.056509  964.113540  ... -1890.994710  1891.107728
state_id::10.0:fyear  0.059187  929.583048  ... -1823.262530  1823.380904
state_id::11.0:fyear  0.057676  972.591005  ... -1907.621584  1907.736937
state_id::12.0:fyear  0.078411  951.432756  ... -1866.100206  1866.257027
state_id::14.0:fyear  0.056849  955.736935  ... -1874.564159  1874.677857
state_id::15.0:fyear  0.057592  956.960047  ... -1876.962476  1877.077661
state_id::17.0:fyear  0.062403  972.774016  ... -1907.975823  1908.100629
state_id::18.0:fyear  0.057116  967.127110  ... -1896.905040  1897.019271
state_id::19.0:fyear  0.049383  946.600247  ... -1856.650555  1856.749321
state_id::21.0:fyear  0.061792  963.429229  ... -1889.647192  1889.770776
state_id::22.0:fyear  0.056839  962.189928  ... -1887.221330  1887.335007
state_id::23.0:fyear  0.057554  958.667060  ... -1880.310718  1880.425826
state_id::24.0:fyear  0.058647  950.752622  ... -1864.785927  1864.903221
state_id::25.0:fyear  0.044969  941.189558  ... -1846.042227  1846.132164
state_id::26.0:fyear  0.059947  931.346589  ... -1826.720852  1826.840745
state_id::28.0:fyear  0.109958  904.743499  ... -1774.490464  1774.710381
state_id::29.0:fyear  0.035601  937.524123  ... -1838.862062  1838.933263
state_id::30.0:fyear  0.060749  929.230856  ... -1822.570165  1822.691662
state_id::31.0:fyear  0.056864  968.015337  ... -1898.647497  1898.761225
state_id::32.0:fyear -0.017444  926.559098  ... -1817.407863  1817.372975
state_id::33.0:fyear  0.056904  979.189186  ... -1920.564294  1920.678103
state_id::34.0:fyear  0.056546  943.328974  ... -1850.226985  1850.340078
state_id::36.0:fyear  0.056811  971.438710  ... -1905.362291  1905.475914
state_id::38.0:fyear  0.051994  913.426816  ... -1791.580238  1791.684225
state_id::39.0:fyear  0.056864  940.718556  ... -1845.106489  1845.220217
state_id::40.0:fyear  0.065278  926.348916  ... -1816.912883  1817.043439
state_id::41.0:fyear  0.056355  964.886024  ... -1892.510044  1892.622754
state_id::43.0:fyear  0.057347  959.427677  ... -1881.802832  1881.917525
state_id::44.0:fyear  0.054645  977.127873  ... -1916.523411  1916.632700
state_id::45.0:fyear  0.063398  906.025054  ... -1777.050719  1777.177515
state_id::47.0:fyear  0.056242  947.980331  ... -1859.350648  1859.463133
state_id::48.0:fyear  0.055066  942.269137  ... -1848.149658  1848.259791
state_id::50.0:fyear  0.055282  942.363153  ... -1848.333850  1848.444414

[43 rows x 6 columns]
