Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 50pct
Method: LD
Iteration: 24
---
FocalIV: ad_law2
Coef: -0.012088
SE: 0.004233
pval: 0.004365
Nobs: 6370
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.012088    0.004233  ... -0.020392 -0.003784
ln_at_adj             0.009968    0.005320  ... -0.000469  0.020405
ppent_at             -0.149392    0.025338  ... -0.199102 -0.099682
div_payer             0.034336    0.005950  ...  0.022663  0.046009
state_inc_growth      0.001998    0.000574  ...  0.000872  0.003124
state_id::1.0:fyear   0.000847    0.001494  ... -0.002084  0.003777
state_id::3.0:fyear   0.004795    0.007728  ... -0.010367  0.019957
state_id::4.0:fyear  -0.002704    0.006434  ... -0.015327  0.009920
state_id::5.0:fyear   0.002306    0.001914  ... -0.001450  0.006061
state_id::6.0:fyear  -0.000108    0.003028  ... -0.006049  0.005833
state_id::7.0:fyear   0.000151    0.001839  ... -0.003457  0.003759
state_id::10.0:fyear  0.003571    0.002349  ... -0.001037  0.008179
state_id::11.0:fyear  0.001118    0.002573  ... -0.003930  0.006165
state_id::12.0:fyear  0.027748    0.006393  ...  0.015205  0.040291
state_id::14.0:fyear  0.000805    0.001495  ... -0.002129  0.003738
state_id::15.0:fyear  0.000733    0.002500  ... -0.004171  0.005638
state_id::17.0:fyear -0.000517    0.002530  ... -0.005482  0.004447
state_id::18.0:fyear -0.001323    0.005227  ... -0.011578  0.008932
state_id::19.0:fyear -0.004023    0.003766  ... -0.011412  0.003366
state_id::21.0:fyear  0.003848    0.002328  ... -0.000718  0.008414
state_id::22.0:fyear  0.003229    0.002421  ... -0.001520  0.007979
state_id::23.0:fyear  0.001275    0.002296  ... -0.003229  0.005779
state_id::24.0:fyear  0.001764    0.002294  ... -0.002737  0.006265
state_id::25.0:fyear -0.010013    0.003537  ... -0.016951 -0.003074
state_id::26.0:fyear  0.004787    0.001751  ...  0.001353  0.008222
state_id::28.0:fyear  0.018436    0.006117  ...  0.006434  0.030438
state_id::29.0:fyear -0.059028    0.002071  ... -0.063092 -0.054964
state_id::30.0:fyear  0.008291    0.003881  ...  0.000677  0.015905
state_id::31.0:fyear  0.000848    0.001494  ... -0.002083  0.003779
state_id::32.0:fyear -0.057082    0.010762  ... -0.078195 -0.035969
state_id::33.0:fyear  0.000875    0.001494  ... -0.002056  0.003807
state_id::34.0:fyear  0.000749    0.002499  ... -0.004155  0.005653
state_id::36.0:fyear  0.000759    0.001494  ... -0.002172  0.003691
state_id::38.0:fyear -0.010896    0.005853  ... -0.022379  0.000586
state_id::39.0:fyear  0.000836    0.001495  ... -0.002097  0.003769
state_id::40.0:fyear  0.006113    0.002020  ...  0.002151  0.010076
state_id::41.0:fyear  0.002220    0.003561  ... -0.004767  0.009207
state_id::43.0:fyear  0.002849    0.003265  ... -0.003556  0.009254
state_id::44.0:fyear -0.000766    0.002084  ... -0.004854  0.003322
state_id::45.0:fyear  0.006963    0.003235  ...  0.000615  0.013310
state_id::47.0:fyear -0.001054    0.003468  ... -0.007857  0.005749
state_id::48.0:fyear -0.000810    0.001958  ... -0.004651  0.003032

[42 rows x 6 columns]
