Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 50pct
Method: Reg
Iteration: 10
---
FocalIV: ad_law2
Coef: -0.010982
SE: 0.003120
pval: 0.000443
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.010982    0.003120  ...   -0.017101   -0.004863
ln_at_adj             0.005086    0.003963  ...   -0.002687    0.012858
ppent_at             -0.137993    0.020344  ...   -0.177896   -0.098090
div_payer             0.025700    0.004583  ...    0.016712    0.034689
state_inc_growth      0.001132    0.000189  ...    0.000760    0.001503
state_id::1.0:fyear   0.044439  429.071632  ... -841.553982  841.642859
state_id::3.0:fyear   0.048366  394.887837  ... -774.500580  774.597311
state_id::4.0:fyear   0.043948  407.645562  ... -799.528514  799.616410
state_id::5.0:fyear   0.045961  399.599808  ... -783.745235  783.837156
state_id::6.0:fyear   0.044235  420.956580  ... -825.636994  825.725464
state_id::7.0:fyear   0.044075  394.109484  ... -772.978177  773.066327
state_id::10.0:fyear  0.046780  411.038684  ... -806.181087  806.274648
state_id::11.0:fyear  0.045128  405.023099  ... -794.383528  794.473785
state_id::12.0:fyear  0.066745  427.113075  ... -837.690083  837.823572
state_id::14.0:fyear  0.044429  433.672227  ... -850.577785  850.666643
state_id::15.0:fyear  0.045163  425.238137  ... -834.034085  834.124411
state_id::17.0:fyear  0.050348  400.664277  ... -785.828740  785.929436
state_id::18.0:fyear  0.044837  393.273364  ... -771.337415  771.427090
state_id::19.0:fyear  0.037030  414.228736  ... -812.447935  812.521996
state_id::21.0:fyear  0.049137  406.149530  ... -796.588947  796.687221
state_id::22.0:fyear  0.044419  401.534751  ... -787.542052  787.630891
state_id::23.0:fyear  0.045091  399.894150  ... -784.323438  784.413621
state_id::24.0:fyear  0.046167  418.456952  ... -820.732191  820.824526
state_id::25.0:fyear  0.034520  326.713081  ... -640.793707  640.862746
state_id::26.0:fyear  0.047578  422.963996  ... -829.571078  829.666235
state_id::28.0:fyear  0.097621  392.791820  ... -770.340111  770.535354
state_id::29.0:fyear  0.023516  392.538895  ... -769.918120  769.965152
state_id::30.0:fyear  0.048523  426.021579  ... -835.567400  835.664446
state_id::31.0:fyear  0.044443  420.979797  ... -825.682325  825.771212
state_id::32.0:fyear -0.031138  382.880969  ... -751.029327  750.967050
state_id::33.0:fyear  0.044483  404.254145  ... -792.875916  792.964882
state_id::34.0:fyear  0.044016  400.785604  ... -786.073047  786.161078
state_id::36.0:fyear  0.044394  411.586517  ... -807.258016  807.346804
state_id::38.0:fyear  0.038656  368.770852  ... -723.283379  723.360692
state_id::39.0:fyear  0.044440  436.219708  ... -855.574505  855.663385
state_id::40.0:fyear  0.052665  436.146190  ... -855.422080  855.527409
state_id::41.0:fyear  0.043783  383.298431  ... -751.773233  751.860799
state_id::43.0:fyear  0.044943  396.621994  ... -777.905448  777.995333
state_id::44.0:fyear  0.042273  417.217558  ... -818.305087  818.389634
state_id::45.0:fyear  0.050804  395.445705  ... -775.592367  775.693974
state_id::47.0:fyear  0.043714  426.585725  ... -836.678748  836.766177
state_id::48.0:fyear  0.042667  416.414976  ... -816.730478  816.815812
state_id::50.0:fyear  0.042894  442.707457  ... -868.301385  868.387172

[43 rows x 6 columns]
