Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 5pct
Method: Mean
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.011133
SE: 0.003234
pval: 0.000592
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011133     0.003234  ...    -0.017477    -0.004789
ln_at_adj             0.005004     0.004050  ...    -0.002939     0.012947
ppent_at             -0.090075     0.011611  ...    -0.112849    -0.067301
div_payer             0.026287     0.004790  ...     0.016892     0.035683
state_inc_growth      0.002018     0.000390  ...     0.001253     0.002783
state_id::1.0:fyear   0.046589  2011.176177  ... -3944.751863  3944.845042
state_id::3.0:fyear   0.050653  2006.989450  ... -3936.535792  3936.637099
state_id::4.0:fyear   0.046451  2030.671180  ... -3982.990251  3983.083154
state_id::5.0:fyear   0.048208  1981.533734  ... -3886.608415  3886.704830
state_id::6.0:fyear   0.046249  1999.555430  ... -3921.958822  3922.051320
state_id::7.0:fyear   0.046611  2012.030473  ... -3946.427491  3946.520713
state_id::10.0:fyear  0.048679  1984.165901  ... -3891.770778  3891.868137
state_id::11.0:fyear  0.046780  1998.528121  ... -3919.943289  3920.036849
state_id::12.0:fyear  0.068058  2028.268211  ... -3978.255369  3978.391484
state_id::14.0:fyear  0.046573  2008.408114  ... -3939.322493  3939.415640
state_id::15.0:fyear  0.047447  1970.699582  ... -3865.358652  3865.453547
state_id::17.0:fyear  0.052737  1981.143313  ... -3885.838099  3885.943573
state_id::18.0:fyear  0.046660  1996.013621  ... -3915.011371  3915.104691
state_id::19.0:fyear  0.039320  2012.111249  ... -3946.593219  3946.671859
state_id::21.0:fyear  0.051264  1986.898753  ... -3897.128514  3897.231042
state_id::22.0:fyear  0.046561  1982.981668  ... -3889.450095  3889.543218
state_id::23.0:fyear  0.047389  2006.486077  ... -3935.551720  3935.646499
state_id::24.0:fyear  0.048746  2024.441565  ... -3970.768950  3970.866442
state_id::25.0:fyear  0.036271  2001.031705  ... -3924.864423  3924.936966
state_id::26.0:fyear  0.049711  1993.363644  ... -3909.810553  3909.909976
state_id::28.0:fyear  0.098065  1979.359278  ... -3882.293496  3882.489625
state_id::29.0:fyear  0.028681  2008.045863  ... -3938.629853  3938.687214
state_id::30.0:fyear  0.050567  2012.132252  ... -3946.623168  3946.724302
state_id::31.0:fyear  0.046595  1987.995070  ... -3899.283541  3899.376732
state_id::32.0:fyear -0.037759  1965.071227  ... -3854.404188  3854.328669
state_id::33.0:fyear  0.046631  2012.929106  ... -3948.190085  3948.283348
state_id::34.0:fyear  0.046124  2015.309845  ... -3952.860264  3952.952512
state_id::36.0:fyear  0.046538  1987.991353  ... -3899.276309  3899.369384
state_id::38.0:fyear  0.042431  2015.711973  ... -3953.652706  3953.737569
state_id::39.0:fyear  0.046587  1984.792333  ... -3893.001578  3893.094753
state_id::40.0:fyear  0.055198  2017.643888  ... -3957.429273  3957.539668
state_id::41.0:fyear  0.046067  2002.572527  ... -3927.876855  3927.968989
state_id::43.0:fyear  0.046594  1992.136556  ... -3907.406812  3907.500001
state_id::44.0:fyear  0.044235  1993.008560  ... -3909.119555  3909.208025
state_id::45.0:fyear  0.053268  2026.617038  ... -3975.031486  3975.138021
state_id::47.0:fyear  0.045921  1988.020246  ... -3899.333596  3899.425439
state_id::48.0:fyear  0.044802  1991.817985  ... -3906.783747  3906.873352
state_id::50.0:fyear  0.045147  1996.790637  ... -3916.536954  3916.627248

[43 rows x 6 columns]
