Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 5pct
Method: LD
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.010740
SE: 0.003427
pval: 0.001758
Nobs: 12559
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010740    0.003427  ... -0.017462 -0.004017
ln_at_adj             0.006437    0.004231  ... -0.001861  0.014735
ppent_at             -0.138457    0.021060  ... -0.179766 -0.097147
div_payer             0.026968    0.004632  ...  0.017882  0.036053
state_inc_growth      0.002037    0.000399  ...  0.001255  0.002819
state_id::1.0:fyear   0.001672    0.001126  ... -0.000535  0.003880
state_id::3.0:fyear   0.005725    0.007868  ... -0.009707  0.021158
state_id::4.0:fyear   0.001218    0.005382  ... -0.009338  0.011774
state_id::5.0:fyear   0.002767    0.001572  ... -0.000316  0.005850
state_id::6.0:fyear   0.001841    0.002789  ... -0.003629  0.007312
state_id::7.0:fyear   0.001670    0.001611  ... -0.001490  0.004830
state_id::10.0:fyear  0.003953    0.001975  ...  0.000080  0.007827
state_id::11.0:fyear  0.002490    0.001986  ... -0.001405  0.006385
state_id::12.0:fyear  0.022763    0.012073  ... -0.000918  0.046444
state_id::14.0:fyear  0.001632    0.001127  ... -0.000578  0.003842
state_id::15.0:fyear  0.002802    0.001719  ... -0.000570  0.006174
state_id::17.0:fyear  0.007576    0.003061  ...  0.001572  0.013581
state_id::18.0:fyear  0.001874    0.003805  ... -0.005590  0.009337
state_id::19.0:fyear -0.005630    0.004475  ... -0.014407  0.003146
state_id::21.0:fyear  0.006810    0.001724  ...  0.003428  0.010191
state_id::22.0:fyear  0.001620    0.001127  ... -0.000591  0.003830
state_id::23.0:fyear  0.002322    0.001795  ... -0.001199  0.005843
state_id::24.0:fyear  0.003202    0.001872  ... -0.000470  0.006873
state_id::25.0:fyear -0.009076    0.008576  ... -0.025897  0.007745
state_id::26.0:fyear  0.004662    0.001436  ...  0.001845  0.007478
state_id::28.0:fyear  0.056474    0.011329  ...  0.034253  0.078696
state_id::29.0:fyear -0.017125    0.003079  ... -0.023166 -0.011085
state_id::30.0:fyear  0.005573    0.002541  ...  0.000588  0.010557
state_id::31.0:fyear  0.001678    0.001126  ... -0.000531  0.003886
state_id::32.0:fyear -0.066393    0.008408  ... -0.082886 -0.049901
state_id::33.0:fyear  0.001683    0.001126  ... -0.000526  0.003892
state_id::34.0:fyear  0.001201    0.002350  ... -0.003410  0.005811
state_id::36.0:fyear  0.001590    0.001126  ... -0.000618  0.003799
state_id::38.0:fyear -0.000194    0.005288  ... -0.010566  0.010178
state_id::39.0:fyear  0.001641    0.001127  ... -0.000569  0.003852
state_id::40.0:fyear  0.009242    0.001416  ...  0.006464  0.012020
state_id::41.0:fyear -0.000059    0.002149  ... -0.004275  0.004157
state_id::43.0:fyear  0.002222    0.003601  ... -0.004840  0.009284
state_id::44.0:fyear -0.000601    0.001708  ... -0.003950  0.002749
state_id::45.0:fyear  0.007775    0.002433  ...  0.003003  0.012546
state_id::47.0:fyear  0.000874    0.002050  ... -0.003147  0.004895
state_id::48.0:fyear -0.000184    0.001437  ... -0.003002  0.002635

[42 rows x 6 columns]
