Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 10pct
Method: DL
Iteration: 18
---
FocalIV: ad_law2
Coef: -0.010809
SE: 0.003417
pval: 0.001587
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010809    0.003417  ... -0.017510 -0.004107
ln_at_adj            -0.000407    0.000923  ... -0.002217  0.001403
ppent_at             -0.136503    0.020470  ... -0.176652 -0.096353
div_payer             0.026855    0.004615  ...  0.017802  0.035907
state_inc_growth      0.002001    0.000387  ...  0.001242  0.002760
state_id::1.0:fyear   0.001631    0.001125  ... -0.000576  0.003838
state_id::3.0:fyear   0.005776    0.008030  ... -0.009974  0.021526
state_id::4.0:fyear   0.001241    0.004798  ... -0.008171  0.010652
state_id::5.0:fyear   0.003387    0.001539  ...  0.000369  0.006405
state_id::6.0:fyear   0.001596    0.002721  ... -0.003741  0.006932
state_id::7.0:fyear   0.001638    0.001607  ... -0.001513  0.004790
state_id::10.0:fyear  0.004094    0.001946  ...  0.000278  0.007910
state_id::11.0:fyear  0.002539    0.001952  ... -0.001290  0.006368
state_id::12.0:fyear  0.023420    0.011190  ...  0.001472  0.045368
state_id::14.0:fyear  0.001619    0.001126  ... -0.000590  0.003827
state_id::15.0:fyear  0.002472    0.001716  ... -0.000894  0.005838
state_id::17.0:fyear  0.007704    0.003144  ...  0.001538  0.013871
state_id::18.0:fyear  0.001941    0.003725  ... -0.005364  0.009247
state_id::19.0:fyear -0.005731    0.004448  ... -0.014456  0.002994
state_id::21.0:fyear  0.006792    0.001707  ...  0.003444  0.010141
state_id::22.0:fyear  0.001607    0.001126  ... -0.000602  0.003816
state_id::23.0:fyear  0.002245    0.001798  ... -0.001282  0.005772
state_id::24.0:fyear  0.003417    0.001895  ... -0.000299  0.007133
state_id::25.0:fyear -0.009914    0.008595  ... -0.026773  0.006946
state_id::26.0:fyear  0.004677    0.001391  ...  0.001949  0.007405
state_id::28.0:fyear  0.058566    0.012028  ...  0.034973  0.082159
state_id::29.0:fyear -0.017284    0.003054  ... -0.023274 -0.011295
state_id::30.0:fyear  0.005919    0.002726  ...  0.000571  0.011267
state_id::31.0:fyear  0.001636    0.001126  ... -0.000571  0.003844
state_id::32.0:fyear -0.069026    0.009421  ... -0.087504 -0.050548
state_id::33.0:fyear  0.001675    0.001126  ... -0.000532  0.003883
state_id::34.0:fyear  0.000851    0.002240  ... -0.003543  0.005245
state_id::36.0:fyear  0.001584    0.001125  ... -0.000624  0.003791
state_id::38.0:fyear -0.003384    0.003953  ... -0.011138  0.004369
state_id::39.0:fyear  0.001635    0.001126  ... -0.000575  0.003844
state_id::40.0:fyear  0.009866    0.001481  ...  0.006961  0.012771
state_id::41.0:fyear  0.001056    0.001730  ... -0.002337  0.004449
state_id::43.0:fyear  0.002104    0.003347  ... -0.004461  0.008669
state_id::44.0:fyear -0.000580    0.001681  ... -0.003877  0.002717
state_id::45.0:fyear  0.008002    0.002037  ...  0.004007  0.011996
state_id::47.0:fyear  0.001133    0.002115  ... -0.003015  0.005282
state_id::48.0:fyear -0.000217    0.001448  ... -0.003057  0.002623

[42 rows x 6 columns]
