Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 10pct
Method: DL
Iteration: 6
---
FocalIV: ad_law2
Coef: -0.010825
SE: 0.003183
pval: 0.000689
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010825     0.003183  ...    -0.017069    -0.004581
ln_at_adj             0.000474     0.000654  ...    -0.000808     0.001756
ppent_at             -0.136923     0.019728  ...    -0.175617    -0.098228
div_payer             0.026565     0.005034  ...     0.016691     0.036438
state_inc_growth      0.002002     0.000390  ...     0.001237     0.002766
state_id::1.0:fyear   0.077869  1571.468448  ... -3082.263786  3082.419523
state_id::3.0:fyear   0.082012  1564.494632  ... -3068.580917  3068.744941
state_id::4.0:fyear   0.077459  1578.017700  ... -3095.110162  3095.265079
state_id::5.0:fyear   0.079592  1568.490547  ... -3076.421087  3076.580270
state_id::6.0:fyear   0.077820  1563.035456  ... -3065.723022  3065.878663
state_id::7.0:fyear   0.077869  1565.354153  ... -3070.270959  3070.426697
state_id::10.0:fyear  0.080311  1556.993366  ... -3053.869333  3054.029955
state_id::11.0:fyear  0.078748  1572.695969  ... -3084.670615  3084.828111
state_id::12.0:fyear  0.099728  1548.375177  ... -3036.945850  3037.145307
state_id::14.0:fyear  0.077857  1562.440886  ... -3064.556773  3064.712487
state_id::15.0:fyear  0.078704  1569.634478  ... -3078.665728  3078.823136
state_id::17.0:fyear  0.083931  1594.194230  ... -3126.832988  3127.000850
state_id::18.0:fyear  0.078162  1567.473875  ... -3074.428375  3074.584700
state_id::19.0:fyear  0.070469  1573.063301  ... -3085.399393  3085.540331
state_id::21.0:fyear  0.083005  1570.230084  ... -3079.829671  3079.995681
state_id::22.0:fyear  0.077846  1587.569497  ... -3113.845055  3114.000746
state_id::23.0:fyear  0.078490  1565.838733  ... -3071.220813  3071.377794
state_id::24.0:fyear  0.079644  1583.755653  ... -3106.362630  3106.521918
state_id::25.0:fyear  0.066619  1586.234196  ... -3111.237169  3111.370406
state_id::26.0:fyear  0.080917  1551.597886  ... -3043.285814  3043.447647
state_id::28.0:fyear  0.134489  1578.530411  ... -3096.058783  3096.327761
state_id::29.0:fyear  0.058987  1568.662895  ... -3076.779743  3076.897716
state_id::30.0:fyear  0.082145  1580.788355  ... -3100.539950  3100.704239
state_id::31.0:fyear  0.077874  1570.448194  ... -3080.262612  3080.418360
state_id::32.0:fyear  0.008729  1553.505488  ... -3047.099650  3047.117107
state_id::33.0:fyear  0.077913  1572.169587  ... -3083.638982  3083.794809
state_id::34.0:fyear  0.077113  1557.427190  ... -3054.723451  3054.877677
state_id::36.0:fyear  0.077822  1564.618500  ... -3068.828067  3068.983710
state_id::38.0:fyear  0.072916  1570.070412  ... -3079.526575  3079.672406
state_id::39.0:fyear  0.077873  1558.560564  ... -3056.945737  3057.101482
state_id::40.0:fyear  0.086110  1563.756113  ... -3067.128257  3067.300478
state_id::41.0:fyear  0.077286  1585.690098  ... -3110.159287  3110.313859
state_id::43.0:fyear  0.078320  1540.417388  ... -3021.358531  3021.515172
state_id::44.0:fyear  0.075644  1584.626931  ... -3108.075589  3108.226878
state_id::45.0:fyear  0.084257  1554.465452  ... -3048.907035  3049.075549
state_id::47.0:fyear  0.077336  1566.639744  ... -3072.793103  3072.947775
state_id::48.0:fyear  0.076002  1570.042810  ... -3079.469349  3079.621352
state_id::50.0:fyear  0.076243  1593.243447  ... -3124.975774  3125.128260

[43 rows x 6 columns]
