Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 10pct
Method: Mean
Iteration: 15
---
FocalIV: ad_law2
Coef: -0.010860
SE: 0.003404
pval: 0.001450
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010860     0.003404  ...    -0.017538    -0.004183
ln_at_adj             0.000970     0.001176  ...    -0.001337     0.003277
ppent_at             -0.136866     0.019213  ...    -0.174551    -0.099180
div_payer             0.026540     0.003778  ...     0.019130     0.033949
state_inc_growth      0.002003     0.000381  ...     0.001256     0.002751
state_id::1.0:fyear   0.070226  1714.448140  ... -3362.717567  3362.858018
state_id::3.0:fyear   0.074373  1697.016868  ... -3328.523020  3328.671766
state_id::4.0:fyear   0.069782  1712.831458  ... -3359.546987  3359.686551
state_id::5.0:fyear   0.071928  1720.038836  ... -3373.681683  3373.825539
state_id::6.0:fyear   0.070182  1728.313647  ... -3389.913976  3390.054340
state_id::7.0:fyear   0.070217  1737.675723  ... -3408.277096  3408.417530
state_id::10.0:fyear  0.072646  1707.989218  ... -3350.046358  3350.191650
state_id::11.0:fyear  0.071096  1718.377824  ... -3370.424538  3370.566731
state_id::12.0:fyear  0.091922  1713.123974  ... -3360.098599  3360.282442
state_id::14.0:fyear  0.070214  1705.284277  ... -3344.743209  3344.883638
state_id::15.0:fyear  0.071059  1716.741900  ... -3367.215808  3367.357927
state_id::17.0:fyear  0.076277  1723.182574  ... -3379.843587  3379.996142
state_id::18.0:fyear  0.070530  1725.576660  ... -3384.545192  3384.686253
state_id::19.0:fyear  0.062817  1731.949221  ... -3397.052303  3397.177938
state_id::21.0:fyear  0.075344  1717.199639  ... -3368.109351  3368.260040
state_id::22.0:fyear  0.070203  1692.048976  ... -3318.782967  3318.923373
state_id::23.0:fyear  0.070851  1716.507580  ... -3366.756412  3366.898114
state_id::24.0:fyear  0.072000  1710.008880  ... -3354.008451  3354.152450
state_id::25.0:fyear  0.059020  1700.406597  ... -3335.187125  3335.305165
state_id::26.0:fyear  0.073294  1710.884344  ... -3355.724326  3355.870915
state_id::28.0:fyear  0.126629  1725.392578  ... -3384.128027  3384.381286
state_id::29.0:fyear  0.051381  1723.624743  ... -3380.735773  3380.838534
state_id::30.0:fyear  0.074460  1708.352769  ... -3350.757627  3350.906547
state_id::31.0:fyear  0.070231  1729.679339  ... -3392.592651  3392.733113
state_id::32.0:fyear  0.001069  1687.850014  ... -3310.616087  3310.618226
state_id::33.0:fyear  0.070270  1701.695903  ... -3337.704771  3337.845312
state_id::34.0:fyear  0.069491  1725.349238  ... -3384.100156  3384.239138
state_id::36.0:fyear  0.070178  1722.976243  ... -3379.444980  3379.585337
state_id::38.0:fyear  0.065137  1677.957269  ... -3291.147989  3291.278264
state_id::39.0:fyear  0.070229  1687.533165  ... -3309.925445  3310.065904
state_id::40.0:fyear  0.078470  1712.862467  ... -3359.599122  3359.756061
state_id::41.0:fyear  0.069651  1718.952185  ... -3371.552558  3371.691859
state_id::43.0:fyear  0.070662  1714.439349  ... -3362.699889  3362.841213
state_id::44.0:fyear  0.067991  1697.600194  ... -3329.673561  3329.809543
state_id::45.0:fyear  0.076629  1709.015053  ... -3352.054489  3352.207748
state_id::47.0:fyear  0.069683  1699.387303  ... -3333.177176  3333.316542
state_id::48.0:fyear  0.068360  1699.578734  ... -3333.553980  3333.690701
state_id::50.0:fyear  0.068603  1678.708787  ... -3292.618580  3292.755786

[43 rows x 6 columns]
