Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 10pct
Method: LD
Iteration: 27
---
FocalIV: ad_law2
Coef: -0.010756
SE: 0.003503
pval: 0.002177
Nobs: 11870
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010756    0.003503  ... -0.017628 -0.003884
ln_at_adj             0.005379    0.004256  ... -0.002969  0.013728
ppent_at             -0.142814    0.021161  ... -0.184320 -0.101308
div_payer             0.026743    0.004913  ...  0.017107  0.036380
state_inc_growth      0.002024    0.000408  ...  0.001223  0.002825
state_id::1.0:fyear   0.001709    0.001165  ... -0.000575  0.003993
state_id::3.0:fyear   0.006338    0.008131  ... -0.009611  0.022287
state_id::4.0:fyear   0.001344    0.005430  ... -0.009307  0.011994
state_id::5.0:fyear   0.003381    0.001593  ...  0.000256  0.006505
state_id::6.0:fyear   0.001569    0.002846  ... -0.004013  0.007151
state_id::7.0:fyear   0.001796    0.001628  ... -0.001397  0.004988
state_id::10.0:fyear  0.004354    0.002079  ...  0.000276  0.008432
state_id::11.0:fyear  0.002262    0.002185  ... -0.002024  0.006547
state_id::12.0:fyear  0.032268    0.007954  ...  0.016667  0.047869
state_id::14.0:fyear  0.001690    0.001165  ... -0.000596  0.003976
state_id::15.0:fyear  0.003144    0.001754  ... -0.000297  0.006586
state_id::17.0:fyear  0.006443    0.002361  ...  0.001811  0.011074
state_id::18.0:fyear  0.001325    0.004091  ... -0.006701  0.009350
state_id::19.0:fyear -0.005813    0.004565  ... -0.014768  0.003142
state_id::21.0:fyear  0.006628    0.001648  ...  0.003395  0.009861
state_id::22.0:fyear  0.001679    0.001166  ... -0.000607  0.003966
state_id::23.0:fyear  0.002437    0.001846  ... -0.001185  0.006058
state_id::24.0:fyear  0.003819    0.001842  ...  0.000205  0.007433
state_id::25.0:fyear -0.000209    0.011346  ... -0.022463  0.022045
state_id::26.0:fyear  0.005289    0.001437  ...  0.002470  0.008108
state_id::28.0:fyear  0.057814    0.011355  ...  0.035541  0.080086
state_id::29.0:fyear -0.017306    0.002894  ... -0.022982 -0.011629
state_id::30.0:fyear  0.005542    0.002188  ...  0.001249  0.009834
state_id::31.0:fyear  0.001712    0.001165  ... -0.000573  0.003997
state_id::32.0:fyear -0.064693    0.008571  ... -0.081505 -0.047881
state_id::33.0:fyear  0.001748    0.001165  ... -0.000537  0.004033
state_id::34.0:fyear  0.000397    0.002219  ... -0.003956  0.004750
state_id::36.0:fyear  0.001661    0.001165  ... -0.000624  0.003946
state_id::38.0:fyear -0.006235    0.006335  ... -0.018661  0.006191
state_id::39.0:fyear  0.001708    0.001166  ... -0.000579  0.003994
state_id::40.0:fyear  0.009828    0.001579  ...  0.006731  0.012925
state_id::41.0:fyear  0.001103    0.001570  ... -0.001976  0.004182
state_id::43.0:fyear  0.002849    0.003594  ... -0.004201  0.009899
state_id::44.0:fyear -0.000245    0.001755  ... -0.003688  0.003198
state_id::45.0:fyear  0.008616    0.002035  ...  0.004625  0.012608
state_id::47.0:fyear  0.001435    0.002187  ... -0.002854  0.005724
state_id::48.0:fyear -0.000311    0.001378  ... -0.003014  0.002391

[42 rows x 6 columns]
