Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 1pct
Method: Mean
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.011015
SE: 0.003412
pval: 0.001272
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011015    0.003412  ... -0.017708 -0.004322
ln_at_adj             0.005445    0.003269  ... -0.000966  0.011857
ppent_at             -0.138085    0.020462  ... -0.178221 -0.097949
div_payer             0.025901    0.004579  ...  0.016919  0.034882
state_inc_growth      0.002010    0.000387  ...  0.001251  0.002769
state_id::1.0:fyear   0.001579    0.001123  ... -0.000624  0.003782
state_id::3.0:fyear   0.005715    0.007852  ... -0.009687  0.021116
state_id::4.0:fyear   0.000900    0.004905  ... -0.008720  0.010521
state_id::5.0:fyear   0.003069    0.001538  ...  0.000053  0.006085
state_id::6.0:fyear   0.001522    0.002722  ... -0.003816  0.006860
state_id::7.0:fyear   0.001538    0.001594  ... -0.001588  0.004664
state_id::10.0:fyear  0.003854    0.001958  ...  0.000013  0.007695
state_id::11.0:fyear  0.002349    0.001955  ... -0.001486  0.006184
state_id::12.0:fyear  0.022894    0.011005  ...  0.001308  0.044480
state_id::14.0:fyear  0.001570    0.001124  ... -0.000635  0.003775
state_id::15.0:fyear  0.002408    0.001707  ... -0.000939  0.005755
state_id::17.0:fyear  0.007544    0.003076  ...  0.001510  0.013578
state_id::18.0:fyear  0.001923    0.003762  ... -0.005456  0.009301
state_id::19.0:fyear -0.006009    0.004543  ... -0.014921  0.002903
state_id::21.0:fyear  0.006536    0.001670  ...  0.003261  0.009812
state_id::22.0:fyear  0.001560    0.001124  ... -0.000646  0.003765
state_id::23.0:fyear  0.002217    0.001773  ... -0.001260  0.005694
state_id::24.0:fyear  0.003288    0.001876  ... -0.000392  0.006967
state_id::25.0:fyear -0.009208    0.008589  ... -0.026054  0.007638
state_id::26.0:fyear  0.004679    0.001391  ...  0.001950  0.007408
state_id::28.0:fyear  0.056930    0.011479  ...  0.034414  0.079446
state_id::29.0:fyear -0.017027    0.003049  ... -0.023008 -0.011047
state_id::30.0:fyear  0.005599    0.002556  ...  0.000586  0.010613
state_id::31.0:fyear  0.001584    0.001124  ... -0.000619  0.003788
state_id::32.0:fyear -0.067605    0.008191  ... -0.083672 -0.051539
state_id::33.0:fyear  0.001624    0.001124  ... -0.000579  0.003828
state_id::34.0:fyear  0.000985    0.002292  ... -0.003511  0.005481
state_id::36.0:fyear  0.001532    0.001123  ... -0.000672  0.003735
state_id::38.0:fyear -0.003664    0.004009  ... -0.011527  0.004199
state_id::39.0:fyear  0.001583    0.001124  ... -0.000623  0.003789
state_id::40.0:fyear  0.009867    0.001493  ...  0.006940  0.012795
state_id::41.0:fyear  0.000969    0.001801  ... -0.002563  0.004502
state_id::43.0:fyear  0.001878    0.003535  ... -0.005055  0.008812
state_id::44.0:fyear -0.000748    0.001681  ... -0.004046  0.002549
state_id::45.0:fyear  0.008082    0.002067  ...  0.004028  0.012135
state_id::47.0:fyear  0.000836    0.002110  ... -0.003302  0.004975
state_id::48.0:fyear -0.000291    0.001443  ... -0.003121  0.002539

[42 rows x 6 columns]
