Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 1pct
Method: RF
Iteration: 14
---
FocalIV: ad_law2
Coef: -0.010957
SE: 0.003342
pval: 0.001064
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010957    0.003342  ...    -0.017512    -0.004403
ln_at_adj             0.004313    0.002994  ...    -0.001559     0.010184
ppent_at             -0.137783    0.020068  ...    -0.177146    -0.098420
div_payer             0.025994    0.004259  ...     0.017640     0.034348
state_inc_growth      0.002008    0.000385  ...     0.001252     0.002764
state_id::1.0:fyear   0.147808  770.475982  ... -1511.094888  1511.390504
state_id::3.0:fyear   0.151941  754.867664  ... -1480.475969  1480.779851
state_id::4.0:fyear   0.147093  758.168840  ... -1486.955878  1487.250063
state_id::5.0:fyear   0.149349  751.927411  ... -1474.711430  1475.010128
state_id::6.0:fyear   0.147765  752.082106  ... -1475.016439  1475.311969
state_id::7.0:fyear   0.147762  750.386597  ... -1471.690802  1471.986325
state_id::10.0:fyear  0.150111  774.095493  ... -1518.192039  1518.492261
state_id::11.0:fyear  0.148552  748.158160  ... -1467.319066  1467.616170
state_id::12.0:fyear  0.169765  761.617339  ... -1493.697229  1494.036760
state_id::14.0:fyear  0.147798  753.110548  ... -1477.033634  1477.329231
state_id::15.0:fyear  0.148624  757.519703  ... -1485.681102  1485.978351
state_id::17.0:fyear  0.153775  774.700304  ... -1519.374677  1519.682226
state_id::18.0:fyear  0.148150  765.259620  ... -1500.862962  1501.159262
state_id::19.0:fyear  0.140259  777.399710  ... -1524.682916  1524.963435
state_id::21.0:fyear  0.152790  757.133133  ... -1484.918703  1485.224284
state_id::22.0:fyear  0.147788  753.220618  ... -1477.249540  1477.545116
state_id::23.0:fyear  0.148446  755.869033  ... -1482.443590  1482.740482
state_id::24.0:fyear  0.149536  761.927267  ... -1494.325364  1494.624436
state_id::25.0:fyear  0.136904  758.965814  ... -1488.529284  1488.803091
state_id::26.0:fyear  0.150898  760.509703  ... -1491.543534  1491.845331
state_id::28.0:fyear  0.203445  762.123475  ... -1494.656306  1495.063195
state_id::29.0:fyear  0.129147  771.833147  ... -1513.775546  1514.033840
state_id::30.0:fyear  0.151884  756.382828  ... -1483.447930  1483.751699
state_id::31.0:fyear  0.147814  772.356220  ... -1514.782857  1515.078484
state_id::32.0:fyear  0.078574  771.933058  ... -1514.022088  1514.179237
state_id::33.0:fyear  0.147853  765.186762  ... -1500.720352  1501.016058
state_id::34.0:fyear  0.147174  756.354919  ... -1483.397899  1483.692246
state_id::36.0:fyear  0.147761  758.823582  ... -1488.239447  1488.534968
state_id::38.0:fyear  0.142833  753.630569  ... -1478.058589  1478.344255
state_id::39.0:fyear  0.147812  752.831842  ... -1476.486956  1476.782579
state_id::40.0:fyear  0.156082  751.797979  ... -1474.450823  1474.762987
state_id::41.0:fyear  0.147201  755.010212  ... -1480.760308  1481.054709
state_id::43.0:fyear  0.148138  752.279509  ... -1475.403259  1475.699536
state_id::44.0:fyear  0.145535  745.602935  ... -1462.310161  1462.601231
state_id::45.0:fyear  0.154282  762.377052  ... -1495.202846  1495.511409
state_id::47.0:fyear  0.147105  772.545767  ... -1515.155350  1515.449560
state_id::48.0:fyear  0.145965  753.744056  ... -1478.278055  1478.569985
state_id::50.0:fyear  0.146232  768.902588  ... -1508.010344  1508.302807

[43 rows x 6 columns]
