Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 1pct
Method: RF
Iteration: 1
---
FocalIV: ad_law2
Coef: -0.010893
SE: 0.003623
pval: 0.002682
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                  ...                            
ad_law2              -0.010893     0.003623  ...     -0.018000     -0.003787
ln_at_adj             0.002171     0.003036  ...     -0.003784      0.008125
ppent_at             -0.137377     0.024639  ...     -0.185704     -0.089050
div_payer             0.026369     0.004673  ...      0.017204      0.035534
state_inc_growth      0.002006     0.000388  ...      0.001244      0.002768
state_id::1.0:fyear   0.066843  5695.691928  ... -11171.693237  11171.826924
state_id::3.0:fyear   0.070983  5754.116064  ... -11286.284557  11286.426523
state_id::4.0:fyear   0.066345  5816.476068  ... -11408.604625  11408.737314
state_id::5.0:fyear   0.068484  5717.584286  ... -11214.632152  11214.769120
state_id::6.0:fyear   0.066798  5778.397854  ... -11333.916025  11334.049622
state_id::7.0:fyear   0.066827  5806.507552  ... -11389.051492  11389.185146
state_id::10.0:fyear  0.069222  5756.278858  ... -11290.528509  11290.666954
state_id::11.0:fyear  0.067675  5718.788819  ... -11216.995580  11217.130930
state_id::12.0:fyear  0.088822  5801.974583  ... -11380.138350  11380.315994
state_id::14.0:fyear  0.066832  5755.213642  ... -11288.441541  11288.575206
state_id::15.0:fyear  0.067681  5759.568795  ... -11296.983066  11297.118429
state_id::17.0:fyear  0.072866  5796.504608  ... -11369.425276  11369.571008
state_id::18.0:fyear  0.067185  5828.005141  ... -11431.217373  11431.351743
state_id::19.0:fyear  0.059378  5703.933120  ... -11187.865310  11187.984066
state_id::21.0:fyear  0.071908  5738.506172  ... -11255.665759  11255.809576
state_id::22.0:fyear  0.066821  5700.592661  ... -11181.305756  11181.439398
state_id::23.0:fyear  0.067478  5694.803318  ... -11169.949647  11170.084603
state_id::24.0:fyear  0.068605  5781.782588  ... -11340.553173  11340.690383
state_id::25.0:fyear  0.055757  5689.161776  ... -11158.895822  11159.007335
state_id::26.0:fyear  0.069921  5675.211861  ... -11131.519730  11131.659572
state_id::28.0:fyear  0.123037  5689.576331  ... -11159.641667  11159.887740
state_id::29.0:fyear  0.048068  5726.344727  ... -11231.835650  11231.931787
state_id::30.0:fyear  0.071017  5759.407553  ... -11296.663465  11296.805498
state_id::31.0:fyear  0.066849  5783.200932  ... -11343.336927  11343.470624
state_id::32.0:fyear -0.002084  5698.975404  ... -11178.202508  11178.198340
state_id::33.0:fyear  0.066888  5734.476996  ... -11247.767791  11247.901568
state_id::34.0:fyear  0.066143  5742.734064  ... -11263.964283  11264.096570
state_id::36.0:fyear  0.066796  5710.279458  ... -11200.305856  11200.439448
state_id::38.0:fyear  0.061717  5621.635351  ... -11026.440806  11026.564239
state_id::39.0:fyear  0.066847  5766.658417  ... -11310.889771  11311.023465
state_id::40.0:fyear  0.075100  5808.138224  ... -11392.241686  11392.391885
state_id::41.0:fyear  0.066249  5767.064830  ... -11311.687523  11311.820022
state_id::43.0:fyear  0.067239  5803.234555  ... -11382.631293  11382.765771
state_id::44.0:fyear  0.064582  5751.672799  ... -11281.498639  11281.627803
state_id::45.0:fyear  0.073271  5762.940582  ... -11303.591034  11303.737576
state_id::47.0:fyear  0.066238  5775.465748  ... -11328.165435  11328.297911
state_id::48.0:fyear  0.064990  5690.727368  ... -11161.957403  11162.087383
state_id::50.0:fyear  0.065237  5714.354130  ... -11208.299642  11208.430115

[43 rows x 6 columns]
