Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 1pct
Method: Iter
Iteration: 23
---
FocalIV: ad_law2
Coef: -0.011518
SE: 0.003397
pval: 0.000713
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011518    0.003397  ... -0.018181 -0.004856
ln_at_adj             0.004395    0.004012  ... -0.003474  0.012264
ppent_at             -0.119637    0.019480  ... -0.157846 -0.081428
div_payer             0.031296    0.004697  ...  0.022084  0.040508
state_inc_growth      0.001908    0.000403  ...  0.001118  0.002699
state_id::1.0:fyear   0.002122    0.001109  ... -0.000054  0.004298
state_id::3.0:fyear   0.006009    0.007819  ... -0.009327  0.021344
state_id::4.0:fyear   0.001141    0.005041  ... -0.008747  0.011029
state_id::5.0:fyear   0.003887    0.001521  ...  0.000904  0.006869
state_id::6.0:fyear   0.002092    0.002658  ... -0.003122  0.007306
state_id::7.0:fyear   0.002232    0.001604  ... -0.000915  0.005379
state_id::10.0:fyear  0.004821    0.001860  ...  0.001172  0.008469
state_id::11.0:fyear  0.002462    0.001955  ... -0.001372  0.006297
state_id::12.0:fyear  0.024323    0.011204  ...  0.002347  0.046299
state_id::14.0:fyear  0.002111    0.001110  ... -0.000066  0.004288
state_id::15.0:fyear  0.002684    0.001688  ... -0.000627  0.005995
state_id::17.0:fyear  0.007991    0.003039  ...  0.002030  0.013953
state_id::18.0:fyear  0.001986    0.003726  ... -0.005322  0.009295
state_id::19.0:fyear -0.005066    0.004387  ... -0.013670  0.003538
state_id::21.0:fyear  0.007842    0.001764  ...  0.004383  0.011301
state_id::22.0:fyear  0.002101    0.001110  ... -0.000077  0.004278
state_id::23.0:fyear  0.002782    0.001746  ... -0.000642  0.006206
state_id::24.0:fyear  0.004072    0.001854  ...  0.000436  0.007709
state_id::25.0:fyear -0.007391    0.008403  ... -0.023873  0.009091
state_id::26.0:fyear  0.005045    0.001343  ...  0.002411  0.007679
state_id::28.0:fyear  0.057120    0.011666  ...  0.034239  0.080002
state_id::29.0:fyear -0.016678    0.003339  ... -0.023228 -0.010129
state_id::30.0:fyear  0.005844    0.002539  ...  0.000865  0.010824
state_id::31.0:fyear  0.002128    0.001110  ... -0.000048  0.004305
state_id::32.0:fyear -0.067470    0.007815  ... -0.082799 -0.052141
state_id::33.0:fyear  0.002167    0.001110  ... -0.000010  0.004343
state_id::34.0:fyear  0.001415    0.002263  ... -0.003024  0.005855
state_id::36.0:fyear  0.002091    0.001110  ... -0.000086  0.004267
state_id::38.0:fyear  0.008802    0.002726  ...  0.003455  0.014148
state_id::39.0:fyear  0.002135    0.001110  ... -0.000042  0.004313
state_id::40.0:fyear  0.010340    0.001461  ...  0.007474  0.013205
state_id::41.0:fyear  0.001356    0.001845  ... -0.002263  0.004975
state_id::43.0:fyear  0.002253    0.003471  ... -0.004555  0.009060
state_id::44.0:fyear -0.000384    0.001622  ... -0.003566  0.002797
state_id::45.0:fyear  0.008196    0.002070  ...  0.004135  0.012256
state_id::47.0:fyear  0.001070    0.002120  ... -0.003089  0.005228
state_id::48.0:fyear -0.000292    0.001278  ... -0.002800  0.002215

[42 rows x 6 columns]
