Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 1pct
Method: LD
Iteration: 1
---
FocalIV: ad_law2
Coef: -0.010719
SE: 0.003462
pval: 0.001992
Nobs: 13101
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010719    0.003462  ...    -0.017509    -0.003929
ln_at_adj             0.004843    0.004137  ...    -0.003273     0.012958
ppent_at             -0.137363    0.020695  ...    -0.177954    -0.096772
div_payer             0.025512    0.004649  ...     0.016392     0.034632
state_inc_growth      0.002007    0.000389  ...     0.001245     0.002770
state_id::1.0:fyear   0.017077  599.142051  ... -1175.164329  1175.198482
state_id::3.0:fyear   0.021239  597.821047  ... -1172.569097  1172.611574
state_id::4.0:fyear   0.016505  598.886352  ... -1174.663363  1174.696372
state_id::5.0:fyear   0.018611  597.155790  ... -1171.266863  1171.304084
state_id::6.0:fyear   0.017232  603.954117  ... -1184.602754  1184.637219
state_id::7.0:fyear   0.017047  599.919244  ... -1176.688777  1176.722872
state_id::10.0:fyear  0.019475  599.363426  ... -1175.596146  1175.635096
state_id::11.0:fyear  0.017892  600.337517  ... -1177.508350  1177.544134
state_id::12.0:fyear  0.038982  604.902723  ... -1186.441639  1186.519604
state_id::14.0:fyear  0.017067  602.275102  ... -1181.309633  1181.343766
state_id::15.0:fyear  0.018018  598.390220  ... -1173.688718  1173.724753
state_id::17.0:fyear  0.024328  597.479934  ... -1171.896935  1171.945591
state_id::18.0:fyear  0.017438  604.972172  ... -1186.599404  1186.634279
state_id::19.0:fyear  0.009643  597.830518  ... -1172.599269  1172.618556
state_id::21.0:fyear  0.022052  604.153580  ... -1184.989170  1185.033275
state_id::22.0:fyear  0.017055  601.068392  ... -1178.942753  1178.976864
state_id::23.0:fyear  0.017677  597.304316  ... -1171.559122  1171.594476
state_id::24.0:fyear  0.018806  599.127642  ... -1175.134338  1175.171950
state_id::25.0:fyear  0.006165  600.446962  ... -1177.734746  1177.747076
state_id::26.0:fyear  0.020279  607.575719  ... -1191.703265  1191.743822
state_id::28.0:fyear  0.072579  600.472670  ... -1177.718757  1177.863916
state_id::29.0:fyear -0.001497  609.861378  ... -1196.208225  1196.205230
state_id::30.0:fyear  0.021164  599.959864  ... -1176.764334  1176.806663
state_id::31.0:fyear  0.017082  602.239269  ... -1181.239333  1181.273496
state_id::32.0:fyear -0.052424  598.963930  ... -1174.884457  1174.779610
state_id::33.0:fyear  0.017121  599.394546  ... -1175.659539  1175.693782
state_id::34.0:fyear  0.016940  607.962742  ... -1192.465725  1192.499605
state_id::36.0:fyear  0.017029  601.267638  ... -1179.333589  1179.367646
state_id::38.0:fyear  0.011844  602.042445  ... -1180.858513  1180.882200
state_id::39.0:fyear  0.017080  605.645413  ... -1187.920282  1187.954442
state_id::40.0:fyear  0.025417  598.786120  ... -1174.457852  1174.508686
state_id::41.0:fyear  0.016487  600.644205  ... -1178.111304  1178.144279
state_id::43.0:fyear  0.017423  603.293584  ... -1183.306968  1183.341814
state_id::44.0:fyear  0.014732  603.123255  ... -1182.975568  1183.005032
state_id::45.0:fyear  0.023548  601.450209  ... -1179.685173  1179.732269
state_id::47.0:fyear  0.016290  597.584712  ... -1172.110488  1172.143068
state_id::48.0:fyear  0.015110  602.239576  ... -1181.241906  1181.272126
state_id::50.0:fyear  0.015521  604.955149  ... -1186.567930  1186.598973

[43 rows x 6 columns]
