Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 30pct
Method: Iter
Iteration: 1
---
FocalIV: ad_law2
Coef: -0.011407
SE: 0.003428
pval: 0.000896
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011407    0.003428  ... -0.018132 -0.004683
ln_at_adj             0.004249    0.004019  ... -0.003633  0.012131
ppent_at             -0.008625    0.004671  ... -0.017787  0.000536
div_payer             0.030202    0.004716  ...  0.020951  0.039452
state_inc_growth      0.002002    0.000389  ...  0.001240  0.002764
state_id::1.0:fyear   0.001597    0.001132  ... -0.000624  0.003817
state_id::3.0:fyear   0.005385    0.007451  ... -0.009229  0.019999
state_id::4.0:fyear   0.001323    0.005644  ... -0.009746  0.012392
state_id::5.0:fyear   0.003177    0.001532  ...  0.000172  0.006183
state_id::6.0:fyear   0.001863    0.002877  ... -0.003780  0.007505
state_id::7.0:fyear   0.001921    0.001599  ... -0.001215  0.005057
state_id::10.0:fyear  0.003881    0.002007  ... -0.000056  0.007817
state_id::11.0:fyear  0.001156    0.001993  ... -0.002754  0.005065
state_id::12.0:fyear  0.022513    0.011704  ... -0.000442  0.045469
state_id::14.0:fyear  0.001568    0.001133  ... -0.000654  0.003790
state_id::15.0:fyear  0.002013    0.001771  ... -0.001461  0.005486
state_id::17.0:fyear  0.008055    0.002802  ...  0.002560  0.013549
state_id::18.0:fyear  0.001066    0.004259  ... -0.007289  0.009420
state_id::19.0:fyear -0.005515    0.004046  ... -0.013450  0.002420
state_id::21.0:fyear  0.006525    0.001717  ...  0.003156  0.009893
state_id::22.0:fyear  0.001555    0.001133  ... -0.000668  0.003777
state_id::23.0:fyear  0.002466    0.001761  ... -0.000988  0.005921
state_id::24.0:fyear  0.003996    0.001778  ...  0.000509  0.007483
state_id::25.0:fyear -0.007308    0.008621  ... -0.024217  0.009601
state_id::26.0:fyear  0.004854    0.001440  ...  0.002030  0.007678
state_id::28.0:fyear  0.050764    0.011280  ...  0.028638  0.072889
state_id::29.0:fyear -0.015446    0.003472  ... -0.022256 -0.008637
state_id::30.0:fyear  0.005292    0.002694  ...  0.000008  0.010576
state_id::31.0:fyear  0.001603    0.001132  ... -0.000618  0.003824
state_id::32.0:fyear -0.104890    0.005380  ... -0.115442 -0.094337
state_id::33.0:fyear  0.001632    0.001132  ... -0.000589  0.003853
state_id::34.0:fyear  0.001501    0.002280  ... -0.002972  0.005973
state_id::36.0:fyear  0.001569    0.001133  ... -0.000652  0.003791
state_id::38.0:fyear  0.018153    0.004233  ...  0.009850  0.026456
state_id::39.0:fyear  0.001593    0.001133  ... -0.000629  0.003816
state_id::40.0:fyear  0.010398    0.001607  ...  0.007246  0.013551
state_id::41.0:fyear  0.001268    0.002212  ... -0.003070  0.005606
state_id::43.0:fyear  0.001550    0.003409  ... -0.005135  0.008236
state_id::44.0:fyear -0.000335    0.001685  ... -0.003639  0.002969
state_id::45.0:fyear  0.007621    0.002037  ...  0.003626  0.011616
state_id::47.0:fyear  0.000777    0.002141  ... -0.003424  0.004977
state_id::48.0:fyear -0.000204    0.001442  ... -0.003031  0.002624

[42 rows x 6 columns]
