Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 30pct
Method: LD
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.011929
SE: 0.003680
pval: 0.001217
Nobs: 9132
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011929    0.003680  ...    -0.019149    -0.004709
ln_at_adj             0.007138    0.004459  ...    -0.001609     0.015886
ppent_at             -0.151116    0.022517  ...    -0.195287    -0.106946
div_payer             0.027761    0.005530  ...     0.016914     0.038608
state_inc_growth      0.002042    0.000471  ...     0.001119     0.002965
state_id::1.0:fyear   0.017625  689.602048  ... -1352.705145  1352.740396
state_id::3.0:fyear   0.025056  705.280515  ... -1383.452582  1383.502694
state_id::4.0:fyear   0.013234  708.193490  ... -1389.178492  1389.204960
state_id::5.0:fyear   0.018864  717.838220  ... -1408.091956  1408.129684
state_id::6.0:fyear   0.018230  712.818934  ... -1398.246762  1398.283223
state_id::7.0:fyear   0.017417  707.043069  ... -1386.917645  1386.952480
state_id::10.0:fyear  0.019984  689.075887  ... -1351.670669  1351.710638
state_id::11.0:fyear  0.018835  716.750487  ... -1405.958288  1405.995959
state_id::12.0:fyear  0.035498  741.627220  ... -1454.739805  1454.810801
state_id::14.0:fyear  0.017633  690.501773  ... -1354.470037  1354.505303
state_id::15.0:fyear  0.018203  699.324459  ... -1371.776040  1371.812446
state_id::17.0:fyear  0.024755  702.808901  ... -1378.604567  1378.654076
state_id::18.0:fyear  0.020097  713.672911  ... -1399.920058  1399.960251
state_id::19.0:fyear  0.010858  739.716240  ... -1451.015866  1451.037583
state_id::21.0:fyear  0.022375  703.514654  ... -1379.991351  1380.036101
state_id::22.0:fyear  0.017616  687.868090  ... -1349.303825  1349.339056
state_id::23.0:fyear  0.017560  713.526074  ... -1399.634559  1399.669680
state_id::24.0:fyear  0.018599  710.717955  ... -1394.125117  1394.162314
state_id::25.0:fyear  0.032053  693.976046  ... -1361.270748  1361.334854
state_id::26.0:fyear  0.020645  693.205975  ... -1359.771586  1359.812876
state_id::28.0:fyear  0.075552  688.466373  ... -1350.419480  1350.570583
state_id::29.0:fyear -0.001741  713.139189  ... -1398.894946  1398.891463
state_id::30.0:fyear  0.019830  715.911193  ... -1404.310935  1404.350596
state_id::31.0:fyear  0.017635  691.214717  ... -1355.868544  1355.903815
state_id::33.0:fyear  0.017695  670.421603  ... -1315.080731  1315.116120
state_id::34.0:fyear  0.018033  709.643736  ... -1392.018495  1392.054561
state_id::36.0:fyear  0.017611  699.053614  ... -1371.245343  1371.280565
state_id::38.0:fyear  0.008982  710.365256  ... -1393.442880  1393.460844
state_id::39.0:fyear  0.017650  674.841045  ... -1323.749949  1323.785250
state_id::40.0:fyear  0.023375  682.742642  ... -1339.243991  1339.290740
state_id::41.0:fyear  0.016983  702.771787  ... -1378.539536  1378.573503
state_id::43.0:fyear  0.018252  729.258389  ... -1430.494361  1430.530865
state_id::44.0:fyear  0.015314  717.568965  ... -1407.567336  1407.597964
state_id::45.0:fyear  0.025074  695.112202  ... -1363.506410  1363.556558
state_id::47.0:fyear  0.017541  700.584672  ... -1374.248734  1374.283817
state_id::48.0:fyear  0.015242  691.035013  ... -1355.518431  1355.548915
state_id::50.0:fyear  0.016811  738.383716  ... -1448.396036  1448.429657

[42 rows x 6 columns]
