Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 30pct
Method: RF
Iteration: 12
---
FocalIV: ad_law2
Coef: -0.011038
SE: 0.003008
pval: 0.000250
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011038     0.003008  ...    -0.016937    -0.005139
ln_at_adj             0.005174     0.004082  ...    -0.002833     0.013181
ppent_at             -0.138639     0.019535  ...    -0.176956    -0.100322
div_payer             0.025832     0.005195  ...     0.015642     0.036022
state_inc_growth      0.000650     0.000228  ...     0.000203     0.001096
state_id::1.0:fyear   0.076645  1431.239372  ... -2807.214038  2807.367327
state_id::3.0:fyear   0.080674  1451.243668  ... -2846.447243  2846.608590
state_id::4.0:fyear   0.075898  1487.729256  ... -2918.016325  2918.168121
state_id::5.0:fyear   0.078150  1475.258769  ... -2893.553955  2893.710256
state_id::6.0:fyear   0.076469  1460.692514  ... -2864.984796  2865.137733
state_id::7.0:fyear   0.076269  1488.414083  ... -2919.359200  2919.511739
state_id::10.0:fyear  0.079025  1503.171463  ... -2948.302166  2948.460216
state_id::11.0:fyear  0.077351  1458.182658  ... -2860.060980  2860.215682
state_id::12.0:fyear  0.097212  1488.923078  ... -2920.336620  2920.531044
state_id::14.0:fyear  0.076634  1483.624523  ... -2909.964400  2910.117667
state_id::15.0:fyear  0.077389  1458.849473  ... -2861.368861  2861.523640
state_id::17.0:fyear  0.082440  1467.409770  ... -2878.154321  2878.319201
state_id::18.0:fyear  0.076995  1463.005018  ... -2869.520109  2869.674099
state_id::19.0:fyear  0.069222  1504.352461  ... -2950.628426  2950.766870
state_id::21.0:fyear  0.081455  1467.491662  ... -2878.315933  2878.478842
state_id::22.0:fyear  0.076624  1513.751588  ... -2969.056851  2969.210098
state_id::23.0:fyear  0.077310  1459.268135  ... -2862.190120  2862.344741
state_id::24.0:fyear  0.078433  1467.592389  ... -2878.516525  2878.673391
state_id::25.0:fyear  0.066340  1444.420359  ... -2833.078062  2833.210743
state_id::26.0:fyear  0.079762  1470.308549  ... -2883.842782  2884.002305
state_id::28.0:fyear  0.130002  1492.706425  ... -2927.724641  2927.984644
state_id::29.0:fyear  0.055758  1508.212716  ... -2958.213549  2958.325064
state_id::30.0:fyear  0.080508  1441.418563  ... -2827.176051  2827.337067
state_id::31.0:fyear  0.076650  1467.643077  ... -2878.617730  2878.771030
state_id::32.0:fyear  0.005141  1434.374775  ... -2813.435447  2813.445730
state_id::33.0:fyear  0.076689  1512.134902  ... -2965.885753  2966.039131
state_id::34.0:fyear  0.076152  1487.093129  ... -2916.768346  2916.920649
state_id::36.0:fyear  0.076597  1467.591953  ... -2878.517507  2878.670701
state_id::38.0:fyear  0.071459  1490.039443  ... -2922.552056  2922.694974
state_id::39.0:fyear  0.076647  1516.393956  ... -2974.239675  2974.392969
state_id::40.0:fyear  0.084971  1480.093224  ... -2903.029630  2903.199571
state_id::41.0:fyear  0.076143  1445.266465  ... -2834.727846  2834.880132
state_id::43.0:fyear  0.077056  1456.162316  ... -2856.098496  2856.252607
state_id::44.0:fyear  0.074492  1468.527015  ... -2880.353679  2880.502663
state_id::45.0:fyear  0.083115  1489.066587  ... -2920.632202  2920.798431
state_id::47.0:fyear  0.076045  1464.179802  ... -2871.825327  2871.977417
state_id::48.0:fyear  0.074810  1466.259648  ... -2875.906056  2876.055675
state_id::50.0:fyear  0.075018  1464.883745  ... -2873.207097  2873.357132

[43 rows x 6 columns]
