Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 40pct
Method: DL
Iteration: 19
---
FocalIV: ad_law2
Coef: -0.010761
SE: 0.003508
pval: 0.002193
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010761    0.003508  ...    -0.017641    -0.003880
ln_at_adj            -0.000545    0.000508  ...    -0.001541     0.000451
ppent_at             -0.136036    0.020045  ...    -0.175352    -0.096719
div_payer             0.027128    0.004974  ...     0.017371     0.036885
state_inc_growth      0.001998    0.000387  ...     0.001238     0.002758
state_id::1.0:fyear   0.060051  498.185922  ...  -977.101929   977.222031
state_id::3.0:fyear   0.064196  469.734359  ...  -921.291738   921.420130
state_id::4.0:fyear   0.059652  581.141075  ... -1139.813913  1139.933216
state_id::5.0:fyear   0.061806  550.278408  ... -1079.276478  1079.400090
state_id::6.0:fyear   0.060054  517.263915  ... -1014.522270  1014.642379
state_id::7.0:fyear   0.060055  531.094853  ... -1041.650830  1041.770941
state_id::10.0:fyear  0.062504  596.735621  ... -1170.398832  1170.523841
state_id::11.0:fyear  0.060954  548.733382  ... -1076.246854  1076.368762
state_id::12.0:fyear  0.081759  504.763410  ...  -989.981571   990.145088
state_id::14.0:fyear  0.060039  546.107669  ... -1071.097589  1071.217668
state_id::15.0:fyear  0.060871  542.921178  ... -1064.846644  1064.968386
state_id::17.0:fyear  0.066149  535.310968  ... -1049.914395  1050.046692
state_id::18.0:fyear  0.060345  514.395349  ... -1008.895459  1009.016148
state_id::19.0:fyear  0.052689  543.766647  ... -1066.513164  1066.618542
state_id::21.0:fyear  0.065187  533.319549  ... -1046.009308  1046.139681
state_id::22.0:fyear  0.060028  518.827552  ... -1017.589278  1017.709333
state_id::23.0:fyear  0.060657  594.258352  ... -1165.541664  1165.662978
state_id::24.0:fyear  0.061817  533.872406  ... -1047.097072  1047.220706
state_id::25.0:fyear  0.048738  463.478810  ...  -909.037311   909.134787
state_id::26.0:fyear  0.063087  505.258220  ...  -990.970783   991.096958
state_id::28.0:fyear  0.116813  508.961118  ...  -998.180071   998.413697
state_id::29.0:fyear  0.040773  576.487115  ... -1130.704327  1130.785874
state_id::30.0:fyear  0.064323  518.056631  ... -1016.072867  1016.201513
state_id::31.0:fyear  0.060057  471.503806  ...  -924.766543   924.886656
state_id::32.0:fyear -0.008850  528.615499  ... -1036.856629  1036.838929
state_id::33.0:fyear  0.060096  482.171883  ...  -945.691301   945.811493
state_id::34.0:fyear  0.059269  445.304557  ...  -873.379066   873.497605
state_id::36.0:fyear  0.060004  534.044400  ... -1047.436242  1047.556250
state_id::38.0:fyear  0.055083  508.363037  ...  -997.068700   997.178866
state_id::39.0:fyear  0.060055  484.378891  ...  -950.020256   950.140366
state_id::40.0:fyear  0.068328  547.372065  ... -1073.569337  1073.705993
state_id::41.0:fyear  0.059488  544.783898  ... -1068.501643  1068.620619
state_id::43.0:fyear  0.060501  586.372129  ... -1150.073464  1150.194466
state_id::44.0:fyear  0.057832  601.732773  ... -1180.205120  1180.320785
state_id::45.0:fyear  0.066421  544.809176  ... -1068.544291  1068.677132
state_id::47.0:fyear  0.059541  499.046376  ...  -978.790167   978.909249
state_id::48.0:fyear  0.058185  535.331507  ... -1049.962643  1050.079013
state_id::50.0:fyear  0.058412  519.451052  ... -1018.813852  1018.930676

[43 rows x 6 columns]
