Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 40pct
Method: RF
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.010832
SE: 0.003059
pval: 0.000411
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010832     0.003059  ...    -0.016832    -0.004831
ln_at_adj            -0.000700     0.000470  ...    -0.001622     0.000222
ppent_at             -0.135688     0.019722  ...    -0.174371    -0.097004
div_payer             0.027282     0.004497  ...     0.018462     0.036102
state_inc_growth      0.001993     0.000389  ...     0.001231     0.002756
state_id::1.0:fyear   0.058291  1165.333062  ... -2285.673020  2285.789603
state_id::3.0:fyear   0.062404  1164.473837  ... -2283.983589  2284.108398
state_id::4.0:fyear   0.057906  1183.214307  ... -2320.746402  2320.862213
state_id::5.0:fyear   0.060044  1173.448978  ... -2301.590154  2301.710242
state_id::6.0:fyear   0.058271  1156.612592  ... -2268.568359  2268.684901
state_id::7.0:fyear   0.058305  1153.654645  ... -2262.766488  2262.883098
state_id::10.0:fyear  0.060756  1178.778430  ... -2312.042844  2312.164356
state_id::11.0:fyear  0.059208  1163.607459  ... -2282.287436  2282.405853
state_id::12.0:fyear  0.079894  1142.145836  ... -2240.171057  2240.330844
state_id::14.0:fyear  0.058279  1173.407476  ... -2301.510515  2301.627073
state_id::15.0:fyear  0.059121  1142.925371  ... -2241.720840  2241.839083
state_id::17.0:fyear  0.064332  1201.494511  ... -2356.595505  2356.724170
state_id::18.0:fyear  0.058597  1159.685901  ... -2274.596145  2274.713339
state_id::19.0:fyear  0.050955  1187.037734  ... -2328.252778  2328.354687
state_id::21.0:fyear  0.063439  1147.729193  ... -2251.138934  2251.265812
state_id::22.0:fyear  0.058267  1159.071431  ... -2273.391228  2273.507762
state_id::23.0:fyear  0.058893  1147.628449  ... -2250.945876  2251.063663
state_id::24.0:fyear  0.060066  1170.388741  ... -2295.587658  2295.707790
state_id::25.0:fyear  0.047514  1123.608881  ... -2203.844305  2203.939333
state_id::26.0:fyear  0.061342  1132.591529  ... -2221.449406  2221.572091
state_id::28.0:fyear  0.114571  1178.007364  ... -2310.476629  2310.705772
state_id::29.0:fyear  0.039071  1174.244941  ... -2303.172361  2303.250503
state_id::30.0:fyear  0.062583  1149.475796  ... -2254.565649  2254.690814
state_id::31.0:fyear  0.058297  1161.652643  ... -2278.454094  2278.570687
state_id::32.0:fyear -0.010498  1184.540487  ... -2323.416029  2323.395034
state_id::33.0:fyear  0.058336  1161.941862  ... -2279.021340  2279.138011
state_id::34.0:fyear  0.057507  1134.273986  ... -2224.753281  2224.868294
state_id::36.0:fyear  0.058244  1164.847770  ... -2284.721198  2284.837685
state_id::38.0:fyear  0.053173  1181.965820  ... -2318.302303  2318.408649
state_id::39.0:fyear  0.058294  1174.469493  ... -2303.593581  2303.710170
state_id::40.0:fyear  0.066505  1139.505296  ... -2235.005184  2235.138195
state_id::41.0:fyear  0.057738  1149.024597  ... -2253.685493  2253.800968
state_id::43.0:fyear  0.058755  1163.524267  ... -2282.124713  2282.242223
state_id::44.0:fyear  0.056085  1172.194562  ... -2299.133650  2299.245820
state_id::45.0:fyear  0.064637  1174.230454  ... -2303.118378  2303.247652
state_id::47.0:fyear  0.057780  1171.036870  ... -2296.861211  2296.976770
state_id::48.0:fyear  0.056427  1134.200598  ... -2224.610415  2224.723268
state_id::50.0:fyear  0.056680  1191.731359  ... -2337.453317  2337.566678

[43 rows x 6 columns]
