Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 40pct
Method: DL
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.011912
SE: 0.003589
pval: 0.000923
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011912    0.003589  ...    -0.018952    -0.004873
ln_at_adj             0.004021    0.004342  ...    -0.004496     0.012538
ppent_at             -0.004057    0.003688  ...    -0.011292     0.003178
div_payer             0.027003    0.004915  ...     0.017363     0.036642
state_inc_growth      0.002060    0.000389  ...     0.001296     0.002824
state_id::1.0:fyear   0.040076  656.026211  ... -1286.715013  1286.795165
state_id::3.0:fyear   0.043913  664.565420  ... -1303.460310  1303.548136
state_id::4.0:fyear   0.040039  655.751533  ... -1286.176286  1286.256364
state_id::5.0:fyear   0.041681  676.282659  ... -1326.445187  1326.528549
state_id::6.0:fyear   0.039827  635.187688  ... -1245.841782  1245.921435
state_id::7.0:fyear   0.040144  602.900604  ... -1182.512332  1182.592620
state_id::10.0:fyear  0.042013  651.156438  ... -1277.161316  1277.245342
state_id::11.0:fyear  0.039705  631.809780  ... -1239.216345  1239.295755
state_id::12.0:fyear  0.060810  562.418328  ... -1103.088170  1103.209791
state_id::14.0:fyear  0.040047  641.141169  ... -1257.518948  1257.599041
state_id::15.0:fyear  0.040849  657.702838  ... -1290.002842  1290.084539
state_id::17.0:fyear  0.046636  706.094165  ... -1384.913667  1385.006940
state_id::18.0:fyear  0.039627  646.427808  ... -1267.888786  1267.968040
state_id::19.0:fyear  0.032983  646.691046  ... -1268.411754  1268.477720
state_id::21.0:fyear  0.044406  611.689072  ... -1199.746110  1199.834923
state_id::22.0:fyear  0.040033  684.471491  ... -1342.508725  1342.588790
state_id::23.0:fyear  0.040991  661.682789  ... -1297.809129  1297.891111
state_id::24.0:fyear  0.042652  612.136112  ... -1200.624706  1200.710011
state_id::25.0:fyear  0.031001  598.844953  ... -1174.566567  1174.628569
state_id::26.0:fyear  0.043456  632.845285  ... -1241.243672  1241.330585
state_id::28.0:fyear  0.089200  646.804114  ... -1268.577312  1268.755713
state_id::29.0:fyear  0.023363  622.552162  ... -1221.074437  1221.121163
state_id::30.0:fyear  0.043920  680.451068  ... -1334.619026  1334.706866
state_id::31.0:fyear  0.040083  636.123815  ... -1247.677680  1247.757846
state_id::32.0:fyear -0.071965  707.881737  ... -1388.538482  1388.394552
state_id::33.0:fyear  0.040112  641.836722  ... -1258.883168  1258.963391
state_id::34.0:fyear  0.039915  708.818758  ... -1390.264511  1390.344342
state_id::36.0:fyear  0.040017  681.174848  ... -1336.042578  1336.122612
state_id::38.0:fyear  0.038064  656.415352  ... -1287.480302  1287.556429
state_id::39.0:fyear  0.040064  678.755634  ... -1331.297393  1331.377520
state_id::40.0:fyear  0.049053  658.231868  ... -1291.032296  1291.130403
state_id::41.0:fyear  0.039879  600.823679  ... -1178.438837  1178.518595
state_id::43.0:fyear  0.040119  669.008971  ... -1312.179857  1312.260095
state_id::44.0:fyear  0.037702  637.611570  ... -1250.598201  1250.673606
state_id::45.0:fyear  0.046553  658.094124  ... -1290.764621  1290.857727
state_id::47.0:fyear  0.039349  646.184652  ... -1267.412128  1267.490825
state_id::48.0:fyear  0.038058  619.570346  ... -1215.211094  1215.287210
state_id::50.0:fyear  0.038921  667.809539  ... -1309.828441  1309.906284

[43 rows x 6 columns]
