Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 40pct
Method: LD
Iteration: 4
---
FocalIV: ad_law2
Coef: -0.013157
SE: 0.004000
pval: 0.001029
Nobs: 7759
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.013157    0.004000  ...   -0.021003   -0.005311
ln_at_adj             0.005478    0.004878  ...   -0.004090    0.015047
ppent_at             -0.154954    0.023809  ...   -0.201660   -0.108247
div_payer             0.031321    0.005578  ...    0.020379    0.042263
state_inc_growth      0.001972    0.000483  ...    0.001025    0.002920
state_id::1.0:fyear   0.038742  354.995017  ... -696.351259  696.428743
state_id::3.0:fyear   0.040276  373.518211  ... -732.686480  732.767033
state_id::4.0:fyear   0.037997  366.191181  ... -718.315401  718.391395
state_id::5.0:fyear   0.040725  349.392010  ... -685.357915  685.439366
state_id::6.0:fyear   0.040299  364.765392  ... -715.516144  715.596742
state_id::7.0:fyear   0.037601  364.116606  ... -714.246125  714.321328
state_id::10.0:fyear  0.040549  363.951618  ... -713.919522  714.000619
state_id::11.0:fyear  0.039800  357.770175  ... -701.794199  701.873800
state_id::12.0:fyear  0.103588  360.993673  ... -708.053914  708.261089
state_id::14.0:fyear  0.038753  351.622841  ... -689.736086  689.813592
state_id::15.0:fyear  0.038659  356.374924  ... -699.058292  699.135610
state_id::17.0:fyear  0.046073  373.646696  ... -732.932731  733.024878
state_id::18.0:fyear  0.042192  352.550882  ... -691.553175  691.637559
state_id::19.0:fyear  0.032744  320.987197  ... -629.644473  629.709960
state_id::21.0:fyear  0.043800  348.625428  ... -683.851046  683.938646
state_id::22.0:fyear  0.038748  348.999465  ... -684.589843  684.667339
state_id::23.0:fyear  0.040168  335.746915  ... -658.591033  658.671369
state_id::24.0:fyear  0.042082  330.371225  ... -648.043685  648.127848
state_id::25.0:fyear  0.028653  323.324214  ... -634.233066  634.290373
state_id::26.0:fyear  0.041199  359.883614  ... -705.938711  706.021109
state_id::28.0:fyear  0.082039  352.140120  ... -690.707540  690.871618
state_id::29.0:fyear  0.024684  367.739582  ... -721.366198  721.415565
state_id::30.0:fyear  0.038037  363.738300  ... -713.503570  713.579644
state_id::31.0:fyear  0.038767  351.852099  ... -690.185805  690.263339
state_id::33.0:fyear  0.038798  348.649284  ... -683.902846  683.980441
state_id::34.0:fyear  0.035678  355.993944  ... -698.313908  698.385265
state_id::36.0:fyear  0.038685  350.398885  ... -687.335133  687.412503
state_id::38.0:fyear  0.029956  355.024563  ... -696.418005  696.477917
state_id::39.0:fyear  0.038738  343.764171  ... -674.319831  674.397307
state_id::40.0:fyear  0.045584  355.927716  ... -698.174083  698.265251
state_id::41.0:fyear  0.038243  354.932784  ... -696.229677  696.306163
state_id::43.0:fyear  0.040255  348.372243  ... -683.357921  683.438431
state_id::44.0:fyear  0.035523  358.889644  ... -703.994526  704.065573
state_id::45.0:fyear  0.046295  333.576332  ... -654.326896  654.419486
state_id::47.0:fyear  0.037905  364.452029  ... -714.903817  714.979627
state_id::48.0:fyear  0.037365  361.780441  ... -709.663532  709.738261
state_id::50.0:fyear  0.036374  330.466779  ... -648.236841  648.309589

[42 rows x 6 columns]
