Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 50pct
Method: Iter
Iteration: 14
---
FocalIV: ad_law2
Coef: -0.011079
SE: 0.003367
pval: 0.001020
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011079    0.003367  ... -0.017683 -0.004476
ln_at_adj            -0.001176    0.000427  ... -0.002014 -0.000339
ppent_at             -0.123406    0.019260  ... -0.161182 -0.085630
div_payer             0.032307    0.004571  ...  0.023342  0.041272
state_inc_growth      0.001938    0.000385  ...  0.001184  0.002693
state_id::1.0:fyear   0.002020    0.001083  ... -0.000104  0.004145
state_id::3.0:fyear   0.006025    0.008010  ... -0.009685  0.021736
state_id::4.0:fyear   0.001286    0.004928  ... -0.008379  0.010951
state_id::5.0:fyear   0.003876    0.001486  ...  0.000962  0.006790
state_id::6.0:fyear   0.002800    0.002730  ... -0.002555  0.008155
state_id::7.0:fyear   0.002218    0.001574  ... -0.000868  0.005305
state_id::10.0:fyear  0.004748    0.001890  ...  0.001041  0.008455
state_id::11.0:fyear  0.002732    0.001925  ... -0.001044  0.006507
state_id::12.0:fyear  0.023700    0.011311  ...  0.001514  0.045885
state_id::14.0:fyear  0.002008    0.001084  ... -0.000118  0.004134
state_id::15.0:fyear  0.002592    0.001686  ... -0.000715  0.005900
state_id::17.0:fyear  0.008040    0.003077  ...  0.002005  0.014076
state_id::18.0:fyear  0.001912    0.003656  ... -0.005260  0.009083
state_id::19.0:fyear -0.004482    0.004128  ... -0.012579  0.003615
state_id::21.0:fyear  0.008240    0.001975  ...  0.004366  0.012114
state_id::22.0:fyear  0.001997    0.001084  ... -0.000130  0.004123
state_id::23.0:fyear  0.002543    0.001770  ... -0.000929  0.006015
state_id::24.0:fyear  0.004072    0.001865  ...  0.000414  0.007730
state_id::25.0:fyear -0.008695    0.008475  ... -0.025318  0.007928
state_id::26.0:fyear  0.005723    0.001373  ...  0.003030  0.008416
state_id::28.0:fyear  0.058717    0.012023  ...  0.035135  0.082300
state_id::29.0:fyear -0.017148    0.003434  ... -0.023883 -0.010413
state_id::30.0:fyear  0.006097    0.002658  ...  0.000883  0.011311
state_id::31.0:fyear  0.002026    0.001083  ... -0.000099  0.004151
state_id::32.0:fyear -0.063870    0.007914  ... -0.079393 -0.048347
state_id::33.0:fyear  0.002065    0.001083  ... -0.000060  0.004190
state_id::34.0:fyear  0.001330    0.002213  ... -0.003010  0.005670
state_id::36.0:fyear  0.002022    0.001085  ... -0.000106  0.004149
state_id::38.0:fyear  0.024409    0.005108  ...  0.014390  0.034429
state_id::39.0:fyear  0.002027    0.001084  ... -0.000100  0.004154
state_id::40.0:fyear  0.010218    0.001452  ...  0.007369  0.013067
state_id::41.0:fyear  0.001435    0.001730  ... -0.001959  0.004828
state_id::43.0:fyear  0.002253    0.003287  ... -0.004195  0.008701
state_id::44.0:fyear  0.000152    0.001670  ... -0.003123  0.003427
state_id::45.0:fyear  0.008042    0.002087  ...  0.003949  0.012136
state_id::47.0:fyear  0.001330    0.002097  ... -0.002782  0.005442
state_id::48.0:fyear  0.000295    0.001450  ... -0.002550  0.003140

[42 rows x 6 columns]
