Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 5pct
Method: LD
Iteration: 7
---
FocalIV: ad_law2
Coef: -0.010621
SE: 0.003565
pval: 0.002930
Nobs: 12550
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010621    0.003565  ...    -0.017613    -0.003629
ln_at_adj             0.005454    0.004043  ...    -0.002475     0.013383
ppent_at             -0.136776    0.021986  ...    -0.179902    -0.093651
div_payer             0.027453    0.004880  ...     0.017881     0.037025
state_inc_growth      0.002046    0.000400  ...     0.001262     0.002831
state_id::1.0:fyear   0.029574  738.185321  ... -1447.889957  1447.949105
state_id::3.0:fyear   0.034314  735.236168  ... -1442.100576  1442.169205
state_id::4.0:fyear   0.029204  739.988992  ... -1451.428151  1451.486558
state_id::5.0:fyear   0.031010  747.838506  ... -1466.822838  1466.884858
state_id::6.0:fyear   0.029513  751.010827  ... -1473.046708  1473.105735
state_id::7.0:fyear   0.029693  753.235628  ... -1477.410382  1477.469769
state_id::10.0:fyear  0.031777  731.660450  ... -1435.089494  1435.153047
state_id::11.0:fyear  0.030205  751.974916  ... -1474.937036  1474.997446
state_id::12.0:fyear  0.051497  748.662873  ... -1468.419312  1468.522305
state_id::14.0:fyear  0.029568  748.615675  ... -1468.348664  1468.407800
state_id::15.0:fyear  0.030709  751.067422  ... -1473.156522  1473.217941
state_id::17.0:fyear  0.037585  748.542540  ... -1468.197196  1468.272366
state_id::18.0:fyear  0.030429  742.291574  ... -1455.943343  1456.004202
state_id::19.0:fyear  0.022614  751.794557  ... -1474.590862  1474.636090
state_id::21.0:fyear  0.034703  744.424116  ... -1460.121963  1460.191368
state_id::22.0:fyear  0.029557  747.227821  ... -1465.626457  1465.685572
state_id::23.0:fyear  0.030094  736.392186  ... -1444.372276  1444.432465
state_id::24.0:fyear  0.031614  747.536056  ... -1466.228991  1466.292218
state_id::25.0:fyear  0.019042  757.222921  ... -1485.241941  1485.280025
state_id::26.0:fyear  0.032448  743.804241  ... -1458.908358  1458.973255
state_id::28.0:fyear  0.084955  745.591499  ... -1462.361482  1462.531392
state_id::29.0:fyear  0.010938  730.690310  ... -1433.207442  1433.229318
state_id::30.0:fyear  0.032754  739.595793  ... -1450.653358  1450.718867
state_id::31.0:fyear  0.029579  745.940493  ... -1463.101397  1463.160554
state_id::32.0:fyear -0.038118  748.790291  ... -1468.758852  1468.682616
state_id::33.0:fyear  0.029625  750.317011  ... -1471.685706  1471.744955
state_id::34.0:fyear  0.028934  737.185428  ... -1445.929349  1445.987217
state_id::36.0:fyear  0.029532  739.605595  ... -1450.675805  1450.734869
state_id::38.0:fyear  0.023665  760.753334  ... -1492.162075  1492.209405
state_id::39.0:fyear  0.029584  738.173460  ... -1447.866680  1447.925849
state_id::40.0:fyear  0.037597  737.030539  ... -1445.616877  1445.692070
state_id::41.0:fyear  0.029745  734.444271  ... -1440.551872  1440.611362
state_id::43.0:fyear  0.029616  745.778199  ... -1462.783025  1462.842257
state_id::44.0:fyear  0.027366  724.996516  ... -1422.022876  1422.077607
state_id::45.0:fyear  0.036069  726.644213  ... -1425.246061  1425.318200
state_id::47.0:fyear  0.028522  739.329371  ... -1450.135015  1450.192059
state_id::48.0:fyear  0.027740  731.492354  ... -1434.763817  1434.819297
state_id::50.0:fyear  0.028151  749.728954  ... -1470.533731  1470.590034

[43 rows x 6 columns]
